,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim
0,,0.6193486452102661,0.5152493408325804,[0.74300646 0.44938468 0.35335689],0.5050163787733565,[0.792979   0.43305279 0.28901734],0.5401670300054876,[0.69895894 0.4669967  0.45454545],,0.6793513298034668,0.5918017575378282,[0.79034374 0.53514739 0.44991414],0.5803620839768971,[0.82452779 0.53050739 0.38605108],0.6126150871871382,[0.75888133 0.53986928 0.53909465],"(64, 64)",0.1,0.001,1,focal,2,True,5,64,0.0,768
0,,0.6300766468048096,0.5192490226341535,[0.75349677 0.44791227 0.35633803],0.5113261827213926,[0.78502037 0.45815358 0.2908046 ],0.5408419945522603,[0.72440717 0.43811881 0.46      ],,0.6849710941314697,0.5921241695939132,[0.79793814 0.52674897 0.45168539],0.5844254936985704,[0.81667106 0.55411255 0.38249286],0.6111488216685852,[0.78004535 0.50196078 0.55144033],"(64, 64)",0.1,0.001,12,focal,2,True,5,64,0.0,768
0,,0.6321839094161987,0.5174791911742129,[0.75706384 0.44191919 0.35345455],0.5097448975004039,[0.78365831 0.45103093 0.29454545],0.53573388397255,[0.73221515 0.43316832 0.44181818],,0.6862556338310242,0.5914502510578761,[0.79758851 0.5328343  0.44392795],0.5843931992250381,[0.81238568 0.55571327 0.38508065],0.6063636428508303,[0.78332074 0.51176471 0.52400549],"(64, 64)",0.1,0.001,123,focal,2,True,5,64,0.0,768
0,,0.6264367699623108,0.5195254728037945,[0.74756098 0.45398299 0.35703246],0.5093871454547816,[0.79045777 0.4272198  0.31048387],0.5378012752113847,[0.70908039 0.48432343 0.42      ],,0.6828837394714355,0.5897056798957525,[0.79396462 0.53772987 0.43742255],0.5805627522463478,[0.82065071 0.52216749 0.39887006],0.6024775891152071,[0.76895944 0.55424837 0.48422497],"(64, 64)",0.1,0.0005,1,focal,2,True,5,64,0.1,768
0,,0.6350574493408203,0.5186642915834742,[0.75935829 0.43943901 0.35719557],0.5114762732435081,[0.7806964  0.45311131 0.30062112],0.5352410793421737,[0.73915558 0.42656766 0.44      ],,0.6880218386650085,0.5905579163192309,[0.80081508 0.52364633 0.44721234],0.5846849684029558,[0.80968323 0.55043228 0.39393939],0.6028774198293858,[0.79213908 0.49934641 0.51714678],"(64, 64)",0.1,0.0005,12,focal,2,True,5,64,0.1,768
0,,0.6402298808097839,0.5251544695853697,[0.76323617 0.44611529 0.36611195],0.5169728991153507,[0.78567055 0.45177665 0.3134715 ],0.5408804952212977,[0.74204743 0.44059406 0.44      ],,0.6867372989654541,0.588736827292754,[0.79852267 0.52649342 0.44119439],0.5828692981664234,[0.80736544 0.54431263 0.39692982],0.5987486901482129,[0.7898715  0.50980392 0.49657064],"(64, 64)",0.1,0.0005,123,focal,2,True,5,64,0.1,768
0,,0.6388888955116272,0.5152328195712311,[0.76299038 0.44937475 0.33333333],0.5092144151946146,[0.78161965 0.43962115 0.30640244],0.5234179861016756,[0.74522846 0.45957096 0.36545455],,0.6889852285385132,0.5856351454073683,[0.80208201 0.52831424 0.42650919],0.5821090740536129,[0.80834186 0.52918033 0.40880503],0.5897285114320077,[0.79591837 0.52745098 0.44581619],"(64, 64)",0.1,0.0001,1,focal,2,True,5,64,0.2,768
0,,0.6394636034965515,0.514514728867417,[0.76446281 0.44709757 0.33198381],0.5086799730993435,[0.78059072 0.44617913 0.29927007],0.5232449763194943,[0.74898785 0.4480198  0.37272727],,0.6886640787124634,0.5870030285555652,[0.80248952 0.5245573  0.43396226],0.5821452135140476,[0.80917008 0.53656869 0.40069686],0.5940804305261199,[0.79591837 0.5130719  0.47325103],"(64, 64)",0.1,0.0001,12,focal,2,True,5,64,0.2,768
0,,0.6408045887947083,0.518554203016816,[0.76325506 0.45198202 0.34042553],0.5124182770345415,[0.77995774 0.44777328 0.30952381],0.5272350641657572,[0.74725275 0.45627063 0.37818182],,0.6921965479850769,0.5894781182241787,[0.80400863 0.53473823 0.4296875 ],0.585799472572477,[0.80965764 0.53881885 0.40892193],0.5939439150145654,[0.79843789 0.53071895 0.4526749 ],"(64, 64)",0.1,0.0001,123,focal,2,True,5,64,0.2,768
0,,0.6300766468048096,0.5145483769024567,[0.75562845 0.43353091 0.35448578],0.507043396577699,[0.77993229 0.44521739 0.29598051],0.5323513161032704,[0.73279352 0.42244224 0.44181818],,0.686897873878479,0.5896526644669519,[0.7984129  0.53576248 0.43478261],0.5831002875128877,[0.81139438 0.55369596 0.38421053],0.6018267938176642,[0.78584026 0.51895425 0.50068587],"(128, 128)",0.1,0.001,1,focal,2,True,5,64,0.3,768
