,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,,0.632758617401123,0.5176058679243393,[0.7540188  0.46546547 0.33333333],0.5104785659250973,[0.79272959 0.42699725 0.31170886],0.529548546526139,[0.71891267 0.51155116 0.35818182],,0.7159602046012878,0.626054887891692,[0.81420057 0.59857187 0.46539222],0.618712192703245,[0.83809016 0.57007688 0.44796954],0.6353084992570416,[0.79163517 0.63006536 0.48422497],80,1,True,200,0.1,0.001,1,focal,2,True,5,64,0
0,,0.6352490186691284,0.5105599907632724,[0.76191891 0.44881245 0.32094862],0.5042168820236219,[0.78320611 0.44552846 0.28391608],0.520998121790201,[0.74175824 0.45214521 0.36909091],,0.7178869843482971,0.6295574318116665,[0.81484335 0.59817352 0.47565543],0.6214256987720334,[0.83084577 0.59700521 0.43642612],0.6404752847641114,[0.7994457  0.59934641 0.52263374],80,1,True,200,0.1,0.001,12,focal,2,True,5,64,0
0,,0.6362069249153137,0.5148094122319261,[0.76189052 0.45245642 0.3300813 ],0.5075920945493076,[0.78903346 0.43521341 0.29852941],0.5255886473551924,[0.73655292 0.47112211 0.36909091],,0.7178869843482971,0.6318365340913414,[0.81534275 0.59891685 0.48125   ],0.6218718221642178,[0.839381   0.5842138  0.44202067],0.6450475937974641,[0.79264298 0.61437908 0.52812071],80,1,True,200,0.1,0.001,123,focal,2,True,5,64,0
0,,0.6551724076271057,0.5220884860932368,[0.77495622 0.474169   0.31714024],0.5209137981267383,[0.78226282 0.46070039 0.31977819],0.5235930487207194,[0.76778485 0.48844884 0.31454545],,0.7230250239372253,0.6333015249137697,[0.81673407 0.5957867  0.4873838 ],0.6306296435617712,[0.81942683 0.60013263 0.47232947],0.636330526723721,[0.81405896 0.59150327 0.50342936],80,1,True,200,0.1,0.0005,1,focal,2,True,5,64,1
0,,0.6356321573257446,0.5143362615092292,[0.75826665 0.46756152 0.31718062],0.5091959496157193,[0.79336493 0.42653061 0.30769231],0.5235805795732841,[0.72614228 0.51732673 0.32727273],,0.7096981406211853,0.6249722797896861,[0.80586081 0.5969419  0.47211414],0.6155797518566318,[0.83809524 0.56091954 0.44772448],0.6377455783410758,[0.77601411 0.6379085  0.49931413],80,1,True,200,0.1,0.0005,12,focal,2,True,5,64,1
0,,0.6450191736221313,0.5142409917733677,[0.77285359 0.44588185 0.32398754],0.5107649609303265,[0.78188813 0.467028   0.28337875],0.5229249743944898,[0.76402545 0.42656766 0.37818182],,0.7124277353286743,0.624186377263413,[0.81309371 0.58559783 0.4738676 ],0.6164449517458283,[0.82884062 0.6096181  0.41087613],0.6403344877045468,[0.79793399 0.56339869 0.55967078],80,1,True,200,0.1,0.0005,123,focal,2,True,5,64,1
0,,0.6233716607093811,0.49034971584871867,[0.74952645 0.41721311 0.30430959],0.48819126292276716,[0.75535977 0.41449511 0.29471891],0.4927649948337806,[0.74378253 0.419967   0.31454545],,0.6921965479850769,0.6016045723215226,[0.79521482 0.56631792 0.44328098],0.5942285498530128,[0.81235217 0.585485   0.38484848],0.6165951154124202,[0.77878559 0.54836601 0.52263374],80,1,True,200,0.1,0.0001,1,focal,2,True,5,64,2
0,,0.6275861859321594,0.49026609076014505,[0.75334108 0.42687423 0.29058296],0.4891689541934772,[0.75685931 0.42392189 0.28672566],0.4914229496980929,[0.74985541 0.42986799 0.29454545],,0.7005459070205688,0.6072247830011763,[0.80204473 0.57572718 0.44390244],0.6008933281639254,[0.81379668 0.58932238 0.39956092],0.6175621963463026,[0.79062736 0.5627451  0.49931413],80,1,True,200,0.1,0.0001,12,focal,2,True,5,64,2
0,,0.6226053833961487,0.49669849236223484,[0.74933254 0.43167203 0.30909091],0.4911212167879815,[0.76918392 0.42084639 0.28333333],0.5045164510667377,[0.73048005 0.44306931 0.34      ],,0.6981374621391296,0.6080666998155748,[0.80066872 0.57142857 0.4521028 ],0.6003683113138969,[0.81770423 0.58970793 0.39369278],0.6231470365924148,[0.78432855 0.55424837 0.5308642 ],80,1,True,200,0.1,0.0001,123,focal,2,True,5,64,2
0,,0.6181992292404175,0.5131712488105306,[0.73945409 0.4586357  0.34142395],0.504743671504433,[0.79732441 0.40932642 0.30758017],0.531501452053823,[0.68941585 0.52145215 0.38363636],,0.7058445811271667,0.6251074887343638,[0.80340064 0.59537399 0.47654784],0.6128231665938958,[0.84967688 0.55086159 0.43793103],0.6440836416871275,[0.76190476 0.64771242 0.52263374],80,1,True,300,0.1,0.001,1,focal,2,True,5,64,3
0,,0.619157075881958,0.5069228933559636,[0.74766926 0.43976608 0.33333333],0.49786920962779896,[0.79286872 0.41685144 0.28388747],0.5254427281941613,[0.70734529 0.46534653 0.40363636],,0.713230550289154,0.6340099486259371,[0.81093214 0.59762203 0.49347568],0.6199311453994915,[0.8518724  0.57322929 0.43469175],0.6561914203267041,[0.77374654 0.62418301 0.57064472],80,1,True,300,0.1,0.001,12,focal,2,True,5,64,3
0,,0.6369732022285461,0.5121358711460481,[0.76229994 0.45219532 0.32191235],0.5060278863318377,[0.78176292 0.44979592 0.28652482],0.5218919075250498,[0.74378253 0.45462046 0.36727273],,0.7087347507476807,0.6207384691688356,[0.81007101 0.58267196 0.46947244],0.6112755253091123,[0.83077331 0.5896921  0.41336117],0.6364674264767635,[0.79037541 0.57581699 0.54320988],80,1,True,300,0.1,0.001,123,focal,2,True,5,64,3
0,,0.6530651450157166,0.5216879029248734,[0.77847273 0.45081266 0.33577832],0.5184850437694355,[0.78314311 0.46802842 0.3042836 ],0.5277405525399272,[0.77385772 0.43481848 0.37454545],,0.7209377288818359,0.6255705453556055,[0.82001251 0.58193277 0.47476636],0.6252786632339082,[0.81420765 0.62669683 0.43493151],0.630557243473521,[0.82590073 0.54313725 0.52263374],80,1,True,300,0.1,0.0005,1,focal,2,True,5,64,4
0,,0.634482741355896,0.5154407134254528,[0.75515152 0.47382102 0.31734961],0.509591008676168,[0.7931254  0.43079001 0.30485762],0.5259865014841565,[0.72064777 0.52640264 0.33090909],,0.7172446846961975,0.6325520700007776,[0.81298058 0.60359801 0.48107761],0.6227500097313733,[0.84206263 0.57438017 0.45180723],0.645397088876703,[0.78584026 0.63594771 0.51440329],80,1,True,300,0.1,0.0005,12,focal,2,True,5,64,4
0,,0.6383141875267029,0.5168644195822554,[0.76016199 0.4690027  0.32142857],0.5104274073642953,[0.7896541  0.43971119 0.30191693],0.5263017111427742,[0.73279352 0.50247525 0.34363636],,0.7135517001152039,0.6257846951265921,[0.81044738 0.59948816 0.46741855],0.6165718655903972,[0.83240372 0.58709273 0.43021915],0.6378992200446708,[0.78961955 0.6124183  0.51165981],80,1,True,300,0.1,0.0005,123,focal,2,True,5,64,4
0,,0.6160919666290283,0.4883277626238692,[0.74301926 0.43274404 0.28921998],0.48412070092548015,[0.76813831 0.40503597 0.27918782],0.4946708291419078,[0.71949104 0.46452145 0.3       ],,0.6931599378585815,0.6028416349121943,[0.79553421 0.57381795 0.43917275],0.5933392592444963,[0.82056776 0.5649145  0.39453552],0.6167294352583282,[0.77198287 0.58300654 0.4951989 ],80,1,True,300,0.1,0.0001,1,focal,2,True,5,64,5
0,,0.6130267977714539,0.47383797270777833,[0.74488603 0.40342298 0.2732049 ],0.4716233028529184,[0.75280567 0.39855072 0.26351351],0.47639449832779696,[0.73713129 0.40841584 0.28363636],,0.7008670568466187,0.6124992174607263,[0.80107734 0.57443201 0.4619883 ],0.6051267675293778,[0.81583072 0.59689922 0.40265036],0.6274269927449717,[0.78684807 0.55359477 0.54183813],80,1,True,300,0.1,0.0001,12,focal,2,True,5,64,5
0,,0.6214559674263,0.4853466483813127,[0.74970692 0.4274622  0.27887083],0.48225406517168423,[0.75995247 0.42348178 0.26332795],0.48920524614636135,[0.73973395 0.43151815 0.29636364],,0.6992614269256592,0.6052502800983239,[0.80280433 0.56458685 0.44835966],0.599369963143335,[0.8124355  0.58327526 0.40239913],0.6155435013511578,[0.79339884 0.54705882 0.50617284],80,1,True,300,0.1,0.0001,123,focal,2,True,5,64,5
0,,0.6379310488700867,0.5179526385557126,[0.76059701 0.45331267 0.33994823],0.512244978651354,[0.78593461 0.42731921 0.32348112],0.5258990635905695,[0.73684211 0.48267327 0.35818182],,0.7231855988502502,0.6320279540136721,[0.82057878 0.60326428 0.4722408 ],0.6264332692725193,[0.83815029 0.58031401 0.46083551],0.6386861466122801,[0.8037289  0.62810458 0.48422497],80,1,True,400,0.1,0.001,1,focal,2,True,5,64,6
0,,0.6124520897865295,0.5090007809545188,[0.73584319 0.45386347 0.33729569],0.4991885702563115,[0.7962963  0.41609354 0.28517588],0.5319411773450335,[0.68392134 0.49917492 0.41272727],,0.7048811912536621,0.6268293075042748,[0.80218172 0.59489388 0.48341232],0.6123667724018499,[0.84977452 0.56188263 0.42544317],0.6504447046308236,[0.75963719 0.63202614 0.55967078],80,1,True,400,0.1,0.001,12,focal,2,True,5,64,6
0,,0.6390804648399353,0.5063301827739621,[0.7654321  0.44812273 0.30543572],0.5025394165928502,[0.77824268 0.43873518 0.29064039],0.5109251370481177,[0.75303644 0.45792079 0.32181818],,0.7162812948226929,0.6238304139710987,[0.81532567 0.5872914  0.46887417],0.6189723161554147,[0.82672883 0.57692308 0.45326504],0.6292895759126697,[0.8042328  0.59803922 0.48559671],80,1,True,400,0.1,0.001,123,focal,2,True,5,64,6
0,,0.6423371434211731,0.5160894337916696,[0.76580693 0.45362495 0.32883642],0.5109975412057169,[0.78088368 0.44550517 0.30660377],0.5226309964715384,[0.75130133 0.4620462  0.35454545],,0.7137122750282288,0.621231837207615,[0.81261926 0.58721704 0.46385921],0.6157012609742035,[0.82065776 0.59837178 0.42807425],0.6291267124133605,[0.80473671 0.57647059 0.50617284],80,1,True,400,0.1,0.0005,1,focal,2,True,5,64,7
0,,0.6241379380226135,0.5069592646403894,[0.75015088 0.44594059 0.32478632],0.4988660838797357,[0.78422713 0.42878903 0.28358209],0.5211447061421005,[0.71891267 0.46452145 0.38      ],,0.707771360874176,0.6230837636508326,[0.80791923 0.59793148 0.46340058],0.6110993809115048,[0.84226353 0.59143223 0.39960239],0.6440938515323825,[0.77626606 0.60457516 0.55144033],80,1,True,400,0.1,0.0005,12,focal,2,True,5,64,7
0,,0.6534482836723328,0.5207569462288385,[0.7769409  0.4519966  0.33333333],0.518617307208166,[0.77829367 0.46584939 0.31170886],0.5242395135985548,[0.77559283 0.43894389 0.35818182],,0.7166024446487427,0.6180136535683459,[0.81851157 0.57172414 0.46380525],0.6176409934015833,[0.81271734 0.60510949 0.43509615],0.6209299083144918,[0.82438901 0.54183007 0.49657064],80,1,True,400,0.1,0.0005,123,focal,2,True,5,64,7
0,,0.6339080333709717,0.49980638869293365,[0.7588725  0.44361834 0.29692833],0.4968364387432203,[0.76659782 0.44416873 0.27974277],0.5035780911810094,[0.75130133 0.44306931 0.31636364],,0.7015092968940735,0.611020537669427,[0.80394417 0.56739496 0.46172249],0.6036209603518388,[0.81744792 0.58408304 0.40933192],0.6240019190117748,[0.79087931 0.55163399 0.52949246],80,1,True,400,0.1,0.0001,1,focal,2,True,5,64,8
0,,0.607854425907135,0.48395746582090854,[0.73155274 0.44161677 0.27870289],0.479351729434327,[0.76491007 0.40410959 0.26903553],0.4922909387526375,[0.70098323 0.48679868 0.28909091],,0.7015092968940735,0.6147327136463999,[0.80067524 0.58440722 0.45911569],0.6044667983998252,[0.82609861 0.57623888 0.41106291],0.629823561797833,[0.77676997 0.59281046 0.51989026],80,1,True,400,0.1,0.0001,12,focal,2,True,5,64,8
0,,0.6233716607093811,0.4907795741428272,[0.74771858 0.439412   0.28520815],0.48773710231981177,[0.76139089 0.42375479 0.27806563],0.4945088430184834,[0.73452863 0.45627063 0.29272727],,0.7035966515541077,0.608225829492734,[0.80488736 0.57674419 0.44304594],0.6030201390020511,[0.8132716  0.58648649 0.40930233],0.6156159034258422,[0.79667423 0.56732026 0.48285322],80,1,True,400,0.1,0.0001,123,focal,2,True,5,64,8
