,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6450191736221313,0.5190298262860503,[0.772254   0.43841516 0.34642032],0.5141189636260918,[0.7833978  0.45855856 0.30040053],0.5301602311763854,[0.76142279 0.419967   0.40909091],,0.6775851249694824,0.5767811779144031,[0.79378317 0.49663001 0.43993035],0.5735140260127343,[0.79619772 0.54305663 0.38128773],0.5895966068183104,[0.79138322 0.45751634 0.51989026],20,3,5,6,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.629118800163269,0.5076491673260201,[0.75357569 0.44       0.32937182],0.5017990014330439,[0.7771973  0.41928251 0.3089172 ],0.5156487198748794,[0.7313476  0.46287129 0.35272727],,0.665542721748352,0.5669765431064158,[0.77968287 0.50821745 0.41302932],0.5612182552839728,[0.79831045 0.49204406 0.39330025],0.5740790692134192,[0.76190476 0.5254902  0.43484225],20,3,5,6,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.634482741355896,0.5053786653042985,[0.76464512 0.44054748 0.3109434 ],0.5012781671782833,[0.78065682 0.45737123 0.26580645],0.5162466616817841,[0.74927704 0.42491749 0.37454545],,0.6681117415428162,0.5679421067471324,[0.78584252 0.50337838 0.41460542],0.5614830155754195,[0.80020893 0.52097902 0.36326109],0.58058806513003,[0.77198287 0.4869281  0.48285322],20,3,5,6,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.619157075881958,0.47730837047045654,[0.75387064 0.38922156 0.28883291],0.4756108134141362,[0.75441645 0.40408526 0.26833073],0.48048847857602417,[0.75332562 0.37541254 0.31272727],,0.6538214683532715,0.5462470573165966,[0.77945311 0.46937417 0.3899139 ],0.5408202059450277,[0.79077003 0.47829037 0.35340022],0.5546940312476156,[0.76845553 0.46078431 0.43484225],20,3,5,6,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6160919666290283,0.4558677135764692,[0.75438101 0.3602649  0.25295723],0.4594507960872858,[0.73770039 0.38746439 0.25318761],0.45373145527392533,[0.77183343 0.33663366 0.25272727],,0.6494861841201782,0.5321346237932908,[0.77336332 0.46058944 0.36245111],0.5321766282310586,[0.76703841 0.48414986 0.34534161],0.5334511307952536,[0.7797934  0.43921569 0.38134431],20,3,5,6,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6099616885185242,0.4750317621725064,[0.74206648 0.42963515 0.25339367],0.4722719870523628,[0.77311188 0.39145183 0.25225225],0.48134540753092087,[0.71341816 0.47607261 0.25454545],,0.6517341136932373,0.5498632535572696,[0.76858748 0.50758035 0.37342193],0.544615579447666,[0.79831705 0.47341629 0.3621134 ],0.5578370168369131,[0.74099269 0.54705882 0.38545953],20,3,5,6,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.5643678307533264,0.4318704482503282,[0.7071256  0.34869888 0.23978686],0.4304767948796855,[0.73973468 0.3173207  0.234375  ],0.4365627800489707,[0.6772701  0.3869637  0.24545455],,0.6037251353263855,0.5016443453276737,[0.7289501  0.42304176 0.35294118],0.49898699694058585,[0.75261605 0.39634495 0.348     ],0.5061155326328063,[0.70672714 0.45359477 0.35802469],20,3,5,6,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.5894635915756226,0.4291276138905013,[0.73118889 0.31729958 0.23889437],0.4343008812255326,[0.7168658  0.32469775 0.26133909],0.42544234411873805,[0.74609601 0.31023102 0.22      ],,0.6196210384368896,0.49706414099792234,[0.74675972 0.42108775 0.32334495],0.4991941170502523,[0.73884094 0.43012952 0.3286119 ],0.49517085297767943,[0.75485009 0.4124183  0.31824417],20,3,5,6,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.5664750933647156,0.4172051816597766,[0.70901461 0.31324313 0.2293578 ],0.41744595718408933,[0.70952795 0.31132844 0.23148148],0.4169854232386801,[0.70850202 0.31518152 0.22727273],,0.6056519150733948,0.4853814153579962,[0.72901143 0.41292517 0.31420765],0.48741860483830113,[0.71883419 0.43049645 0.31292517],0.4839045631970209,[0.73948098 0.39673203 0.31550069],20,3,5,6,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6434866189956665,0.5208561697875663,[0.76641266 0.44530577 0.35085008],0.5159199349427054,[0.77688651 0.46576577 0.30510753],0.5318374654122439,[0.75621747 0.42656766 0.41272727],,0.6687540411949158,0.5607778065115553,[0.78859738 0.49081456 0.40292149],0.5580823256243161,[0.78959333 0.52250923 0.36214442],0.5681318892440378,[0.78760393 0.4627451  0.45404664],20,3,5,6,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
