,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,transformer_encoder_layers,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6312260627746582,0.4490127122985103,[0.77601558 0.34692108 0.22410148],0.46034288676044094,[0.74772118 0.36563071 0.26767677],0.4430986152403557,[0.80653557 0.330033   0.19272727],,0.6467565894126892,0.4803006639198242,[0.79425837 0.38061798 0.26602564],0.49572233294930074,[0.75609201 0.41122914 0.31984586],0.4728134326432905,[0.83648274 0.35424837 0.22770919],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6406130194664001,0.3533591188644479,[0.78608311 0.10754098 0.16645327],0.4090233775288586,[0.68370402 0.26198083 0.28138528],0.3701204764779544,[0.92452285 0.06765677 0.11818182],,0.6376043558120728,0.38173946923351415,[0.78217717 0.17283951 0.19020173],0.46543817855633324,[0.67320974 0.4057971  0.31730769],0.3929463143282004,[0.93323255 0.10980392 0.13580247],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6664751172065735,0.30212463749622737,[0.80103481 0.10533911 0.        ],0.36484344034879107,[0.67499009 0.41954023 0.        ],0.34839780970578266,[0.98496241 0.06023102 0.        ],,0.642260730266571,0.30253942239073633,[0.78205773 0.12556054 0.        ],0.36392170094908205,[0.65082022 0.44094488 0.        ],0.35093148370459293,[0.97959184 0.07320261 0.        ],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6352490186691284,0.3886396586321114,[0.77807589 0.22680412 0.16103896],0.43666476407042687,[0.69695583 0.33122029 0.28181818],0.38857877285704284,[0.8805668  0.17244224 0.11272727],,0.6501284241676331,0.43148445617561754,[0.78821322 0.32530629 0.18093385],0.4907696817532925,[0.70129615 0.45997611 0.31103679],0.4263096184976048,[0.89972285 0.25163399 0.12757202],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6624521017074585,0.2656526081278328,[0.79695782 0.         0.        ],0.22081736909323116,[0.66245211 0.         0.        ],0.3333333333333333,[1. 0. 0.],,0.6379255056381226,0.26135262674350623,[0.77884615 0.00521173 0.        ],0.47926509186351707,[0.63779528 0.8        0.        ],0.33420479302832246,[1.         0.00261438 0.        ],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6632183790206909,0.27298418359951115,[0.79810251 0.02085004 0.        ],0.34553887128621935,[0.66518804 0.37142857 0.        ],0.3360411373699545,[0.99739734 0.01072607 0.        ],,0.6393705606460571,0.2699315440436131,[0.78079085 0.02900378 0.        ],0.3507198407554856,[0.64144524 0.41071429 0.        ],0.3375043844698373,[0.99748047 0.01503268 0.        ],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6477011442184448,0.29437604987467947,[0.78877226 0.00977199 0.0845839 ],0.4034672317976702,[0.66600279 0.375      0.16939891],0.3427823661487028,[0.96703297 0.0049505  0.05636364],,0.6286126971244812,0.30289329071599536,[0.77397949 0.00641437 0.12828601],0.363719037990527,[0.64396855 0.17241379 0.27477477],0.3522366422563538,[0.96976568 0.00326797 0.08367627],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6463601589202881,0.3220064982294197,[0.78226196 0.16645649 0.01730104],0.40112271558685747,[0.67185554 0.35294118 0.17857143],0.35136400858130923,[0.93609023 0.10891089 0.00909091],,0.6300578117370605,0.3343503742247702,[0.76747326 0.21477162 0.02080624],0.4237958203947603,[0.65282686 0.41856061 0.2       ],0.36212778664277784,[0.93096498 0.14444444 0.01097394],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6588122844696045,0.2896170834005784,[0.79307116 0.07578009 0.        ],0.3489131221595522,[0.66614235 0.38059701 0.        ],0.34061209764701167,[0.97975709 0.04207921 0.        ],,0.6369621157646179,0.28556400720321734,[0.7778221  0.07886992 0.        ],0.34670675894792596,[0.64367057 0.3964497  0.        ],0.34213537266758554,[0.98261527 0.04379085 0.        ],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6216475367546082,0.4787982788300529,[0.75907494 0.39296875 0.28435115],0.4802887316184283,[0.76852401 0.3731454  0.29919679],0.47859366676980014,[0.74985541 0.4150165  0.27090909],,0.6412973403930664,0.49684642483527935,[0.78408807 0.43220878 0.27424242],0.5020366655206931,[0.77863354 0.42121588 0.30626058],0.4938985745189708,[0.78961955 0.44379085 0.24828532],11,3,5,3,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,2,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
