,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6396551728248596,0.5094730401659173,[0.77547419 0.41107746 0.34186747],0.5042657746112905,[0.78881244 0.4322111  0.29177378],0.5224069966279451,[0.76257953 0.39191419 0.41272727],,0.6610468626022339,0.5508909344942517,[0.78867158 0.47009736 0.39390387],0.5470910658418084,[0.79513444 0.50222883 0.34390993],0.5616827801079279,[0.78231293 0.44183007 0.46090535],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(32, 32)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.636781632900238,0.5069203797593026,[0.76422527 0.42061856 0.33591731],0.5035985089480902,[0.77120141 0.42044518 0.31914894],0.5109039128320004,[0.7573742  0.42079208 0.35454545],,0.6681117415428162,0.5523430518433686,[0.79021684 0.50050727 0.36630504],0.5506225222735549,[0.79081504 0.51857043 0.3424821 ],0.5556565561752822,[0.78961955 0.48366013 0.39368999],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(32, 32)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6455938816070557,0.5147052263745105,[0.77298641 0.43835616 0.33277311],0.5106775299602341,[0.78155483 0.44110276 0.309375  ],0.5200824605306106,[0.76460382 0.43564356 0.36      ],,0.6677906513214111,0.5491634877766906,[0.79319042 0.49149717 0.36280288],0.5476036829267508,[0.79399142 0.50170184 0.34711779],0.5513543140164159,[0.79239103 0.48169935 0.37997257],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(32, 32)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6390804648399353,0.4992774365798782,[0.77160948 0.42792453 0.2982983 ],0.5040749319347744,[0.78607861 0.39429764 0.33184855],0.49879808744321513,[0.75766339 0.46782178 0.27090909],,0.665542721748352,0.5387939113264263,[0.79424751 0.4836272  0.33850702],0.5429746763890065,[0.79535119 0.46658566 0.36698718],0.5364122054857607,[0.79314689 0.50196078 0.31412894],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(32, 32)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6283524632453918,0.5084444149381562,[0.75283921 0.43621085 0.33628319],0.5042048048270501,[0.77891156 0.40611664 0.32758621],0.5150108041457703,[0.72845575 0.47112211 0.34545455],,0.6560693383216858,0.5505781116503087,[0.77418527 0.49727651 0.38027255],0.5457797219564283,[0.78875817 0.48774356 0.36083744],0.5564170249718543,[0.76014109 0.50718954 0.40192044],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(32, 32)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6450191736221313,0.515057802364177,[0.77114134 0.45659929 0.31743278],0.5105701927774002,[0.78886872 0.43935927 0.30348259],0.520722657575185,[0.75419318 0.47524752 0.33272727],,0.6669877767562866,0.5503274436834584,[0.79012658 0.49498544 0.36587031],0.5493821544525083,[0.79394556 0.49007047 0.36413043],0.5513236844806509,[0.78634417 0.5        0.36762689],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(32, 32)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6287356615066528,0.4039028395938265,[0.76540319 0.43555264 0.01075269],0.5037579050652903,[0.77481481 0.3614589  0.375     ],0.43650893255895856,[0.75621747 0.54785479 0.00545455],,0.652536928653717,0.4290851211788136,[0.79025982 0.48614072 0.01085482],0.5659449136509449,[0.7873937  0.41044104 0.5       ],0.46490409606915467,[0.79314689 0.59607843 0.00548697],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(32, 32)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6392720341682434,0.500737999897395,[0.76650332 0.41524736 0.32046332],0.5046459022344618,[0.76408046 0.40829346 0.34156379],0.49773400359122083,[0.76894158 0.42244224 0.30181818],,0.6681117415428162,0.542728469266527,[0.79151061 0.49341238 0.34326241],0.5457210049363691,[0.78445929 0.49734396 0.35535977],0.540064640396625,[0.79868985 0.48954248 0.33196159],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(32, 32)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6400383114814758,0.49221728270471515,[0.77051781 0.41745283 0.2886812 ],0.5012811618384109,[0.76863309 0.39864865 0.33656174],0.487752627778683,[0.7724118  0.43811881 0.25272727],,0.6629736423492432,0.5218456850541987,[0.79245754 0.48848217 0.28459734],0.52957958461035,[0.78559049 0.47223917 0.33090909],0.518328373873555,[0.7994457  0.50588235 0.24965706],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(32, 32)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6281608939170837,0.5189272939920396,[0.74912521 0.45921917 0.3484375 ],0.5092828778117373,[0.79036918 0.432      0.30547945],0.5358419312145212,[0.71197224 0.49009901 0.40545455],,0.6616891622543335,0.5646990683827674,[0.77957691 0.51239137 0.40212892],0.555782864541719,[0.80916237 0.50475587 0.35343035],0.5795774551247111,[0.75207861 0.52026144 0.46639232],11,3,5,3,15,3,umap,16,,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,"(12,)",300,"(128, 128)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
