,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6237547993659973,0.4993267185886862,[0.75136652 0.41898527 0.32762836],0.4935094676429568,[0.76804591 0.41558442 0.29689808],0.5077643241478572,[0.73539618 0.42244224 0.36545455],,0.6827231645584106,0.5871867285946262,[0.79399307 0.52812707 0.43944005],0.5796939635216007,[0.80926217 0.53485255 0.39496718],0.5986856745441661,[0.77928949 0.52156863 0.4951989 ],35,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6220306754112244,0.49929627160247847,[0.7556615  0.41586748 0.32635983],0.4949682179260997,[0.77934849 0.44085028 0.26470588],0.5174635977189391,[0.73337189 0.39356436 0.42545455],,0.6650609970092773,0.5759553853650354,[0.77802312 0.50613079 0.44371225],0.567120644586427,[0.80294906 0.5284495  0.36996337],0.5981342880087563,[0.75459814 0.48562092 0.55418381],35,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.5986589789390564,0.4965018388898339,[0.73114241 0.41314199 0.34522111],0.4872275210628774,[0.79672578 0.38091922 0.28403756],0.5222850411125554,[0.67553499 0.45132013 0.44      ],,0.6567116379737854,0.5743024530413171,[0.77025764 0.51239137 0.44025834],0.5620534043282265,[0.81913685 0.50475587 0.36226749],0.6027291026149829,[0.72688335 0.52026144 0.56104252],35,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6159003973007202,0.45406183113537396,[0.75186488 0.3629174  0.24740321],0.4593026873792221,[0.73238278 0.38815789 0.25736739],0.45045089760566576,[0.7724118  0.34075908 0.23818182],,0.6693962812423706,0.5542221597833247,[0.7816036  0.47520514 0.40585774],0.5639014229950308,[0.75576471 0.52317361 0.41276596],0.5479143097568245,[0.80927186 0.43529412 0.39917695],35,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6021072864532471,0.4528674896006885,[0.74379445 0.36006547 0.25474255],0.4523352536517433,[0.74672107 0.35714286 0.25314183],0.4534302094177029,[0.74089069 0.3630363  0.25636364],,0.6526975035667419,0.5417462157475706,[0.77219787 0.46757679 0.38546398],0.5409095146507567,[0.76767928 0.48928571 0.36576355],0.543963264318073,[0.77676997 0.44771242 0.40740741],35,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.5766283273696899,0.4381577760603867,[0.72360477 0.3196005  0.27126806],0.4341359817819705,[0.73717372 0.32241814 0.24281609],0.4448769087435059,[0.71052632 0.31683168 0.30727273],,0.6372832655906677,0.5356809135297486,[0.75707218 0.44857845 0.40139211],0.5315293438559361,[0.76239142 0.48445792 0.34773869],0.5480321621103861,[0.75182666 0.41764706 0.47462277],35,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.5697317719459534,0.39580227447041855,[0.71767514 0.27830596 0.19142572],0.400508149916146,[0.69740791 0.29219601 0.21192053],0.3931258678210216,[0.73915558 0.26567657 0.17454545],,0.6332691311836243,0.5033673913415525,[0.75351183 0.41207815 0.3445122 ],0.5195789080365918,[0.71972477 0.45136187 0.38765009],0.4932420155991066,[0.79062736 0.37908497 0.31001372],35,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.576819896697998,0.42649445859223434,[0.7230924  0.29973238 0.2566586 ],0.42521154558991187,[0.71865181 0.32621359 0.23076923],0.431302277711866,[0.7275882  0.27722772 0.28909091],,0.6298972368240356,0.5151658758758634,[0.75504108 0.42255532 0.36790123],0.5153299780250201,[0.74612546 0.46540881 0.33445567],0.519959863231987,[0.76417234 0.3869281  0.40877915],35,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6076628565788269,0.42531970151299286,[0.75077504 0.23920957 0.2859745 ],0.437696557272446,[0.70310528 0.32348805 0.28649635],0.42686745134895215,[0.80537883 0.18976898 0.28545455],,0.6305394768714905,0.49304770009445614,[0.75735034 0.36227045 0.35952231],0.5152026480003954,[0.71266667 0.50115473 0.33178654],0.49466348953847655,[0.80801209 0.28366013 0.39231824],35,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6459770202636719,0.5236046184093347,[0.76993368 0.45338983 0.34749035],0.5177109905213987,[0.78509167 0.46602787 0.30201342],0.5352866547499169,[0.75534991 0.44141914 0.40909091],,0.6852922439575195,0.5860703716421753,[0.7972028  0.52606635 0.43494197],0.5807960033009241,[0.80467146 0.54564607 0.39207048],0.5953516111520053,[0.7898715  0.50784314 0.48834019],35,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
