,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6771668195724487,0.6536132227422148,[0.7439385  0.56328795],0.6513576843878424,[0.76800977 0.5347056 ],0.6582144183818606,[0.72133028 0.59509856],,0.7701846361160278,0.7575125114671875,[0.81294569 0.70207933],0.7564603061163719,[0.81896552 0.69395509],0.7587048810522525,[0.80701372 0.71039604],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6734389662742615,0.6467370225048482,[0.74385965 0.5496144 ],0.6449990337270748,[0.75894988 0.53104819],0.6494418186350461,[0.7293578  0.56952584],,0.781911313533783,0.7683831071513856,[0.82435953 0.71240668],0.7689547469449458,[0.82168362 0.71622588],0.7678404676513331,[0.82705293 0.70862801],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6920782923698425,0.6735850729892382,[0.75127974 0.59589041],0.670970463300033,[0.79105897 0.55088195],0.6821087323368835,[0.71530963 0.64890783],,0.7780024409294128,0.7678975524803686,[0.81632653 0.71946857],0.7652160891932274,[0.83638026 0.69405192],0.772014737647023,[0.79721194 0.74681754],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6792171597480774,0.6573264016994347,[0.74393691 0.57071589],0.6549304806379335,[0.7732756  0.53658537],0.6631131685834804,[0.71674312 0.60948322],,0.7873028516769409,0.7745731301356167,[0.82814202 0.72100424],0.7745731301356168,[0.82814202 0.72100424],0.7745731301356168,[0.82814202 0.72100424],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.679962694644928,0.6589394402258714,[0.74361654 0.57426234],0.6565242063283286,[0.77594266 0.53710575],0.665409037699237,[0.71387615 0.61694193],,0.7947162985801697,0.7841697467645959,[0.8318799 0.7364596],0.7822209183904095,[0.84333035 0.72111149],0.7866057352849203,[0.82073622 0.75247525],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6853681206703186,0.6719510251394624,[0.73829457 0.60560748],0.6715872967703267,[0.80384875 0.53932584],0.6865448261915119,[0.68262615 0.69046351],,0.7832592129707336,0.7750050921951359,[0.81809955 0.73191064],0.7717263961904564,[0.85102377 0.69242902],0.7818974350837704,[0.78762797 0.7761669 ],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6876048445701599,0.6649523795328871,[0.75207101 0.57783375],0.6624560328583928,[0.77689487 0.5480172 ],0.6699329583612342,[0.7287844  0.61108151],,0.7817765474319458,0.7679007338317266,[0.82465071 0.71115076],0.7689007941611846,[0.82012064 0.71768095],0.7669847176552611,[0.8292311  0.70473833],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6795899271965027,0.6594727304689849,[0.74224022 0.57670525],0.6571146879422578,[0.77805721 0.53617216],0.6667217811704214,[0.70957569 0.62386787],,0.7831243872642517,0.7725731447310855,[0.82155928 0.72358701],0.7702574269922484,[0.83687302 0.70364183],0.7757459015964141,[0.80679591 0.7446959 ],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6859273314476013,0.6683232602089654,[0.74473565 0.59191087],0.6661104039155117,[0.78959203 0.54262877],0.6778703633555401,[0.70470183 0.65103889],,0.7835288047790527,0.7729279444378208,[0.82199069 0.7238652 ],0.770658010058741,[0.83683142 0.70448461],0.776004733139711,[0.80766717 0.74434229],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6751164793968201,0.6605327879609163,[0.73089393 0.59017164],0.6600511499516184,[0.79190365 0.52819865],0.673616261920007,[0.67861239 0.66862014],,0.7627712488174438,0.7531183521741339,[0.80193563 0.70430108],0.7502519828463852,[0.82956927 0.6709347 ],0.7586217360884111,[0.77608364 0.74115983],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6715750098228455,0.645423980517004,[0.74171797 0.54912999],0.643579703557073,[0.75884823 0.52831118],0.6485004680023265,[0.72534404 0.5716569 ],,0.7541447877883911,0.738894182598348,[0.80199739 0.67579097],0.7394039687976959,[0.79939407 0.67941387],0.7384121183534478,[0.80461773 0.67220651],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6989748477935791,0.6773142652309727,[0.76091784 0.59371069],0.6745474212325759,[0.78665442 0.56244042],0.6827373431642334,[0.73681193 0.62866276],,0.7453835010528564,0.7326023664987193,[0.79106294 0.6741418 ],0.7308647787436469,[0.80359551 0.65813405],0.7349314675998826,[0.77891527 0.69094767],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6754893064498901,0.6580979442057533,[0.73520913 0.58098676],0.6564057748188117,[0.7829608  0.52985075],0.6679973318979633,[0.69294725 0.64304742],,0.7894594669342041,0.7802220522939183,[0.82527964 0.73516446],0.7772149500091001,[0.84824097 0.70618893],0.7850740810459675,[0.80352864 0.76661952],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6549860239028931,0.6423611690082396,[0.70955594 0.5751664 ],0.6444753871526807,[0.78370884 0.50524194],0.657888542740954,[0.64822248 0.66755461],,0.7755762338638306,0.7680779197103076,[0.8097795  0.72637634],0.7650261138652754,[0.8515137  0.67853853],0.7767080571205516,[0.77194511 0.781471  ],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6941286325454712,0.6681158195952752,[0.76103102 0.57520062],0.6663608115643479,[0.77330571 0.55941591],0.6705209397437839,[0.74913991 0.59190197],,0.7827200293540955,0.7674174903255828,[0.82707573 0.70775925],0.77051438838059,[0.8148383  0.72619048],0.7649633977306931,[0.83968634 0.69024045],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6725069880485535,0.655259940990867,[0.73236862 0.57815126],0.6537521221060383,[0.78128047 0.52622378],0.6653346522119525,[0.68922018 0.64144912],,0.7890551090240479,0.7792445603437482,[0.82578203 0.73270709],0.7765561900996676,[0.84448998 0.7086224 ],0.7831857776591985,[0.80788499 0.75848656],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6723206043243408,0.6587202487868803,[0.72684897 0.59059152],0.6590182807330931,[0.79341927 0.52461729],0.6730654732810996,[0.67058486 0.67554608],,0.7611538171768188,0.753210662661911,[0.79748571 0.70893561],0.750433386388009,[0.83890358 0.66196319],0.7615243002036147,[0.75996515 0.76308345],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6879776120185852,0.6678397484091387,[0.74962608 0.58605341],0.6652268535393457,[0.78361476 0.54683895],0.6748949438641596,[0.7184633  0.63132658],,0.766680121421814,0.7537506307816941,[0.81017655 0.69732471],0.7527697295004725,[0.81581272 0.68972674],0.7548548340535892,[0.80461773 0.70509194],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6917055249214172,0.6643737889224148,[0.76015081 0.56859677],0.6630238658145432,[0.76907277 0.55697496],0.6660736957031765,[0.75143349 0.58071391],,0.7305566668510437,0.7103399942042925,[0.78686427 0.63381572],0.7141106757772424,[0.77067669 0.65754466],0.7077431029346206,[0.80374646 0.61173975],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6954333782196045,0.6696436538974045,[0.76194639 0.57734092],0.6678356404537754,[0.77458531 0.56108597],0.672139549618022,[0.7497133 0.5945658],,0.7316349744796753,0.7127133599247477,[0.78644213 0.63898459],0.7152375908423545,[0.77472527 0.65574991],0.7107870019350941,[0.79851884 0.62305516],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.7025163173675537,0.6737530165083823,[0.77062374 0.57688229],0.6733824792986245,[0.77262248 0.57414248],0.6741418480837565,[0.76863532 0.57964838],,0.7394527792930603,0.7201598724386161,[0.79363724 0.64668251],0.7237907519055741,[0.77826633 0.66931517],0.7175789711559761,[0.80962753 0.62553041],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(512, 512)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6780987977981567,0.6590536051335545,[0.73963516 0.57847205],0.6568759936406996,[0.7799682  0.53378378],0.6672974667999394,[0.70326835 0.63132658],,0.7517185807228088,0.7398758314160329,[0.7953788  0.68437286],0.7377518109344627,[0.81160735 0.66389628],0.7429696485066872,[0.77978654 0.70615276],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(512, 512)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6924510598182678,0.6681072026951393,[0.75799355 0.57822086],0.6658749658749659,[0.77597598 0.55577396],0.6716914801581677,[0.74082569 0.60255727],,0.7505054473876953,0.7343795916969171,[0.79982697 0.66893221],0.7355222826675024,[0.79424399 0.67680058],0.7333668480579894,[0.805489  0.6612447],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(512, 512)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6937558054924011,0.678298726409384,[0.74881517 0.60778229],0.6763836721949141,[0.80216181 0.55060554],0.6901657345314844,[0.70212156 0.67820991],,0.7585927844047546,0.7484179880007567,[0.79901246 0.69782352],0.7456930551073824,[0.82407407 0.66731204],0.7533445148354647,[0.77543019 0.73125884],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(512, 512)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6896551847457886,0.6661343638822881,[0.75475033 0.5775184 ],0.663742517536382,[0.77612845 0.55135659],0.6704024881105415,[0.73451835 0.60628663],,0.7843375205993652,0.7726665109028301,[0.82417582 0.7211572 ],0.7713332784602616,[0.83166999 0.71099656],0.7742139777813859,[0.81681551 0.73161245],11,3,5,3,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(512, 512)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,8
