,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,transformer_encoder_layers,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6978564858436584,0.6408144726821594,[0.78395309 0.49767586],0.663658964069923,[0.73250311 0.59481481],0.6354934705732845,[0.84317661 0.42781034],,0.7072381973266602,0.6651232559009463,[0.7838806  0.54636591],0.694453832091547,[0.72156073 0.66734694],0.6602503452884418,[0.85798301 0.46251768],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.680894672870636,0.6509665294379094,[0.75317186 0.5487612 ],0.6502882984942395,[0.7575406  0.54303599],0.651730814348487,[0.74885321 0.55460842],,0.7062946557998657,0.6889062445726738,[0.76245503 0.61535746],0.6887926149541962,[0.76320384 0.61438139],0.6890221613100103,[0.76170769 0.61633663],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6782851815223694,0.6438145365675931,[0.75462042 0.53300866],0.6449776393629072,[0.74844896 0.54150632],0.6428340351331668,[0.7608945  0.52477357],,0.7223345637321472,0.7008783445029447,[0.78099086 0.62076583],0.7051449722688794,[0.76282451 0.64746544],0.6981123050849443,[0.80004356 0.59618105],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6978564858436584,0.6665451709897003,[0.76872592 0.56436442],0.66726893057521,[0.76512354 0.56941432],0.6658828442322073,[0.77236239 0.5594033 ],,0.8137215375900269,0.8017236044615398,[0.85049762 0.75294959],0.8031097889869294,[0.84483129 0.76138829],0.8004681843234889,[0.85624047 0.7446959 ],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6777260303497314,0.6471203730385848,[0.75104392 0.54319683],0.6465977031987478,[0.75441134 0.53878407],0.6476944470240917,[0.74770642 0.54768247],,0.8608977198600769,0.8522690769964338,[0.88797221 0.81656594],0.8530166692473169,[0.88508981 0.82094353],0.851554121479298,[0.89087345 0.81223479],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6646784543991089,0.6297419669631568,[0.7434764  0.51600753],0.6303850601295098,[0.73957447 0.52119565],0.629170704154101,[0.74741972 0.51092168],,0.8642674088478088,0.8561146109113327,[0.89036473 0.8218645 ],0.8561874472667312,[0.89007401 0.82230088],0.856042101005072,[0.89065563 0.82142857],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6989748477935791,0.6690198179563637,[0.76859149 0.56944815],0.6690825959847353,[0.76826124 0.56990395],0.668957546201483,[0.76892202 0.56899307],,0.8707373142242432,0.8633044373610304,[0.8951798  0.83142907],0.8625272019237391,[0.89842036 0.82663404],0.8641212959862125,[0.89196254 0.83628006],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6872320771217346,0.6511698104434352,[0.76332863 0.53901099],0.6538435979507193,[0.75124931 0.55643789],0.6492226334723084,[0.77580275 0.52264251],,0.8855640888214111,0.878838069984804,[0.90738519 0.85029095],0.8784601072072493,[0.90887238 0.84804784],0.879224411145723,[0.90590285 0.85254597],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6844361424446106,0.6640368690976075,[0.74682219 0.58125155],0.6615155157270118,[0.78055642 0.54247461],0.6709409809964173,[0.71588303 0.62599893],,0.8692545890808105,0.8618918094838042,[0.89378011 0.83000351],0.8607471666917388,[0.89870073 0.82279361],0.863126983887361,[0.88891309 0.83734088],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.700465977191925,0.6679013475111057,[0.77189496 0.56390773],0.6695381753789735,[0.76440821 0.57466814],0.6665363520501679,[0.77952982 0.55354289],,0.7081816792488098,0.6858512622866241,[0.76960732 0.6020952 ],0.6896292569611369,[0.75239284 0.62686567],0.6834179442775469,[0.78762797 0.57920792],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6931966543197632,0.6627912642416895,[0.76404817 0.56153436],0.6627912642416895,[0.76404817 0.56153436],0.6627912642416895,[0.76404817 0.56153436],,0.7258390784263611,0.7051100834057811,[0.78329427 0.6269259 ],0.7089638199725323,[0.76663191 0.65129573],0.7025055093647647,[0.80069702 0.604314  ],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.68369060754776,0.6627789445783849,[0.74675422 0.57880367],0.6602665229660638,[0.77871148 0.54182156],0.6692602813879263,[0.71731651 0.62120405],,0.7112818360328674,0.6972905928384905,[0.76236965 0.63221154],0.6956671371611014,[0.77684829 0.61448598],0.6997054611799669,[0.74842082 0.6509901 ],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6892823576927185,0.657513006127268,[0.76182312 0.55320289],0.6579810655185414,[0.75932783 0.5566343 ],0.6570741973088033,[0.76433486 0.54981353],,0.8552365303039551,0.84655173821623,[0.88305749 0.81004599],0.8465989276583077,[0.88286523 0.81033263],0.846504692010104,[0.88324984 0.80975955],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.698602020740509,0.6650502715808608,[0.77106046 0.55904009],0.6671520100011721,[0.76167832 0.5726257 ],0.663380391191292,[0.78067661 0.54608418],,0.8458012938499451,0.8352563214656844,[0.87693632 0.79357633],0.8382778085371478,[0.86631243 0.81024318],0.8327026665233035,[0.887824   0.77758133],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6881640553474426,0.6477113816292668,[0.76708896 0.5283338 ],0.6533400046996669,[0.74560217 0.56107784],0.6445258849276367,[0.78985092 0.49920085],,0.8422967791557312,0.8321393757018825,[0.87343141 0.79084734],0.8336615334123065,[0.86761229 0.79971077],0.8307536700086912,[0.87932912 0.78217822],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,4
