,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6853681206703186,0.6678230106984808,[0.7441649  0.59148112],0.6656479705691531,[0.78938907 0.54190687],0.6774403174839804,[0.70384174 0.65103889],,0.8223479986190796,0.812466657941666,[0.85551414 0.76941917],0.8113025702898653,[0.86117855 0.76142659],0.8137525467236957,[0.84992376 0.77758133],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(32, 32)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.686113715171814,0.6703556600403046,[0.74242888 0.59828244],0.6687111850724072,[0.7957377  0.54168467],0.6819507968258933,[0.69581422 0.66808737],,0.8110257387161255,0.802982769436851,[0.84278986 0.76317568],0.7995475998207351,[0.86850012 0.73059508],0.8086778926360134,[0.81855805 0.79879774],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(32, 32)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6974837183952332,0.6765782918960407,[0.75880517 0.59435141],0.6737563416234207,[0.78771984 0.55979284],0.6826978592864859,[0.73193807 0.63345765],,0.7809677720069885,0.7710248028330466,[0.81873954 0.72331006],0.7682929356407433,[0.83904893 0.69753695],0.7752254657273301,[0.79939011 0.75106082],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(32, 32)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6779124140739441,0.6616265716170322,[0.73586059 0.58739255],0.660191909823381,[0.78814669 0.53223713],0.672690643741477,[0.69008028 0.65530101],,0.810217022895813,0.8008010405533263,[0.84410983 0.75749225],0.7983901383545384,[0.85836523 0.73841504],0.8039507606204501,[0.83032019 0.77758133],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(32, 32)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6905871629714966,0.6773925958125045,[0.74263566 0.61214953],0.6768635902173824,[0.80857529 0.54515189],0.6922810622797456,[0.68663991 0.69792222],,0.7930988073348999,0.7855493543157483,[0.82578595 0.74531276],0.7820898562791394,[0.86208531 0.7020944 ],0.7933104003682255,[0.79241995 0.79420085],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(32, 32)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6971108913421631,0.6787685685999266,[0.75552881 0.60200833],0.6759943743171304,[0.79487179 0.55711695],0.6873325180969045,[0.71989679 0.65476825],,0.7798894643783569,0.7718101220797682,[0.81474759 0.72887265],0.7685765000355669,[0.85014205 0.68701095],0.7791747167217578,[0.78218253 0.7761669 ],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(32, 32)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6958061456680298,0.6767382121803114,[0.75524895 0.59822747],0.6739439862988069,[0.7918239  0.55606407],0.6846066031095883,[0.72190367 0.64730954],,0.76870197057724,0.755900416758061,[0.81180083 0.7       ],0.754896852174184,[0.81753921 0.6922545 ],0.7570316223519542,[0.80614245 0.70792079],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(32, 32)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6963653564453125,0.6751847381610085,[0.75812918 0.5922403 ],0.6724050209200154,[0.78626424 0.5585458 ],0.6810995641346478,[0.73193807 0.63026105],,0.7676236629486084,0.7550165994139869,[0.81059108 0.69944212],0.7537999729836617,[0.81777876 0.68982118],0.7564319311166889,[0.80352864 0.70933522],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(32, 32)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6945013999938965,0.6709257681440031,[0.75900603 0.58284551],0.6685222106310482,[0.77905222 0.5579922 ],0.6749907896408969,[0.7399656  0.61001598],,0.7603450417518616,0.7487008477162018,[0.80279503 0.69460666],0.7466019043737192,[0.81785311 0.6753507 ],0.7516371740170563,[0.78828142 0.71499293],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(32, 32)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7222740054130554,0.6962267107841618,[0.78517878 0.60727464],0.6953360728952214,[0.78973318 0.60093897],0.6972109719051971,[0.78067661 0.61374534],,0.7645235061645508,0.7466219087186605,[0.81397082 0.67927299],0.7513132397861779,[0.79625    0.70637648],0.7433354632410685,[0.83249837 0.65417256],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(128, 128)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.7006523609161377,0.6803208267427548,[0.76094076 0.5997009 ],0.677398655752206,[0.79133127 0.56346604],0.6868572605123342,[0.73279817 0.64091636],,0.7483488321304321,0.7352871651473005,[0.79408845 0.67648588],0.7337791587982208,[0.80428954 0.66326877],0.7371916704381642,[0.78414289 0.69024045],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(128, 128)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6745573282241821,0.6535532859751232,[0.73885731 0.56824926],0.6512919213179211,[0.77235772 0.53022612],0.6601446224944157,[0.7081422  0.61214704],,0.7447095513343811,0.7316778214988537,[0.79081069 0.67254495],0.7300673906669695,[0.80215102 0.65798376],0.733775871986178,[0.77978654 0.68776521],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(128, 128)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.698602020740509,0.6828958502154558,[0.75346852 0.61232318],0.6806467369040241,[0.8046239  0.55666957],0.6943849343574804,[0.7084289  0.68034097],,0.757649302482605,0.746899042420535,[0.79906124 0.69473684],0.744354715273829,[0.82051871 0.66819073],0.7510884711709183,[0.77869745 0.72347949],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(128, 128)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.687045693397522,0.6759673790155034,[0.73588171 0.61605305],0.677465052484114,[0.81526664 0.53966346],0.6941096927803003,[0.67058486 0.71763452],,0.7494271397590637,0.7423687753949264,[0.78501214 0.69972541],0.7404264032360512,[0.83678501 0.6440678 ],0.752592397584968,[0.73927249 0.76591231],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(128, 128)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6898415684700012,0.6756293561362479,[0.74352651 0.6077322 ],0.6745158562367866,[0.804      0.54503171],0.6891239558538171,[0.69151376 0.68673415],,0.7545491456985474,0.7470429723842243,[0.79061745 0.70346849],0.7446441559465002,[0.83731125 0.65197706],0.7563235615343592,[0.74885646 0.76379066],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(128, 128)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.7008387446403503,0.6774741068546142,[0.76428257 0.59066565],0.6750175748115386,[0.78349895 0.5665362 ],0.6814640835707967,[0.74598624 0.61694193],,0.7599406838417053,0.7441704176398054,[0.80768815 0.68065268],0.7456447078672954,[0.80085653 0.69043288],0.7428915099556755,[0.81463733 0.67114569],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(128, 128)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.7060577869415283,0.6888983062533036,[0.76196226 0.61583435],0.6859576640422501,[0.80459037 0.56732496],0.6985194385927183,[0.72362385 0.67341502],,0.7615581750869751,0.7510534203190748,[0.80219166 0.69991518],0.7484315138979458,[0.82421875 0.67264428],0.7554010336933124,[0.78131126 0.72949081],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(128, 128)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6948741674423218,0.6716789753802924,[0.75894566 0.58441229],0.6691978723160587,[0.78019982 0.55819593],0.676015690297322,[0.73881881 0.61321257],,0.7456530332565308,0.7313826742250549,[0.79329609 0.66946926],0.7306199765671932,[0.7979286  0.66331135],0.7322298146826227,[0.78871706 0.67574257],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(128, 128)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.7012115716934204,0.6730716544128814,[0.76898689 0.57715642],0.6723435455686977,[0.77310924 0.57157785],0.6738766111255028,[0.76490826 0.58284497],,0.7333872318267822,0.714483295614087,[0.78795026 0.64101633],0.7171356530223538,[0.77580747 0.65846383],0.7124743941239193,[0.8004792  0.62446959],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6874184608459473,0.6704321047325756,[0.74525292 0.59561129],0.6683107612818743,[0.79256866 0.54405286],0.6806165930652563,[0.70326835 0.65796484],,0.7359482645988464,0.7250662065337401,[0.77976391 0.6703685 ],0.7226242190623378,[0.80576208 0.63948636],0.7298878532717448,[0.75539098 0.70438472],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.7012115716934204,0.67580113273079,[0.76656473 0.58503754],0.6739557786422685,[0.77892868 0.56898288],0.6783058315778154,[0.75458716 0.60202451],,0.7367569804191589,0.7200970160393239,[0.78838444 0.65180959],0.7208536674430494,[0.78438982 0.65731751],0.7194065814149015,[0.79241995 0.64639321],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(512, 512)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.7095992565155029,0.6876896204989511,[0.77040967 0.60496957],0.684883275052274,[0.79260158 0.57716497],0.6925076554427572,[0.74942661 0.63558871],,0.7506402730941772,0.7362489284809457,[0.79785839 0.67463947],0.7357905103803215,[0.80048235 0.67109867],0.7367347004794141,[0.79525158 0.67821782],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(512, 512)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.700465977191925,0.6794406720656423,[0.76153732 0.59734402],0.6765777912159769,[0.7892956  0.56385998],0.6853605389724966,[0.73566514 0.63505594],,0.7499663233757019,0.7375125416971795,[0.79468733 0.68033776],0.7356800974215069,[0.80783078 0.66352941],0.7399922577751131,[0.78196471 0.6980198 ],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(512, 512)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6937558054924011,0.6690443732048603,[0.75947885 0.5786099 ],0.6669066236105206,[0.77594975 0.5578635 ],0.6723258188207808,[0.74369266 0.60095898],,0.7344655394554138,0.7173229532501701,[0.78693489 0.64771102],0.7183675412430186,[0.78152524 0.65520984],0.7164009237062736,[0.79241995 0.6403819 ],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(512, 512)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6976701021194458,0.6793313045267563,[0.75601685 0.60264576],0.6765381469043313,[0.79525316 0.55782313],0.6878855978699173,[0.72047018 0.65530101],,0.7476748824119568,0.7355434772673957,[0.79218472 0.67890223],0.7335076366717713,[0.80778809 0.65922718],0.7384802825896679,[0.77717273 0.69978784],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(512, 512)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.68369060754776,0.6645988692135609,[0.74462002 0.58457772],0.6622081192932201,[0.78365537 0.54076087],0.6727052306286139,[0.70928899 0.63612147],,0.7420137524604797,0.7297081114713827,[0.78738058 0.67203564],0.7276870610586685,[0.80344593 0.65192819],0.7326840118588827,[0.77194511 0.69342291],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(512, 512)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6984156370162964,0.6751769944619068,[0.76205882 0.58829517],0.6726925925533742,[0.78230676 0.56307842],0.6793544836577987,[0.74283257 0.6158764 ],,0.7302870750427246,0.7147401325209417,[0.78133537 0.64814489],0.7143111089633842,[0.78399123 0.64463099],0.7151973820620074,[0.77869745 0.65169731],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",300,"(512, 512)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.6917055249214172,0.6728188612337926,[0.75142771 0.59421001],0.6701723950213401,[0.78963992 0.55070487],0.6809607977790051,[0.71674312 0.64517848],,0.8133171796798706,0.8038243513701147,[0.84697823 0.76067047],0.8016247080806902,[0.85941704 0.74383238],0.806591450833791,[0.83489436 0.77828854],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(32, 32)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6904007196426392,0.6692065473254617,[0.75293768 0.58547542],0.6665422208677101,[0.78238022 0.55070423],0.6752820691568138,[0.72563073 0.6249334 ],,0.7812373638153076,0.7687501590425929,[0.82248715 0.71501317],0.7680802636878166,[0.82601054 0.71014998],0.7694685531035601,[0.81899368 0.71994342],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(32, 32)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.6943150162696838,0.6693933033074647,[0.76016379 0.57862282],0.6673149142624347,[0.7758209  0.55880893],0.6725097968894341,[0.74512615 0.59989345],,0.7816417217254639,0.7710601122307911,[0.82027957 0.72184066],0.768730075551787,[0.83585801 0.70160214],0.7742763268765498,[0.80527118 0.74328147],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(32, 32)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.7023299336433411,0.6827133009221822,[0.76160621 0.60382039],0.6797259565323125,[0.79445656 0.56499536],0.6898698727473569,[0.73136468 0.64837507],,0.8061733245849609,0.7956049238793959,[0.84208214 0.7491277 ],0.7942472520432351,[0.84916944 0.73932507],0.7971529762585121,[0.83511218 0.75919378],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(32, 32)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6920782923698425,0.6708326871047235,[0.75445898 0.5872064 ],0.6681372549019609,[0.78333333 0.55294118],0.6768182745743989,[0.72763761 0.62599893],,0.7943118810653687,0.7837581491365525,[0.83153014 0.73598616],0.7817999339328519,[0.84307141 0.72052846],0.7862111144213342,[0.82030059 0.75212164],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(32, 32)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.6863000988960266,0.6620915605773994,[0.75253639 0.57164673],0.6598413333027373,[0.77241171 0.54727096],0.6659767043593867,[0.73365826 0.59829515],,0.7622321248054504,0.7503430725442767,[0.80482408 0.69586207],0.7484293856066409,[0.81785473 0.67900404],0.7528903176592048,[0.79220213 0.7135785 ],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(32, 32)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.704753041267395,0.6801843259701095,[0.76882662 0.59154203],0.6781049130607111,[0.78299643 0.57321339],0.6831210317557297,[0.75516055 0.61108151],,0.7630408406257629,0.7470200484631508,[0.81068275 0.68335735],0.7490531449240687,[0.80170394 0.69640235],0.7453285161885825,[0.81986495 0.67079208],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(32, 32)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6890959739685059,0.6634499522073525,[0.75635408 0.57054583],0.6615312012482814,[0.77099464 0.55206776],0.6662814251953879,[0.74225917 0.59030368],,0.7824504375457764,0.7671633763554936,[0.82682403 0.70750272],0.7702052745811849,[0.81475999 0.72565056],0.7647455802617322,[0.83925071 0.69024045],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(32, 32)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6922646760940552,0.6570116157611909,[0.76697248 0.54705075],0.6596328545532539,[0.75535168 0.56391403],0.6550615887395952,[0.77895642 0.53116676],,0.7405310869216919,0.715961597549361,[0.79950005 0.63242314],0.7267450155728394,[0.76606786 0.68742217],0.7107781444354723,[0.83598345 0.58557284],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(32, 32)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.6902143359184265,0.6736410650876833,[0.74718588 0.60009625],0.6715110236124189,[0.79585224 0.54716981],0.6842432292404921,[0.70412844 0.66435802],,0.7806981801986694,0.7713254593486623,[0.81762134 0.72502958],0.7683313807393739,[0.84226328 0.69439948],0.7764334361214071,[0.79438031 0.75848656],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(128, 128)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6829450130462646,0.6680625993876417,[0.73834795 0.59777725],0.6669816283632604,[0.79654829 0.53741497],0.6807442092349201,[0.68807339 0.67341502],,0.7620972990989685,0.7524032439484551,[0.8013953  0.70341119],0.7495497677172609,[0.82891061 0.67018892],0.7578735084355745,[0.77564801 0.74009901],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(128, 128)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.6915190815925598,0.6601483369742969,[0.76340243 0.55689424],0.660538065802886,[0.76133447 0.55974166],0.6597786520066669,[0.76548165 0.55407565],,0.748079240322113,0.7288437908492258,[0.8010644  0.65662319],0.733335389724624,[0.78330558 0.6833652 ],0.7257712340453325,[0.81964714 0.63189533],20,3,5,6,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",400,"(128, 128)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,12
