,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6728797554969788,0.6451401968663817,[0.74435543 0.54592497],0.643636396406273,[0.75658869 0.5306841 ],0.6472892981431427,[0.73251147 0.56206713],,0.8210001587867737,0.8084784870044005,[0.85744955 0.75950742],0.8118437209083089,[0.84529101 0.77839644],0.8057382040441341,[0.86996297 0.74151344],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.682758629322052,0.660525042367311,[0.74740279 0.57364729],0.6580701945808329,[0.77476923 0.54137116],0.6659598263381445,[0.72190367 0.61001598],,0.8728939294815063,0.8652225492774703,[0.8973773 0.8330678],0.8653977986822562,[0.89669421 0.83410138],0.8650490998161645,[0.89806142 0.83203678],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.7112767696380615,0.6838574076557363,[0.77696184 0.59075297],0.6831996756800682,[0.78044547 0.58595388],0.6845702504484512,[0.77350917 0.59563133],,0.8537538647651672,0.8437868385960442,[0.88324545 0.80432822],0.8467891328712032,[0.87282008 0.82075819],0.8412330163221382,[0.89392289 0.78854314],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6587138772010803,0.6281551807852446,[0.73475301 0.52155736],0.627200510568007,[0.74260615 0.51179487],0.6293818703474703,[0.72706422 0.53169952],,0.8897425532341003,0.8820644255273105,[0.91215636 0.85197249],0.886047844834422,[0.89959754 0.87249815],0.8787305862863724,[0.92507079 0.83239038],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6669151782989502,0.6429477349645498,[0.73545522 0.55044025],0.6408897887795539,[0.76033058 0.521449  ],0.6475004643365121,[0.71215596 0.58284497],,0.8710068464279175,0.863202942754514,[0.8958764  0.83052948],0.863427633912735,[0.895      0.83185527],0.8629812202522801,[0.89675452 0.82920792],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7094128727912903,0.6837607555016192,[0.77382852 0.59369299],0.6821911804369325,[0.78325991 0.58112245],0.685720476140435,[0.76462156 0.60681939],,0.8610324859619141,0.8514531693742177,[0.88917553 0.8137308 ],0.8548380824912837,[0.87775891 0.83191725],0.8486077705072682,[0.90089305 0.79632249],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6506989598274231,0.6271986875508364,[0.72079857 0.53359881],0.6255053904450856,[0.75031017 0.50070061],0.6323223882293139,[0.69352064 0.57112413],,0.8827335238456726,0.8752508500567993,[0.90580338 0.84469832],0.8767290921465896,[0.90053821 0.85291997],0.8738820680151221,[0.91113047 0.83663366],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6762348413467407,0.6513992409492813,[0.74444608 0.5583524 ],0.6493140685760919,[0.76458144 0.53404669],0.655160031134985,[0.72534404 0.58497603],,0.8789594173431396,0.8717500444679895,[0.90215733 0.84134276],0.8716496371469851,[0.90255069 0.84074859],0.871851043351838,[0.90176432 0.84193777],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7187325358390808,0.6968963435465679,[0.77825129 0.6155414 ],0.6940777387322883,[0.79831173 0.58984375],0.7013772465333613,[0.75917431 0.64358018],,0.8886642456054688,0.8815932313793527,[0.9105286  0.85265787],0.8829774807414243,[0.90562379 0.86033117],0.8803035241757364,[0.91548682 0.84512023],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6933830380439758,0.6632029955439226,[0.76402238 0.56238361],0.6631036645885602,[0.76457077 0.56163656],0.6633037145699021,[0.76347477 0.56313266],,0.8313788771629333,0.8194631553301507,[0.8658445  0.77308181],0.8232178723745731,[0.85276722 0.79366853],0.8164325950440519,[0.87932912 0.75353607],35,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
