,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6672880053520203,0.6476031761224057,[0.730891   0.56431535],0.645733969263381,[0.77074722 0.52072072],0.6554152634743124,[0.69495413 0.6158764 ],,0.8428359627723694,0.8348544712436093,[0.87116022 0.79854872],0.832398982016329,[0.88405472 0.78074324],0.8379108763009356,[0.85863646 0.81718529],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6708294749259949,0.6462944086787092,[0.73945117 0.55313765],0.6442245578056909,[0.76170213 0.52674699],0.6503877515359763,[0.7184633 0.5823122],,0.8541582226753235,0.8451543796189274,[0.88249348 0.80781528],0.8457859163996384,[0.88000866 0.81156317],0.8445471075719453,[0.88499238 0.80410184],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.7196645140647888,0.6966075525353943,[0.78024547 0.61296963],0.6942111214671048,[0.79558999 0.59283225],0.7000024133279242,[0.76548165 0.63452318],,0.8548321723937988,0.8454056128143268,[0.88358015 0.80723107],0.8471818722028726,[0.87703863 0.81732512],0.843801652701599,[0.89022    0.79738331],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6723206043243408,0.6517134289997859,[0.73643178 0.56699507],0.6495488393399311,[0.77184161 0.52725607],0.6586705068110834,[0.70412844 0.61321257],,0.8451274037361145,0.8367566457071188,[0.87372239 0.7997909 ],0.8350773097911816,[0.88176575 0.78838887],0.8386760102247894,[0.86582444 0.81152758],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6849953532218933,0.6605033545085092,[0.75168969 0.56931702],0.6583114765635651,[0.77094635 0.5456766 ],0.6642350605836954,[0.73337156 0.59509856],,0.851597249507904,0.8425112178900425,[0.88033909 0.80468334],0.8429648580754918,[0.87852495 0.80740477],0.8420704736559477,[0.88216075 0.8019802 ],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7286113500595093,0.7059621538784911,[0.7875693  0.62435501],0.7035723001132177,[0.80184195 0.60530265],0.7092207914004878,[0.77379587 0.64464571],,0.8545625805854797,0.8449418870638363,[0.88356534 0.80631843],0.8471730826145221,[0.87553464 0.81881152],0.842972783291336,[0.89174472 0.79420085],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6732525825500488,0.649082912235216,[0.74117821 0.55698762],0.6469434199742419,[0.76407915 0.52980769],0.6533585887591462,[0.71961009 0.58710709],,0.8266612887382507,0.8166573632575655,[0.85948427 0.77383046],0.8160399830061944,[0.8623109  0.76976907],0.8173055208872164,[0.85667611 0.77793494],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.684249758720398,0.6571244010445276,[0.75356415 0.56068465],0.6555749128399881,[0.76491435 0.54623547],0.6592324456359699,[0.74254587 0.57591902],,0.8223479986190796,0.8111708323664881,[0.85711188 0.76522978],0.812112348613655,[0.85322685 0.77099785],0.8102899190563173,[0.86103245 0.75954738],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7260018587112427,0.7052043539693339,[0.78350515 0.62690355],0.702107566823732,[0.80557238 0.59864275],0.7102897582028711,[0.76261468 0.65796484],,0.8334007263183594,0.8231153541672775,[0.8657689  0.78046181],0.8237069827130812,[0.86333117 0.7840828 ],0.8225472736308077,[0.86822043 0.77687412],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6952469944953918,0.6733181570604583,[0.75795707 0.58867925],0.6706337430403642,[0.78359351 0.55767398],0.6786400316726379,[0.73394495 0.62333511],,0.8228871822357178,0.8113460809636721,[0.85800735 0.76468481],0.8130283347241213,[0.85138323 0.77467344],0.8098429234123586,[0.86473535 0.7549505 ],35,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
