,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,,0.7984304428100586,0.5250363180981154,[0.88297222 0.4139568  0.27817994],0.515347729281132,[0.89294784 0.39690487 0.25619048],0.5366851132823085,[0.87321701 0.43253968 0.30429864],,0.7903380393981934,0.5212731496754649,[0.87670199 0.42567448 0.26144298],0.5096063724629981,[0.89116865 0.39380098 0.24384949],0.5358773392645193,[0.86269751 0.46316193 0.28177258],"(32, 32)",0.1,0.001,1,focal,2,True,5,64,0
0,,0.8007417917251587,0.5283734444194587,[0.88380191 0.42678571 0.27453271],0.5223061268788405,[0.89511494 0.38798701 0.28381643],0.53760490724846,[0.87277127 0.47420635 0.2658371 ],,0.7942561507225037,0.5251752420150593,[0.8789093  0.44085305 0.25576338],0.5169150637372598,[0.89462344 0.38957597 0.26654578],0.5390772246703458,[0.86373768 0.5076746  0.2458194 ],"(32, 32)",0.1,0.001,12,focal,2,True,5,64,0
0,,0.7960116267204285,0.5242532569813436,[0.88070911 0.41847042 0.27358025],0.5135497387521326,[0.89171725 0.40616246 0.2427695 ],0.5382884899587276,[0.86996943 0.43154762 0.31334842],,0.7925055027008057,0.525366182202251,[0.87829171 0.43008437 0.26772247],0.5133492699816748,[0.89218191 0.40404722 0.24381868],0.5404528296776504,[0.86482738 0.45970837 0.29682274],"(32, 32)",0.1,0.001,123,focal,2,True,5,64,0
0,,0.8032143712043762,0.5307053922236736,[0.88546284 0.42905081 0.27760252],0.5225924364752648,[0.89332469 0.41512059 0.25933202],0.5401097008396386,[0.87773816 0.44394841 0.29864253],,0.7971739172935486,0.5266311649188101,[0.88139587 0.43487583 0.26362179],0.5174330923700862,[0.89233503 0.40688733 0.25307692],0.5376015082344215,[0.87072168 0.46699923 0.27508361],"(32, 32)",0.1,0.0005,1,focal,2,True,5,64,1
0,,0.8072994947433472,0.5335691327149952,[0.88850431 0.43235436 0.27984873],0.5274125559970964,[0.89438028 0.42001871 0.26783868],0.5403759921923148,[0.88270504 0.44543651 0.29298643],,0.8015922904014587,0.5305459148262275,[0.8843415  0.43373494 0.2735613 ],0.5244186952272003,[0.89225572 0.40812183 0.27287854],0.5378640476194062,[0.87656645 0.4627782  0.27424749],"(32, 32)",0.1,0.0005,12,focal,2,True,5,64,1
0,,0.8070845007896423,0.5303443247929772,[0.88813538 0.426538   0.2763596 ],0.526263889611033,[0.89233143 0.41521841 0.27124183],0.5347149586047132,[0.8839786  0.43849206 0.28167421],,0.8026760220527649,0.5303299491559662,[0.88505518 0.4359389  0.26999577],0.5251863673644035,[0.89227284 0.40993579 0.27335047],0.5367133540261817,[0.87795334 0.46546431 0.26672241],"(32, 32)",0.1,0.0005,123,focal,2,True,5,64,1
0,,0.8035368919372559,0.5303391594955189,[0.88561052 0.43107068 0.27433628],0.5231184532436104,[0.89408787 0.40686922 0.26839827],0.5387229097786168,[0.87729241 0.45833333 0.28054299],,0.7961735725402832,0.5257508575860549,[0.88060638 0.43247953 0.26416667],0.517328948025455,[0.89259184 0.39610597 0.26328904],0.5367324823826366,[0.86893853 0.47620875 0.26505017],"(32, 32)",0.1,0.0001,1,focal,2,True,5,64,2
0,,0.8095570802688599,0.5315618155867957,[0.88982618 0.43285024 0.27200903],0.5287546777935156,[0.89302206 0.42184557 0.2713964 ],0.5345739869503017,[0.88665308 0.44444444 0.27262443],,0.8031761646270752,0.5264079871877133,[0.8854821  0.43517353 0.25856833],0.5231630907485848,[0.89130326 0.40947547 0.26871055],0.5310711644425296,[0.87973649 0.46431312 0.24916388],"(32, 32)",0.1,0.0001,12,focal,2,True,5,64,2
0,,0.8051494359970093,0.532447756342302,[0.88678519 0.42860526 0.28195283],0.5258652335942114,[0.89384138 0.4100589  0.27369542],0.5398240811295935,[0.87983953 0.44890873 0.29072398],,0.798549473285675,0.5282052739370383,[0.88207594 0.43449008 0.26804979],0.5205458669596937,[0.89222194 0.40335306 0.2660626 ],0.5376871755378257,[0.87215811 0.47083653 0.27006689],"(32, 32)",0.1,0.0001,123,focal,2,True,5,64,2
0,,0.8105246424674988,0.5234957626673522,[0.89106136 0.42286268 0.25656325],0.5252748523775482,[0.89120326 0.41315665 0.27146465],0.5223892983071986,[0.89091951 0.43303571 0.24321267],,0.8048851490020752,0.5244908239534721,[0.88673621 0.42563262 0.26110363],0.5253217363259867,[0.88934283 0.4049186  0.28170378],0.5253453558908743,[0.88414483 0.4485802  0.24331104],"(64, 64)",0.1,0.001,1,focal,2,True,5,64,3
0,,0.7837024331092834,0.5248370973714312,[0.87231328 0.42489851 0.2772995 ],0.5059544041896223,[0.89699253 0.38957816 0.23129252],0.5541238103324196,[0.84895568 0.4672619  0.34615385],,0.7788754105567932,0.5258672496388561,[0.86845806 0.43944985 0.26969384],0.5056453704057083,[0.89748468 0.39034565 0.22910579],0.5572318306828019,[0.84125019 0.50268611 0.3277592 ],"(64, 64)",0.1,0.001,12,focal,2,True,5,64,3
0,,0.7969791293144226,0.5266541857744482,[0.88134717 0.42762708 0.27098831],0.5153459054577829,[0.89491303 0.39561367 0.25551102],0.5406419218505311,[0.86818645 0.46527778 0.28846154],,0.7915468215942383,0.524433743156063,[0.87740439 0.43229345 0.26360339],0.512845761809229,[0.89341822 0.39064436 0.25447471],0.539749749018725,[0.86195453 0.48388335 0.27341137],"(64, 64)",0.1,0.001,123,focal,2,True,5,64,3
0,,0.7939690351486206,0.5296313869193899,[0.87882823 0.43857272 0.27149321],0.5145709802117475,[0.89679857 0.40257048 0.24434389],0.5495468741354016,[0.86156393 0.48164683 0.30542986],,0.789337694644928,0.5274352066237863,[0.87558513 0.43876682 0.26795367],0.5128012337012514,[0.89499276 0.39448698 0.24892396],0.5471263896044679,[0.85700134 0.49424405 0.29013378],"(64, 64)",0.1,0.0005,1,focal,2,True,5,64,4
0,,0.7931089997291565,0.5276101717965994,[0.87874558 0.42967332 0.27441162],0.5128117510677888,[0.89635075 0.39590301 0.24618149],0.5471718198515043,[0.86181864 0.46974206 0.30995475],,0.788170576095581,0.5285608538989703,[0.87470521 0.44222973 0.26874762],0.5126019506890978,[0.89613426 0.39499095 0.24668064],0.5505766541254714,[0.85427708 0.50230238 0.2951505 ],"(64, 64)",0.1,0.0005,12,focal,2,True,5,64,4
0,,0.8032681345939636,0.5309790778056223,[0.88569869 0.42572594 0.28151261],0.5228621534448733,[0.89347502 0.41236634 0.2627451 ],0.5404013752158473,[0.87805655 0.43998016 0.30316742],,0.7965487241744995,0.5270489993366037,[0.88084616 0.43028889 0.27001195],0.5178263174823536,[0.89157238 0.4041119  0.25779468],0.5379706226260276,[0.87037496 0.4600921  0.28344482],"(64, 64)",0.1,0.0005,123,focal,2,True,5,64,4
