,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim
0,,0.7818748950958252,0.5300135714836304,[0.86950214 0.4442623  0.27627628],0.5092642161440729,[0.90154519 0.37849162 0.24775583],0.5631914309845747,[0.83965869 0.53769841 0.31221719],,0.7760826945304871,0.5288860638483847,[0.86492335 0.45376344 0.2679714 ],0.5077373319198717,[0.90121336 0.37832992 0.24366872],0.5652902408101604,[0.83144286 0.56676899 0.29765886],"(32, 32)",0.1,0.001,1,focal,2,True,5,64,0.0,768
0,,0.7847774624824524,0.5379492288988189,[0.87103371 0.44980734 0.29300664],0.516979962874202,[0.90351718 0.38044597 0.26697674],0.5718549101023779,[0.84080489 0.55009921 0.32466063],,0.7767912745475769,0.5293385748833419,[0.86499858 0.45866261 0.26435453],0.5087954906087581,[0.90149318 0.37971817 0.24517513],0.5657271495667618,[0.8313438  0.57904835 0.2867893 ],"(32, 32)",0.1,0.001,12,focal,2,True,5,64,0.0,768
0,,0.7869812846183777,0.5300413912467542,[0.87339738 0.44272575 0.27400104],0.5119977982436583,[0.90029068 0.38258671 0.25311601],0.5573347801508105,[0.84806419 0.52529762 0.29864253],,0.7826268076896667,0.5327838209712051,[0.86934017 0.45789145 0.27111984],0.5140048424135321,[0.90056275 0.38570678 0.255745  ],0.5639956599188576,[0.84021002 0.56331543 0.28846154],"(32, 32)",0.1,0.001,123,focal,2,True,5,64,0.0,768
0,,0.7864437699317932,0.5311805037831564,[0.87276068 0.44912729 0.27165354],0.5113371381018865,[0.90023013 0.39336316 0.24041812],0.5608162231043999,[0.84691798 0.52331349 0.31221719],,0.7821266055107117,0.5323635139926068,[0.86911505 0.4601994  0.2677761 ],0.512183396707797,[0.90047796 0.39159709 0.24447514],0.5645977073155946,[0.83986329 0.55794321 0.29598662],"(32, 32)",0.1,0.0005,1,focal,2,True,5,64,0.1,768
0,,0.7902601361274719,0.5383310793068262,[0.87507789 0.45361257 0.28630278],0.5191682843109336,[0.9022114  0.39253353 0.26275992],0.5670702671457443,[0.84952878 0.53720238 0.31447964],,0.7834187746047974,0.5352305134434819,[0.86998156 0.45508982 0.28062016],0.5160393576403726,[0.90046112 0.38609626 0.26156069],0.5660931133617902,[0.84149785 0.55410591 0.30267559],"(32, 32)",0.1,0.0005,12,focal,2,True,5,64,0.1,768
0,,0.7940765619277954,0.5352710179069503,[0.87799465 0.45580997 0.27200843],0.5187154933798386,[0.90062944 0.400828   0.25468904],0.5588662341316218,[0.85646969 0.52827381 0.2918552 ],,0.7867533564567566,0.5331470970091872,[0.872424   0.45892714 0.26809015],0.5157872390353159,[0.89925864 0.3937895  0.25431358],0.5601580605725315,[0.84714448 0.54988488 0.28344482],"(32, 32)",0.1,0.0005,123,focal,2,True,5,64,0.1,768
0,,0.7903138995170593,0.5312404102085718,[0.87585373 0.44737982 0.27048768],0.5133394386684277,[0.8995771  0.39700231 0.24343891],0.5566829670963874,[0.85334947 0.51240079 0.30429864],,0.7857112884521484,0.531839494408226,[0.87170582 0.46418246 0.2596302 ],0.5131915184769963,[0.899689   0.39917127 0.24071429],0.5605576939495834,[0.84541087 0.55448964 0.28177258],"(32, 32)",0.1,0.0001,1,focal,2,True,5,64,0.2,768
0,,0.7933777570724487,0.5364005961723199,[0.87761975 0.4549863  0.27659574],0.5195351304292061,[0.90188831 0.3956729  0.26104418],0.5613196423359065,[0.85462303 0.53521825 0.29411765],,0.7865866422653198,0.5339170311195987,[0.87230455 0.46105528 0.26839127],0.5169318895198665,[0.90079679 0.39021797 0.25978091],0.5621556207527455,[0.84555946 0.56331543 0.27759197],"(32, 32)",0.1,0.0001,12,focal,2,True,5,64,0.2,768
0,,0.7982154488563538,0.5389808869945462,[0.88129648 0.44978656 0.28585961],0.5233699467026481,[0.89931729 0.4110883  0.25970425],0.5594615931219943,[0.8639837  0.49652778 0.3178733 ],,0.7895460724830627,0.5338858171306321,[0.87470461 0.45854793 0.26840491],0.5167534476195859,[0.89804863 0.40433636 0.24787535],0.5582442678343363,[0.85254346 0.5295472  0.29264214],"(32, 32)",0.1,0.0001,123,focal,2,True,5,64,0.2,768
0,,0.7971404194831848,0.5326410001835352,[0.88042596 0.44210978 0.27538726],0.5222901844988884,[0.89812546 0.38935045 0.27939464],0.5487708462849678,[0.8634106  0.51140873 0.27149321],,0.7925472259521484,0.5340676806754646,[0.87637537 0.46514575 0.26068192],0.521776292067059,[0.89981215 0.39611441 0.26940232],0.5566507576510852,[0.85412849 0.56331543 0.25250836],"(64, 64)",0.1,0.001,1,focal,2,True,5,64,0.3,768
