,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,,0.8203074336051941,0.5366400462474407,[0.89649905 0.46565609 0.24776501],0.5420723873602934,[0.89615678 0.4456029  0.28445748],0.5346325963169555,[0.89684157 0.48759921 0.21945701],,0.8148888945579529,0.5441352980270103,[0.89215394 0.46475655 0.27549541],0.5502821083906378,[0.89558273 0.42880311 0.32646048],0.5447788272745763,[0.8887513  0.50729087 0.23829431],20,1,True,200,0.1,0.001,1,focal,2,True,5,64,0
0,,0.8125134110450745,0.5343526826671865,[0.89189535 0.46022032 0.25094238],0.5299186202063285,[0.89596453 0.45432576 0.23946557],0.5392358222510151,[0.88786296 0.46626984 0.26357466],,0.805468738079071,0.5333710813091436,[0.88616261 0.46310888 0.25084175],0.5269474188310425,[0.89411587 0.43418402 0.25254237],0.5412253924572202,[0.8783496  0.4961627  0.24916388],20,1,True,200,0.1,0.001,12,focal,2,True,5,64,0
0,,0.8020855784416199,0.5337494875175285,[0.8836982  0.47527585 0.24227441],0.5252708465255523,[0.9046825  0.40410007 0.26702997],0.5540898952834091,[0.86366531 0.57688492 0.22171946],,0.800258457660675,0.5385810642765493,[0.88194076 0.46990046 0.26390198],0.5343453506356051,[0.90125116 0.39940908 0.30237581],0.5560534976461053,[0.86344049 0.57060629 0.23411371],20,1,True,200,0.1,0.001,123,focal,2,True,5,64,0
0,,0.8100945949554443,0.5302519970689373,[0.89009611 0.45880524 0.24185464],0.5283871547588159,[0.89873418 0.41535987 0.27106742],0.5374497006874296,[0.88162252 0.51240079 0.21832579],,0.8011754155158997,0.5296690436678254,[0.88328012 0.45828515 0.24744186],0.5259963164998959,[0.89678407 0.40237888 0.278826  ],0.5416060544911548,[0.87017683 0.53223331 0.22240803],20,1,True,200,0.1,0.0005,1,focal,2,True,5,64,1
0,,0.8091270923614502,0.522219240018109,[0.89051281 0.44010025 0.23604466],0.5199950647557202,[0.89253502 0.44478217 0.222668  ],0.525048946674385,[0.88849975 0.43551587 0.25113122],,0.8047184348106384,0.5347872115456416,[0.88582992 0.45494028 0.26359143],0.5279545148831777,[0.89364383 0.43047945 0.25974026],0.5426861412524061,[0.87815147 0.48234843 0.26755853],20,1,True,200,0.1,0.0005,12,focal,2,True,5,64,1
0,,0.8179423809051514,0.523824707232486,[0.89498124 0.45942804 0.21706485],0.533355233507225,[0.89401449 0.43238512 0.27366609],0.5219645649622277,[0.89595008 0.49007937 0.17986425],,0.8143470287322998,0.5311770417556215,[0.89186242 0.45681382 0.24485488],0.547710534988024,[0.89234889 0.41888    0.33190272],0.5292196014615513,[0.89137649 0.50230238 0.19397993],20,1,True,200,0.1,0.0005,123,focal,2,True,5,64,1
0,,0.8147709965705872,0.48493997281614504,[0.89402114 0.42269967 0.13809911],0.5101124392155162,[0.88599837 0.39938217 0.24495677],0.4824177003398858,[0.90219052 0.44890873 0.09615385],,0.8088033199310303,0.4979486595646305,[0.88969009 0.42575784 0.17839806],0.5322736075104894,[0.88712696 0.38447263 0.32522124],0.49738465817157634,[0.89226807 0.47697621 0.1229097 ],20,1,True,200,0.1,0.0001,1,focal,2,True,5,64,2
0,,0.816437304019928,0.49414718620607884,[0.89490818 0.43143581 0.15609756],0.522935203285141,[0.88842171 0.40292725 0.27745665],0.4914576885262511,[0.90149007 0.46428571 0.10859729],,0.8093451857566833,0.49391555578781127,[0.88988587 0.42519413 0.16666667],0.5301611269834711,[0.88575915 0.386328   0.31839623],0.49322755018078374,[0.89405122 0.47275518 0.11287625],20,1,True,200,0.1,0.0001,12,focal,2,True,5,64,2
0,,0.8179423809051514,0.5014664636595658,[0.89606821 0.43389509 0.17443609],0.5216552052992042,[0.88885408 0.41602185 0.26008969],0.4959983809565032,[0.90340041 0.45337302 0.13122172],,0.8054270148277283,0.4921859369240201,[0.88786316 0.41600843 0.17268623],0.5113034880843205,[0.88491439 0.38337108 0.265625  ],0.4911593132012495,[0.89083164 0.45471988 0.12792642],20,1,True,200,0.1,0.0001,123,focal,2,True,5,64,2
0,,0.8233712911605835,0.5356108304338992,[0.89852317 0.46994806 0.23836127],0.5423856036073221,[0.89438486 0.46867292 0.26409904],0.5303748926411568,[0.90269995 0.47123016 0.21719457],,0.8186403512954712,0.5475670258288755,[0.89451498 0.47285149 0.27533461],0.5539706303258211,[0.8956254  0.44485792 0.32142857],0.5462715782803248,[0.8934073  0.50460476 0.24080268],20,1,True,300,0.1,0.001,1,focal,2,True,5,64,3
