,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.8050956726074219,0.5501553783545695,[0.88588121 0.46763718 0.29694775],0.5344354025760576,[0.90341586 0.42629645 0.2735939 ],0.5705106800743731,[0.86901426 0.51785714 0.32466063],,0.7990079522132874,0.5510733948734686,[0.88072415 0.48689384 0.2856022 ],0.5329016316424476,[0.90485893 0.42481418 0.26903178],0.5774712564869434,[0.85784338 0.57022256 0.30434783],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.8033756017684937,0.5496492167405843,[0.88426333 0.46984127 0.29484305],0.5357119683838668,[0.90516839 0.40974529 0.29222222],0.5708028796507566,[0.86430209 0.55059524 0.29751131],,0.800383448600769,0.54888208689105,[0.88180847 0.4876269  0.27721088],0.5345609568109877,[0.90604588 0.41563007 0.28200692],0.573734018413267,[0.85883402 0.58979279 0.27257525],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.8096646070480347,0.5501959947057367,[0.88918334 0.47252747 0.28887717],0.5373362487327883,[0.90274952 0.43877551 0.27048371],0.5659594539123172,[0.87601885 0.51190476 0.30995475],,0.8069276213645935,0.551460027687286,[0.88666599 0.48927336 0.27844073],0.537800826783898,[0.90235397 0.44549464 0.26555387],0.5689167817261782,[0.87151419 0.54259401 0.29264214],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.8052569627761841,0.5062327911605836,[0.8870207  0.44262295 0.18905473],0.513298829905697,[0.89399133 0.39160305 0.2543021 ],0.5131796605550014,[0.88015792 0.50892857 0.15045249],,0.7988412380218506,0.49730393532118505,[0.88302283 0.4361422  0.17274678],0.504452494582992,[0.89049514 0.38184438 0.24101796],0.5062441046209001,[0.87567487 0.50844206 0.13461538],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8018168210983276,0.5300527032208637,[0.88452947 0.4459199  0.25970874],0.5240252872360408,[0.89958517 0.39238598 0.28010471],0.5428066433739399,[0.86996943 0.51636905 0.24208145],,0.7987161874771118,0.5310524713742164,[0.8822102  0.4601374  0.25080981],0.5252717750890269,[0.90078976 0.39419655 0.28082902],0.5478470709076194,[0.86438159 0.55257099 0.22658863],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7935390472412109,0.49865696595153897,[0.87989657 0.42039281 0.19568151],0.4996873852057028,[0.89341034 0.3631769  0.24247492],0.5099402060592165,[0.86678553 0.49900794 0.16402715],,0.792797327041626,0.510536947907731,[0.87857035 0.4470405  0.206     ],0.5098458544615138,[0.89707325 0.37624541 0.25621891],0.5279028129618728,[0.8608153  0.55065234 0.1722408 ],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.794399082660675,0.44775419963796037,[0.88214932 0.37700113 0.08411215],0.4534944406564911,[0.87988597 0.34559735 0.135     ],0.45339762100572384,[0.88442435 0.41468254 0.06108597],,0.7918803095817566,0.43592597613392026,[0.88111026 0.3733839  0.05328377],0.43962073045892924,[0.87702424 0.33896714 0.10287081],0.4455890476647609,[0.88523453 0.41557943 0.03595318],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.8099871277809143,0.4494232177106936,[0.89296197 0.35496755 0.10034014],0.4784660274862767,[0.87605686 0.35728643 0.20205479],0.44331766710759696,[0.91053235 0.35267857 0.06674208],,0.7954649925231934,0.438295526419006,[0.88423688 0.3598862  0.0707635 ],0.4496573330362427,[0.8763012 0.3353214 0.1373494],0.44277035800048625,[0.8923176  0.38833461 0.04765886],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7927864789962769,0.46171834726991845,[0.88165473 0.36842105 0.13507926],0.4661923779247827,[0.88117804 0.34455959 0.17283951],0.46294166758229865,[0.88213194 0.39583333 0.11085973],,0.7887957692146301,0.44490395145832023,[0.87887868 0.37733288 0.07850029],0.4493761215689112,[0.87881339 0.33819951 0.13111546],0.45389054804515494,[0.87894398 0.4267076  0.05602007],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.8107396364212036,0.5508455621509046,[0.88989461 0.4690324  0.29360967],0.5415807512658212,[0.90374261 0.42205474 0.2989449 ],0.5642346370823192,[0.8764646  0.52777778 0.28846154],,0.8042599558830261,0.5427070977727078,[0.88498386 0.47723133 0.2659061 ],0.5335781862727396,[0.90120668 0.41974949 0.27977839],0.5585446625841028,[0.86933479 0.55295472 0.25334448],20,3,5,6,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,384,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
