,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,transformer_encoder_layers,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.7978929281234741,0.4213681643537585,[0.88475459 0.37710019 0.00224972],0.46876597692618666,[0.88223376 0.32406417 0.2       ],0.4464379804392465,[0.88728986 0.45089286 0.00113122],,0.8000916838645935,0.42913453962031695,[0.88549279 0.40191083 0.        ],0.408747189129226,[0.88274674 0.34349483 0.        ],0.45750768565275085,[0.88825598 0.48426708 0.        ],11,3,5,3,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,10,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.813910961151123,0.41721383204774126,[0.89561872 0.34727004 0.00875274],0.45037328310828495,[0.87339627 0.34439024 0.13333333],0.42457494261643075,[0.91900153 0.35019841 0.00452489],,0.8114292621612549,0.4241037437105803,[0.89329629 0.3611578  0.01785714],0.5097319058861735,[0.87187588 0.35176428 0.30555556],0.4320199412525176,[0.91579573 0.37106677 0.00919732],11,3,5,3,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,10,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.81197589635849,0.4399084638597708,[0.89426412 0.33107559 0.09438568],0.46780997641879324,[0.87053787 0.36477612 0.16811594],0.42933539168200247,[0.91931992 0.3030754  0.06561086],,0.8048434853553772,0.4203352035289107,[0.88997332 0.30975459 0.06127771],0.4461562252918792,[0.86459598 0.33481944 0.13905325],0.4147880706718002,[0.91688543 0.28818112 0.03929766],11,3,5,3,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,10,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.8320253491401672,0.4871866610684499,[0.90606755 0.31489093 0.2406015 ],0.5547267597674341,[0.87125977 0.43417611 0.35874439],0.45726385731742175,[0.94377229 0.24702381 0.18099548],,0.823975682258606,0.4812030974626453,[0.90098182 0.33699977 0.20562771],0.53115989966034,[0.87015504 0.43191362 0.29141104],0.456407127106891,[0.93407301 0.2762855  0.15886288],11,3,5,3,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,10,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8237475752830505,0.5036588328925528,[0.89975031 0.39856004 0.21266615],0.5468080766484448,[0.88234574 0.41377469 0.3443038 ],0.48537536016840654,[0.91785532 0.3844246  0.15384615],,0.815847635269165,0.5035432960365004,[0.89463512 0.42079302 0.19520174],0.5268483518024213,[0.88384571 0.41613508 0.28056426],0.4936377260393414,[0.90569122 0.42555641 0.14966555],11,3,5,3,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,10,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8203611969947815,0.5089379645893514,[0.89801531 0.38730853 0.24149004],0.5309633749875678,[0.8818366  0.43170732 0.27934621],0.49288631227665114,[0.91479878 0.35119048 0.21266968],,0.822766900062561,0.522164435750195,[0.89883155 0.41929575 0.24836601],0.5472241730553064,[0.88372984 0.44646727 0.31147541],0.5054072857856718,[0.91445837 0.39524175 0.20652174],11,3,5,3,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,10,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8207374811172485,0.5135808402038516,[0.89755482 0.43994141 0.20324629],0.5309474254670848,[0.88950034 0.43317308 0.27016886],0.5051923419789607,[0.9057565  0.4469246  0.16289593],,0.8143053650856018,0.5097699491125164,[0.89330575 0.44701137 0.18899273],0.5219130598534295,[0.88840445 0.42801966 0.24931507],0.5060673449278141,[0.89826143 0.46776669 0.15217391],11,3,5,3,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,10,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.8110621571540833,0.5276444283135763,[0.8906095  0.45203252 0.24029126],0.5264098107016973,[0.89499068 0.42507645 0.2591623 ],0.5309639343652784,[0.88627101 0.48263889 0.2239819 ],,0.8104289174079895,0.5379081912438927,[0.88982057 0.46122027 0.26268374],0.5395780613214399,[0.89669047 0.41864831 0.3033954 ],0.5426970083658739,[0.88305513 0.51343054 0.23160535],11,3,5,3,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,10,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.8154160380363464,0.5018860380106109,[0.89457529 0.38791209 0.22317073],0.5190105693255561,[0.88023915 0.43472906 0.24206349],0.4888660436722376,[0.90938614 0.35019841 0.20701357],,0.8203492760658264,0.5121458566998797,[0.89748079 0.41533014 0.22362664],0.5342785643170269,[0.88149033 0.45421412 0.26713124],0.4963161566532162,[0.91406211 0.38257866 0.19230769],11,3,5,3,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,10,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.783272385597229,0.4495156622374808,[0.8742639  0.39250531 0.08177778],0.46699583257441196,[0.88869886 0.32141727 0.19087137],0.4720982749810175,[0.86029037 0.50396825 0.0520362 ],,0.7776666283607483,0.44133051053806516,[0.87034978 0.40299151 0.05065024],0.4501510057168883,[0.88853914 0.32229124 0.13962264],0.473810722761796,[0.85289019 0.53760553 0.03093645],11,3,5,3,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,2,10,1,"(128, 128)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,3
