,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.8085895776748657,0.5272387015373479,[0.88804236 0.46728586 0.22638789],0.537623679645782,[0.90060241 0.40014139 0.31212724],0.5383125203440747,[0.87582781 0.56150794 0.17760181],,0.8040931820869446,0.5258920342974428,[0.88470351 0.47316846 0.21980413],0.5374067592793327,[0.89972345 0.39785509 0.31464174],0.5409087527494406,[0.87017683 0.58365311 0.16889632],20,3,5,6,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)",300,"(32, 32)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.8161148428916931,0.5090884450550721,[0.89369714 0.46871594 0.16485226],0.5258636180242003,[0.89578402 0.41812524 0.26368159],0.5149211995603697,[0.89161997 0.53323413 0.1199095 ],,0.8093451857566833,0.509309125918009,[0.8890662  0.47008965 0.16877153],0.5243349260622773,[0.89515967 0.40861434 0.26923077],0.5197677592529016,[0.88305513 0.55333845 0.1229097 ],20,3,5,6,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)",300,"(32, 32)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.8146097660064697,0.5358724124442399,[0.89296616 0.46785404 0.24679703],0.5409794868315868,[0.90127781 0.41615147 0.30550918],0.54201539462788,[0.88480642 0.53422619 0.20701357],,0.8130131959915161,0.5361908414036267,[0.89122051 0.48476951 0.2325825 ],0.5445910259766416,[0.90124082 0.42117181 0.31136045],0.5460097758939101,[0.88142058 0.57099002 0.18561873],20,3,5,6,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)",300,"(32, 32)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.8175123333930969,0.5558974289324584,[0.89376912 0.48251594 0.29140722],0.5538568618553478,[0.90404534 0.43342552 0.32409972],0.564192199917268,[0.88372389 0.54414683 0.26470588],,0.8079279661178589,0.5511566379118643,[0.88702359 0.48191593 0.28453039],0.5461454294718747,[0.90309501 0.41874292 0.31659836],0.5658039497485192,[0.87151419 0.56753645 0.2583612 ],20,3,5,6,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)",300,"(32, 32)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8126209378242493,0.5447955314911105,[0.89062298 0.48119379 0.26256983],0.5527697934076641,[0.90599473 0.40924896 0.34306569],0.5574210616210032,[0.87576414 0.58382937 0.21266968],,0.8006335496902466,0.5361888779074321,[0.88206818 0.47469989 0.25179856],0.5409399946593438,[0.90319734 0.39295597 0.32666667],0.5553801761107101,[0.861905   0.59938603 0.2048495 ],20,3,5,6,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)",300,"(32, 32)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8069232702255249,0.5550322866124177,[0.88674322 0.48270147 0.29565217],0.5422319969844346,[0.90904227 0.41444326 0.30321046],0.5772834980202529,[0.86551197 0.57787698 0.28846154],,0.798591136932373,0.5487092256899282,[0.88082293 0.48970748 0.27559727],0.5334713952320315,[0.90867917 0.41037613 0.28135889],0.5772504413304725,[0.85462381 0.60706063 0.27006689],20,3,5,6,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)",300,"(32, 32)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8040206432342529,0.5553150999447943,[0.88439948 0.47818721 0.30335861],0.5384727999412442,[0.90713712 0.41722099 0.29106029],0.5798452461020634,[0.86277382 0.56001984 0.31674208],,0.7987578511238098,0.5533419687350066,[0.88031183 0.48455078 0.29516329],0.536967121822711,[0.90631065 0.41268556 0.29190515],0.5803269898672291,[0.85576304 0.58672295 0.29849498],20,3,5,6,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)",300,"(32, 32)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.8183186650276184,0.5545364068347273,[0.89475205 0.47363636 0.29522081],0.5521510869679728,[0.90207754 0.43708054 0.31729519],0.5601425845144193,[0.88754457 0.51686508 0.2760181 ],,0.8070943355560303,0.5521000837921061,[0.88674019 0.47117296 0.2983871 ],0.5459413375739907,[0.90181818 0.41457726 0.32142857],0.5654166840641577,[0.87215811 0.54566385 0.27842809],20,3,5,6,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)",300,"(32, 32)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.8231025338172913,0.5527109177414385,[0.89817416 0.47072384 0.28923476],0.5596955181326008,[0.90047363 0.43970715 0.33890578],0.5515324181690563,[0.8958864  0.50644841 0.25226244],,0.8163895010948181,0.5478703651651736,[0.89256446 0.49684999 0.25419664],0.5484013964211335,[0.90052937 0.44658708 0.29808774],0.5553909926769017,[0.88473921 0.55986186 0.22157191],20,3,5,6,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)",300,"(32, 32)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.8094495534896851,0.5540503349755078,[0.88851406 0.47537105 0.2982659 ],0.5433861921802912,[0.90552066 0.41967338 0.30496454],0.570701590337839,[0.87213449 0.54811508 0.2918552 ],,0.8004251718521118,0.550509044522591,[0.88198695 0.47758813 0.29195205],0.5375989731573814,[0.9049927  0.40868141 0.29912281],0.5732274990330003,[0.86012185 0.57444359 0.28511706],20,3,5,6,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)",300,"(128, 128)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
