,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.815254807472229,0.5094852308805828,[0.89382638 0.4447559  0.18987342],0.5207737538868046,[0.89108284 0.42030905 0.25092937],0.5071746704002256,[0.89658686 0.47222222 0.15271493],,0.8115960359573364,0.51037929327708,[0.89184634 0.4592305  0.18006104],0.515833060022774,[0.89246565 0.4251634  0.22987013],0.5128179159025468,[0.8912279  0.49923254 0.14799331],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.8215975165367126,0.4925161891317075,[0.89816245 0.44537424 0.13401187],0.5253636566119567,[0.88922174 0.41907262 0.26779661],0.490616565582479,[0.90728477 0.47519841 0.08936652],,0.8135133981704712,0.485789489124449,[0.89287121 0.44633258 0.11816468],0.510873753752427,[0.88749694 0.40714964 0.23797468],0.4902555338244872,[0.89831096 0.49386032 0.07859532],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.8069769740104675,0.49853810575961827,[0.88803039 0.46527921 0.14230472],0.5069760201059789,[0.8980336  0.39795559 0.22493888],0.5141132732314073,[0.87824758 0.56001984 0.1040724 ],,0.8036763668060303,0.49614544945462896,[0.88557014 0.47305851 0.12980769],0.508067349270008,[0.89766945 0.39576337 0.23076923],0.5173225997737576,[0.87379266 0.58787414 0.090301  ],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.8012255430221558,0.5569095842283279,[0.88214251 0.49236561 0.29622063],0.5352965884554268,[0.91019302 0.42567812 0.27001862],0.5892176314970433,[0.85576923 0.58382937 0.3280543 ],,0.7940894365310669,0.554500748680044,[0.87746873 0.49277165 0.29326187],0.5319444274582134,[0.91119053 0.41416253 0.27048023],0.5915332595819098,[0.84615385 0.60821182 0.32023411],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8099871277809143,0.543857718650261,[0.889205   0.48203991 0.26032824],0.5331514250272824,[0.90313259 0.43584603 0.26047565],0.5583559872978455,[0.87570046 0.53918651 0.260181  ],,0.8082614541053772,0.5535064645212026,[0.88725192 0.50677109 0.26649638],0.5398697130483208,[0.90732591 0.44081749 0.27146574],0.5752283684759015,[0.86804696 0.59593246 0.26170569],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8127284646034241,0.564296962547763,[0.89029234 0.49436326 0.30823529],0.5528829579724833,[0.91074997 0.42682048 0.32107843],0.5848050829546739,[0.87073357 0.58730159 0.29638009],,0.8029261231422424,0.552043852678904,[0.88383928 0.49342517 0.2788671 ],0.5388919127368437,[0.90879121 0.41671074 0.29117379],0.5775125636659955,[0.86022091 0.60475825 0.26755853],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8055257201194763,0.5550213025713354,[0.88593974 0.48500652 0.29411765],0.5365995007307021,[0.9078455  0.43155452 0.27039848],0.5803452812607468,[0.86506623 0.55357143 0.32239819],,0.7938393354415894,0.5470222611539911,[0.87752438 0.49126707 0.27227533],0.5259466339349906,[0.90794492 0.41901408 0.2508809 ],0.5801217256422729,[0.84907623 0.59363008 0.29765886],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.8110083937644958,0.5576755843019758,[0.88960343 0.4881958  0.29522752],0.5436369069158885,[0.90785549 0.43329489 0.28976035],0.577334521712687,[0.87207081 0.55902778 0.30090498],,0.8028010725975037,0.5562217710600904,[0.88313869 0.49672994 0.28879668],0.5398967740343917,[0.90797321 0.42506143 0.28665568],0.582687937308693,[0.85962653 0.59746738 0.2909699 ],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.8216512799263,0.5551580888888691,[0.89694754 0.49034926 0.27817746],0.5520005405491484,[0.90331956 0.4567637  0.29591837],0.5607913702357606,[0.8906648  0.52926587 0.26244344],,0.8166812658309937,0.5583644433296401,[0.89289204 0.50068681 0.28151448],0.5525776257535677,[0.90341716 0.45307644 0.30123928],0.5687671719805977,[0.88260934 0.55947813 0.26421405],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7963878512382507,0.5414552639996846,[0.87983453 0.4776485  0.26688277],0.5231389748243358,[0.9081605  0.40582726 0.25542916],0.5709970055266121,[0.85322211 0.58035714 0.27941176],,0.7900462746620178,0.5415925859825838,[0.8754622  0.47785194 0.27146361],0.5232213057083422,[0.90893095 0.39513297 0.2656    ],0.5754457301653302,[0.8443707  0.60437452 0.27759197],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.8129434585571289,0.5478019491927325,[0.89084348 0.47338066 0.27918171],0.5426539645882619,[0.90159124 0.42817014 0.29820051],0.5573527558699939,[0.88034896 0.52926587 0.26244344],,0.8092201352119446,0.5439878110674926,[0.88826816 0.49046053 0.25323475],0.5383514782148328,[0.90280833 0.42918826 0.28305785],0.5584757057694848,[0.87418891 0.57214121 0.22909699],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.8142334818840027,0.5520419827756178,[0.89177545 0.49105075 0.27329975],0.5474795007741203,[0.90756247 0.42663739 0.30823864],0.5667921340155466,[0.87652827 0.57837302 0.24547511],,0.8038848042488098,0.5417120677718531,[0.88484511 0.48364154 0.25664956],0.5354145617565175,[0.90467319 0.41117979 0.29039071],0.5609691129681287,[0.86586755 0.58710668 0.22993311],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.806331992149353,0.5508337659376069,[0.887242   0.47208233 0.29317697],0.5353262170071651,[0.90618153 0.42257938 0.27721774],0.5716287123328417,[0.86907794 0.53472222 0.31108597],,0.8015922904014587,0.5548818323260071,[0.88281826 0.48942013 0.29240711],0.5375859639557593,[0.90735125 0.42259414 0.2828125 ],0.5812011039152707,[0.859577   0.58135073 0.30267559],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.807407021522522,0.5574435672378701,[0.88731571 0.4829664  0.30204859],0.5398378941332455,[0.90536779 0.45324054 0.26090535],0.5818105996573079,[0.86996943 0.51686508 0.35859729],,0.8000916838645935,0.555567302198583,[0.88181888 0.49548475 0.28939828],0.534971056506261,[0.90617813 0.44560221 0.25313283],0.584823601600113,[0.85873495 0.55794321 0.33779264],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.8062244653701782,0.5591679519225886,[0.88605114 0.48616684 0.30528587],0.541519022317033,[0.90948709 0.4233174  0.29175258],0.5849536501927425,[0.86379266 0.57093254 0.32013575],,0.7999666333198547,0.5553978018825635,[0.88126501 0.49898135 0.28594705],0.5368053008725208,[0.90990136 0.42172185 0.27879269],0.5862507780513598,[0.85437615 0.61089793 0.29347826],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.8158460259437561,0.5529071944074242,[0.89342156 0.46829268 0.29700734],0.5460950203515494,[0.90141302 0.44036697 0.29650507],0.5610272891632456,[0.88557056 0.5        0.29751131],,0.810720682144165,0.5528620651045567,[0.88969259 0.48184478 0.28704883],0.5436261714684744,[0.90243033 0.43681747 0.29163072],0.5657133058109668,[0.87730943 0.5372218  0.2826087 ],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.7928402423858643,0.5511375859390107,[0.87752542 0.47825173 0.29763561],0.5260419281999308,[0.91109131 0.41487423 0.25216025],0.5913170597383687,[0.84634488 0.56448413 0.36312217],,0.7901713252067566,0.5495813078360932,[0.87512205 0.48594569 0.28767618],0.5256984343703387,[0.90923167 0.41452181 0.25334182],0.5877872396420744,[0.84347912 0.58710668 0.33277592],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.8097720742225647,0.5539816865034518,[0.8888961  0.48733468 0.28571429],0.5387000330153592,[0.90569654 0.44458078 0.26582278],0.5735725425903649,[0.87270759 0.53918651 0.30882353],,0.8015922904014587,0.5476987648392811,[0.88321372 0.49290366 0.26697892],0.5305375618790998,[0.90494751 0.43629914 0.25036603],0.571612607627361,[0.86249938 0.56638526 0.28595318],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.801494300365448,0.5449932347399624,[0.8833393  0.46849196 0.28314844],0.5287535295122275,[0.90379106 0.41686002 0.26560951],0.5672274357753516,[0.86379266 0.53472222 0.30316742],,0.79804927110672,0.5460053901022037,[0.88104023 0.48243484 0.2745411 ],0.5285862081134307,[0.90591313 0.41725007 0.26259542],0.5722931857958443,[0.85749666 0.57175748 0.28762542],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(512, 512)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.8007417917251587,0.557863614707948,[0.88260199 0.48568988 0.30529898],0.5349461410531594,[0.91066712 0.42648162 0.26768968],0.5918022307411673,[0.85621498 0.5639881  0.35520362],,0.792838990688324,0.5553102166936951,[0.87664904 0.48863272 0.30064888],0.5310666930570951,[0.90971075 0.41923077 0.26425856],0.5933800504592717,[0.84590619 0.58557176 0.34866221],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(512, 512)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.8124059438705444,0.5559011022954726,[0.89027787 0.48647469 0.29095074],0.5448931196062327,[0.90582575 0.43419003 0.29466357],0.5718868085809068,[0.87525471 0.5530754  0.28733032],,0.8047184348106384,0.5530487838539878,[0.88469049 0.49294872 0.28150715],0.5405470261599516,[0.90641239 0.4232251  0.29200359],0.5753003282394675,[0.86398534 0.59017652 0.27173913],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(512, 512)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.8026230931282043,0.5501440815393047,[0.88464676 0.47515257 0.29063291],0.5313637495531683,[0.90723512 0.42379471 0.26306141],0.5761637068366714,[0.86315588 0.5406746  0.32466063],,0.799799919128418,0.5531702325611664,[0.88184482 0.49094437 0.2867215 ],0.5340108058331526,[0.90806045 0.42425936 0.2697126 ],0.5818741289158273,[0.8571004  0.58250192 0.30602007],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(512, 512)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.7988604307174683,0.5489841353867695,[0.8822932  0.47319699 0.29146222],0.5279903411030007,[0.90857567 0.41802967 0.25736568],0.579533425839912,[0.85748854 0.54513889 0.33597285],,0.79463130235672,0.5488833472555569,[0.87826931 0.48255814 0.28582259],0.528240989744814,[0.90666034 0.41662019 0.26144244],0.5800373837242618,[0.85160236 0.5732924  0.31521739],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(512, 512)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.792195200920105,0.5470342170335325,[0.87709571 0.4808377  0.28316925],0.5227575430748037,[0.91038641 0.41609279 0.24179343],0.5857424166247696,[0.84615385 0.56944444 0.34162896],,0.7874619364738464,0.5483747080589494,[0.87300564 0.48895157 0.2831669 ],0.523409337912753,[0.91009243 0.41324503 0.24689055],0.5897938311192847,[0.83882312 0.59861857 0.3319398 ],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(512, 512)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.8098796010017395,0.5456576887220485,[0.8901223  0.46129398 0.28555678],0.5353665690300656,[0.90232254 0.42528254 0.27849462],0.558400753180652,[0.87824758 0.50396825 0.29298643],,0.8047600984573364,0.542544533413179,[0.88604218 0.47197539 0.26961603],0.5317509733529603,[0.90063955 0.4254467  0.26916667],0.5573027548469944,[0.87191045 0.52993093 0.27006689],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(512, 512)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.7950440645217896,0.5506080283246778,[0.87962385 0.46316234 0.3090379 ],0.5278015465686879,[0.90937521 0.4031606  0.27086882],0.5852109487311085,[0.85175751 0.54414683 0.35972851],,0.7944229245185852,0.5523999278016546,[0.87822482 0.48570044 0.29327453],0.5299050862579262,[0.90859503 0.41948088 0.26163934],0.5867257398167253,[0.84981921 0.57674597 0.33361204],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(512, 512)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.8070845007896423,0.5531629989187592,[0.88754864 0.46615523 0.30578512],0.5377123164022509,[0.9042019  0.42756623 0.28136882],0.5729133767334974,[0.87149771 0.51240079 0.33484163],,0.800300121307373,0.5486499710434488,[0.88282081 0.47601161 0.28711749],0.5313653163405871,[0.90341645 0.42879114 0.26188835],0.571929488364387,[0.8631433  0.53491942 0.31772575],5,15,3,umap,16,12,['time_encoding'],['z_score'],True,True,384,1,True,signature,10,1,"(512, 512)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,8
0,,0.8236400485038757,0.5350507458642745,[0.89862805 0.46809502 0.23842917],0.5503934473470133,[0.89635073 0.44117647 0.31365314],0.5305788536334893,[0.90091696 0.4985119  0.19230769],,0.8174315094947815,0.5371785714559789,[0.89478004 0.47517973 0.24157595],0.5484359984531363,[0.89851164 0.4289246  0.31787176],0.5395041305754913,[0.8910793  0.53261704 0.19481605],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.8121909499168396,0.5347497172712312,[0.89060881 0.48662885 0.22701149],0.5428089104996942,[0.90610174 0.41130137 0.31102362],0.55003464636548,[0.87563678 0.59573413 0.17873303],,0.8023008704185486,0.5296205155359734,[0.88401794 0.48365019 0.22119342],0.5310131326333906,[0.90500156 0.40060469 0.28743316],0.5512938976629146,[0.86398534 0.61013047 0.17976589],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.8167598247528076,0.5422135136190284,[0.89339938 0.48655681 0.24668435],0.5443238068505791,[0.90269111 0.43220339 0.29807692],0.5504172844209853,[0.88429699 0.55654762 0.21040724],,0.8102622032165527,0.5299885167727625,[0.88908402 0.49148418 0.20939734],0.5318412213389148,[0.90081342 0.42568137 0.26902887],0.5434705202497504,[0.87765615 0.58135073 0.17140468],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,9
0,,0.8111158609390259,0.5608309359516012,[0.88941728 0.49319087 0.29988466],0.5477259136423357,[0.91038208 0.42691331 0.30588235],0.5824477814276218,[0.86939633 0.58382937 0.29411765],,0.7989662885665894,0.5521605570634239,[0.88073301 0.48668616 0.2890625 ],0.5384505275884667,[0.90848778 0.40632228 0.30054152],0.5799095993835377,[0.85462381 0.6066769  0.27842809],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.8087508082389832,0.5539553274184791,[0.88808758 0.48204241 0.291736  ],0.540049387218641,[0.90649247 0.42747506 0.28618063],0.573501952714068,[0.87041518 0.55257937 0.29751131],,0.806719183921814,0.5546943882267922,[0.88623482 0.49466251 0.28318584],0.5412532828517609,[0.90590244 0.43238587 0.28547154],0.5754122188362232,[0.86740304 0.57789716 0.28093645],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.8126747012138367,0.5604146210482392,[0.88975559 0.50234542 0.28914286],0.5471142414799628,[0.9086564  0.44053852 0.29214781],0.5807165185086883,[0.87162506 0.5843254  0.2861991 ],,0.8046350479125977,0.5509789148551851,[0.88483895 0.50024065 0.26785714],0.5365858562473071,[0.9074344  0.42983182 0.27249135],0.5749847308798802,[0.86334142 0.59823484 0.26337793],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,10
0,,0.8116534352302551,0.5539702353934713,[0.88970945 0.49138312 0.28081813],0.5410072174664567,[0.90539917 0.44302789 0.27459459],0.5711572906742365,[0.87455425 0.5515873  0.28733032],,0.7992580533027649,0.5457886545902887,[0.88166252 0.48256851 0.27313494],0.5297967991583413,[0.90502269 0.41786015 0.26650756],0.5701894303333702,[0.85947793 0.57099002 0.28010033],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.8180499076843262,0.5646504972697067,[0.89424226 0.49131403 0.3083952 ],0.5548054984606515,[0.90716111 0.4458367  0.31141869],0.5780796915755039,[0.88168619 0.54712302 0.30542986],,0.810720682144165,0.5631120937074403,[0.88872044 0.498102   0.30251385],0.5508471488660011,[0.9071027  0.43701129 0.30842745],0.582313165340885,[0.8710684  0.57904835 0.29682274],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.8213825225830078,0.5624235822534388,[0.89635206 0.49417563 0.29674306],0.5580451091882965,[0.90573397 0.4505719  0.31782946],0.5708553550757486,[0.88716251 0.54712302 0.27828054],,0.8139302134513855,0.5562697584099567,[0.89130271 0.50041953 0.27708703],0.5484159662575719,[0.90511694 0.44467641 0.29545455],0.5703048622695447,[0.87790381 0.57214121 0.26086957],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,11
0,,0.8047193884849548,0.554161111372948,[0.88496096 0.47957516 0.29794721],0.541920300429507,[0.90874321 0.40763889 0.30937881],0.5773544446362912,[0.86239175 0.58234127 0.28733032],,0.7944645881652832,0.547914335522548,[0.87772254 0.48388069 0.28213978],0.5329928519666371,[0.90922121 0.39831349 0.29144385],0.5793382559449769,[0.84833325 0.61627015 0.27341137],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(128, 128)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.8134809732437134,0.5550086273083846,[0.89133879 0.48922801 0.28445909],0.5428117318010048,[0.9052998  0.44672131 0.27641409],0.5704876208138772,[0.87780183 0.5406746  0.29298643],,0.8048018217086792,0.5509589010963385,[0.8849795  0.49332234 0.27457487],0.5366257032353104,[0.90495419 0.43249494 0.27242798],0.5722277554456973,[0.86586755 0.57405986 0.27675585],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(128, 128)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.8164910674095154,0.5566121788365807,[0.89336172 0.48794643 0.28852839],0.548176165349519,[0.90521637 0.44358766 0.29572447],0.5685501524150726,[0.88181355 0.5421627  0.28167421],,0.8111374974250793,0.5556076746529047,[0.88952098 0.49134017 0.28596187],0.5461323577402135,[0.90434026 0.43729422 0.29676259],0.5705762008747942,[0.87517955 0.56062932 0.27591973],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(128, 128)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,12
0,,0.8070307374000549,0.5575809635272732,[0.88652205 0.48081841 0.30540243],0.542253925909871,[0.90738765 0.42152466 0.29784946],0.5798222413434723,[0.8665945  0.55952381 0.31334842],,0.798090934753418,0.5511313200673128,[0.88036544 0.48576791 0.28726062],0.5346780012691105,[0.90798547 0.40997888 0.28606965],0.5795900491443097,[0.85437615 0.59593246 0.28846154],5,15,3,umap,16,10,['time_encoding'],['z_score'],True,True,384,1,True,signature,5,1,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,13
