,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.8057944774627686,0.49536832262235003,[0.88860525 0.42474691 0.17275281],0.5023270382712501,[0.89056604 0.3886373  0.22777778],0.4980157739215005,[0.88665308 0.46825397 0.13914027],,0.7988412380218506,0.4876910617278955,[0.88341142 0.43430657 0.14535519],0.4937811323548111,[0.88903938 0.38252484 0.20977918],0.4971202231948671,[0.87785428 0.50230238 0.11120401],20,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(32, 32)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.809342086315155,0.5029927086894291,[0.89100038 0.41420943 0.20376832],0.5148641477294388,[0.88930474 0.38934963 0.26593807],0.5001070615601196,[0.8927025  0.44246032 0.16515837],,0.7975074052810669,0.4990207842198975,[0.88284414 0.43082544 0.18339277],0.5019292085036543,[0.89131203 0.37979502 0.23468057],0.5075783104448462,[0.87453564 0.49769762 0.15050167],20,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(32, 32)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.7957428693771362,0.4983213969724387,[0.88111978 0.42485732 0.18898708],0.49988559521772674,[0.89269377 0.37016575 0.23679727],0.5085312674059265,[0.86984208 0.4985119  0.15723982],,0.7917969226837158,0.504585024096518,[0.87883667 0.42360888 0.21130952],0.5057881589814395,[0.89299044 0.36461794 0.2597561 ],0.5161968120768894,[0.86512457 0.50537222 0.17809365],20,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(32, 32)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.8152010440826416,0.4898030263813868,[0.89463874 0.42917647 0.14559387],0.5072189373817116,[0.88776726 0.40823635 0.22565321],0.4871548126807184,[0.90161742 0.45238095 0.10746606],,0.8079696297645569,0.4900950212407768,[0.88988176 0.42574601 0.15465729],0.5112746202145656,[0.88696979 0.38853705 0.25831703],0.49133911399477,[0.89281292 0.47083653 0.11036789],20,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(32, 32)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8110083937644958,0.5187204647015863,[0.89122247 0.43305487 0.23188406],0.5294075121605913,[0.89344682 0.39743058 0.29734513],0.5182496209838438,[0.88900917 0.47569444 0.19004525],,0.8013421893119812,0.5133378980617371,[0.88482816 0.44202899 0.21315655],0.5182752189868198,[0.8944332  0.38718984 0.27320261],0.5217139470104656,[0.87542721 0.51496546 0.17474916],20,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(32, 32)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7885401248931885,0.5174482259063246,[0.87566086 0.42757774 0.24910608],0.5083981057200445,[0.8981122  0.36385794 0.26322418],0.5363610499104267,[0.85430464 0.51835317 0.23642534],,0.7851694226264954,0.5212194981019378,[0.87285908 0.44794856 0.24285086],0.5097915908167144,[0.90046345 0.37264391 0.25626741],0.5463542774807235,[0.84689683 0.56139678 0.23076923],20,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(32, 32)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.8108471035957336,0.5071133958318256,[0.89101606 0.42037078 0.20995334],0.5360515529811766,[0.88996887 0.38236489 0.3358209 ],0.5038488402945941,[0.89206572 0.46676587 0.15271493],,0.8050935864448547,0.5160632175382125,[0.88680045 0.43591006 0.22547914],0.539838902764831,[0.89265282 0.38084313 0.34602076],0.519280548932159,[0.88102432 0.50959325 0.16722408],20,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(32, 32)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7893463969230652,0.5276945674935455,[0.87595551 0.44178628 0.26534191],0.5157501450990534,[0.90343101 0.36933333 0.27448609],0.5521641299300045,[0.85010188 0.54960317 0.25678733],,0.7818765640258789,0.5196879017172983,[0.87048015 0.4535503  0.23503326],0.507487512266876,[0.90318458 0.36904189 0.25023607],0.5499637308004828,[0.84006142 0.58825787 0.22157191],20,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(32, 32)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.8077295422554016,0.5286311761891122,[0.88896023 0.43540456 0.26152874],0.5295832460024998,[0.89635528 0.39625712 0.29613734],0.5329946703875414,[0.88168619 0.48313492 0.2341629 ],,0.80146723985672,0.527430747794176,[0.88403252 0.45124412 0.24701561],0.5237503955501891,[0.89576448 0.40155595 0.27393075],0.5374952484940543,[0.87260389 0.51496546 0.22491639],20,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(32, 32)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.8038594126701355,0.5237770724396,[0.88621908 0.42501113 0.26010101],0.524627249551008,[0.89420459 0.38539144 0.29428571],0.5283723093301395,[0.87837494 0.47371032 0.23303167],,0.7976324558258057,0.5296688804367985,[0.88141914 0.44517292 0.26241458],0.5246348177643649,[0.89706109 0.38855508 0.28828829],0.5427403855040939,[0.86631334 0.52110514 0.24080268],20,15,3,umap,16,,['time_encoding'],['z_score'],True,True,384,1,True,signature,"(12,)","(128, 128)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
