,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id,k,input_dim
0,focal,0.7130111455917358,0.6143125998984569,[0.81141578 0.52727273 0.50424929],0.6973811703569749,0.725836455821991,0.6252050895315652,[0.81836875 0.53658537 0.52066116],[100],0.5,0.005,0,2,False,0.0,5,766
0,focal,0.7100371718406677,0.6204699342130574,[0.80681818 0.52517986 0.52941176],0.5027353710987988,0.7174721360206604,0.6117715437355339,[0.81774082 0.52538631 0.4921875 ],[100],0.5,0.005,1,2,False,0.0,5,766
0,focal,0.6676579713821411,0.5957668154798345,[0.76932591 0.53456221 0.48341232],0.6021087117054883,0.7007434964179993,0.6210870720397222,[0.79759217 0.57089552 0.49477352],[100],0.5,0.005,12,2,False,0.0,5,766
0,focal,0.697397768497467,0.6274948663135448,[0.78881618 0.53896104 0.55470738],0.5349033509983736,0.7165427803993225,0.6266360561243208,[0.81254559 0.57864078 0.4887218 ],[100],0.5,0.005,123,2,False,0.0,5,766
0,focal,0.7092936635017395,0.6104797782911605,[0.81292517 0.5212766  0.49723757],0.517703115940094,0.7314126491546631,0.6293945379626061,[0.82720333 0.55291577 0.50806452],[100],0.5,0.005,1234,2,False,0.0,5,766
0,focal,0.7078067064285278,0.6371591982928654,[0.79712747 0.57366771 0.54068241],0.5461299068787518,0.7239776849746704,0.6319496176412185,[0.81294964 0.5973025  0.48559671],[100],0.5,0.001,0,2,False,0.1,5,766
0,focal,0.6877323389053345,0.6274623414981291,[0.77757009 0.56402439 0.54079254],0.502909953103346,0.7109665274620056,0.6379370682199347,[0.79847909 0.60649819 0.50883392],[100],0.5,0.001,1,2,False,0.1,5,766
0,focal,0.6981412768363953,0.623451273294679,[0.79322854 0.56793893 0.50918635],0.5656343242701363,0.7230483293533325,0.6379853733817703,[0.81323529 0.60263653 0.49808429],[100],0.5,0.001,12,2,False,0.1,5,766
0,focal,0.7048327326774597,0.6251421047348874,[0.79883041 0.54573171 0.5308642 ],0.5946328026406905,0.7239776849746704,0.6225701389067054,[0.81518625 0.59590317 0.456621  ],[100],0.5,0.001,123,2,False,0.1,5,766
0,focal,0.692193329334259,0.6069781000482131,[0.78709677 0.55520505 0.47863248],0.651500907014398,0.7304832935333252,0.6309043123208786,[0.82185947 0.59259259 0.47826087],[100],0.5,0.001,1234,2,False,0.1,5,766
