,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id,k,input_dim
0,focal,0.6728624701499939,0.6013825356163066,[0.77431193 0.52782765 0.50200803],0.5364582645041602,0.664977490901947,0.58138400314215,[0.77270673 0.49931413 0.47213115],[100],0.5,0.005,0,2,True,0.0,5,766
1,focal,0.6892193555831909,0.5902278123324711,[0.79976785 0.51515152 0.45576408],0.5281675660184452,0.6998873949050903,0.6123430545304206,[0.79824561 0.53670886 0.50207469],[100],0.5,0.005,0,2,True,0.0,5,766
2,focal,0.6877323389053345,0.5653611334701354,[0.79175947 0.53468697 0.36963696],0.5332831005964961,0.6959459185600281,0.5927816573890287,[0.7955707  0.52864583 0.45412844],[100],0.5,0.005,0,2,True,0.0,5,766
3,focal,0.6877323389053345,0.5856807813135106,[0.79345372 0.49708738 0.46650124],0.5672952660492488,0.7015765905380249,0.5946388409605081,[0.805074   0.52050919 0.45833333],[100],0.5,0.005,0,2,True,0.0,5,766
4,focal,0.6617100238800049,0.585731455469878,[0.76081731 0.51030111 0.48607595],0.5453847455126899,0.6897522807121277,0.6125030473730063,[0.78408583 0.53742331 0.516     ],[100],0.5,0.005,0,2,True,0.0,5,766
0,focal,0.6490706205368042,0.5866835868626319,[0.75595621 0.52261307 0.48148148],0.5456941287432399,0.6283783912658691,0.5598367325646681,[0.73512476 0.51094891 0.43343653],[100],0.5,0.005,1,2,True,0.0,5,766
1,focal,0.6817843914031982,0.596872271862538,[0.78089552 0.54202899 0.46769231],0.5256011784076691,0.6813063025474548,0.6067196278763475,[0.76839237 0.56129032 0.49047619],[100],0.5,0.005,1,2,True,0.0,5,766
2,focal,0.6944237947463989,0.5681928193807804,[0.80174292 0.50283554 0.4       ],0.5210985136883599,0.7060810923576355,0.6054866832622903,[0.8062211  0.49112426 0.51911469],[100],0.5,0.005,1,2,True,0.0,5,766
3,focal,0.7003717422485352,0.6019887495021904,[0.80414747 0.55208333 0.44973545],0.5612479756985392,0.6936936974525452,0.5904652511917586,[0.79619212 0.54755784 0.42764579],[100],0.5,0.005,1,2,True,0.0,5,766
4,focal,0.6743494272232056,0.5859512131389206,[0.77876106 0.51410658 0.46498599],0.5419561964060579,0.6784909963607788,0.5924357107837958,[0.78295606 0.49761905 0.49673203],[100],0.5,0.005,1,2,True,0.0,5,766
0,focal,0.6899628043174744,0.5959179391325866,[0.80327869 0.49569707 0.48877805],0.5345474811536925,0.6768018007278442,0.5806361515163618,[0.78360511 0.51918159 0.43912176],[100],0.5,0.005,12,2,True,0.0,5,766
1,focal,0.675836443901062,0.5974104365730203,[0.78212291 0.55051245 0.45959596],0.5210193768143654,0.6751126050949097,0.5987711022980733,[0.77178423 0.5518018  0.47272727],[100],0.5,0.005,12,2,True,0.0,5,766
2,focal,0.6624535322189331,0.5826418306413967,[0.76121212 0.55150555 0.43520782],0.521075889468193,0.662162184715271,0.5907830360689285,[0.76044568 0.53204353 0.47985989],[100],0.5,0.005,12,2,True,0.0,5,766
3,focal,0.6996282339096069,0.5865647664345475,[0.80552486 0.50485437 0.44931507],0.5807470328041485,0.6948198080062866,0.57931093148184,[0.79949875 0.51510791 0.42332613],[100],0.5,0.005,12,2,True,0.0,5,766
4,focal,0.6750929355621338,0.5931181570301666,[0.77883472 0.51013514 0.49038462],0.5384386117969241,0.6858108043670654,0.5979400760252774,[0.79080053 0.50395778 0.49906191],[100],0.5,0.005,12,2,True,0.0,5,766
0,focal,0.6869888305664062,0.6104021786439785,[0.7910628  0.52145215 0.51869159],0.5387524664402008,0.681869387626648,0.5945804950252277,[0.78443649 0.53316953 0.46613546],[100],0.5,0.005,123,2,True,0.0,5,766
1,focal,0.6966542601585388,0.5793989638676409,[0.80933852 0.48375451 0.44510386],0.5218348343457494,0.6959459185600281,0.5917006507431904,[0.79932404 0.49395973 0.48181818],[100],0.5,0.005,123,2,True,0.0,5,766
2,focal,0.6788104176521301,0.5627600601285898,[0.78804649 0.47801147 0.42222222],0.5469283184834889,0.6936936974525452,0.5924505935239719,[0.79524214 0.51082251 0.47128713],[100],0.5,0.005,123,2,True,0.0,5,766
3,focal,0.692193329334259,0.5992759986755435,[0.7932243  0.56418919 0.44041451],0.5808517869029727,0.6914414167404175,0.5894093604927668,[0.79548415 0.54054054 0.43220339],[100],0.5,0.005,123,2,True,0.0,5,766
4,focal,0.6743494272232056,0.6039281046181851,[0.77082067 0.52773613 0.51322751],0.5396932363510132,0.6891891956329346,0.6177169767015717,[0.78472861 0.54915254 0.51926978],[100],0.5,0.005,123,2,True,0.0,5,766
0,focal,0.7003717422485352,0.6141313345130809,[0.80232558 0.51648352 0.52358491],0.5483651352780206,0.6897522807121277,0.5980965688958725,[0.7907585  0.52291105 0.48062016],[100],0.5,0.005,1234,2,True,0.0,5,766
1,focal,0.6513010859489441,0.5839229781229286,[0.75080077 0.54951185 0.45145631],0.5252816453576088,0.6514639854431152,0.5858112496382123,[0.7422286  0.55426765 0.4609375 ],[100],0.5,0.005,1234,2,True,0.0,5,766
2,focal,0.6847583651542664,0.5738512436507239,[0.79234665 0.51824818 0.4109589 ],0.5412862066711698,0.6925675868988037,0.598241084088505,[0.7951599  0.50708215 0.4924812 ],[100],0.5,0.005,1234,2,True,0.0,5,766
