,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,k,input_dim
0,focal,0.6996282339096069,0.6298482724983847,[0.79659988 0.54660348 0.54634146],0.5351279846259526,0.6858108043670654,0.6018140068469092,[0.78545781 0.5430303  0.47695391],[100],0.5,0.0001,0,2,True,20,766
1,focal,0.68104088306427,0.596610357135234,[0.78692494 0.54054054 0.46236559],0.5071874143821853,0.6965090036392212,0.6244766960122052,[0.78774016 0.569161   0.51652893],[100],0.5,0.0001,0,2,True,20,766
2,focal,0.6892193555831909,0.591242669641179,[0.78983834 0.55649241 0.42739726],0.5343925473945481,0.6920045018196106,0.600451193466695,[0.79488311 0.53796654 0.46850394],[100],0.5,0.0001,0,2,True,20,766
3,focal,0.6802973747253418,0.6013172888596422,[0.77904877 0.54573643 0.47916667],0.5574489895786557,0.6852477192878723,0.5974945343414222,[0.78315412 0.55633803 0.45299145],[100],0.5,0.0001,0,2,True,20,766
4,focal,0.6676579713821411,0.6002504281950372,[0.76427704 0.50817236 0.52830189],0.528262309730053,0.681869387626648,0.6068915917431351,[0.77910174 0.54157303 0.5       ],[100],0.5,0.0001,0,2,True,20,766
0,focal,0.6892193555831909,0.6153042265480977,[0.78934625 0.53588517 0.52068127],0.5315591203314918,0.6807432174682617,0.5942902280478845,[0.78272605 0.5410628  0.45908184],[100],0.5,0.0001,1,2,True,20,766
1,focal,0.6802973747253418,0.5970751946284549,[0.78455039 0.54070661 0.46596859],0.5095659281526294,0.6858108043670654,0.6137160744061495,[0.77752398 0.55658199 0.50704225],[100],0.5,0.0001,1,2,True,20,766
2,focal,0.675836443901062,0.5788916320553533,[0.77803738 0.54991817 0.40871935],0.5305670680744308,0.6858108043670654,0.5984249351547014,[0.78763441 0.54456654 0.46307385],[100],0.5,0.0001,1,2,True,20,766
3,focal,0.6847583651542664,0.6040408661033069,[0.78386514 0.5588697  0.46938776],0.5530345397336143,0.6813063025474548,0.5941991552096385,[0.77857786 0.56235294 0.44166667],[100],0.5,0.0001,1,2,True,20,766
4,focal,0.6676579713821411,0.6013863307731085,[0.76390606 0.52897474 0.5112782 ],0.5296108807836261,0.6745495200157166,0.6035105083770168,[0.77238806 0.54301676 0.49512671],[100],0.5,0.0001,1,2,True,20,766
0,focal,0.692193329334259,0.6233329407034935,[0.79066912 0.54631083 0.53301887],0.5394431139741626,0.6773648858070374,0.596191465638052,[0.77671669 0.54545455 0.46640316],[100],0.5,0.0001,12,2,True,20,766
1,focal,0.68104088306427,0.5918094769877561,[0.78918919 0.54121306 0.44502618],0.5134197058422225,0.6908783912658691,0.6147303424309288,[0.78688525 0.55324074 0.50406504],[100],0.5,0.0001,12,2,True,20,766
2,focal,0.6892193555831909,0.5899819756022343,[0.79069767 0.56351792 0.41573034],0.5366954335144588,0.6880630850791931,0.5984724181393603,[0.78935698 0.54047323 0.46558704],[100],0.5,0.0001,12,2,True,20,766
3,focal,0.6862453818321228,0.6076505707851106,[0.78250449 0.55821372 0.4822335 ],0.5566219463944435,0.6835585832595825,0.5955027323472374,[0.782453   0.55690073 0.44715447],[100],0.5,0.0001,12,2,True,20,766
4,focal,0.6639405488967896,0.5984460707536575,[0.75908811 0.52225519 0.51399491],0.5306250900030136,0.6779279112815857,0.6048113559530326,[0.7754159  0.54298643 0.49603175],[100],0.5,0.0001,12,2,True,20,766
0,focal,0.6951673030853271,0.6265829239780683,[0.79194631 0.54574639 0.54205607],0.5351427995732853,0.6813063025474548,0.5940237135094618,[0.78545781 0.53267571 0.46393762],[100],0.5,0.0001,123,2,True,20,766
1,focal,0.6840148568153381,0.5974825216981727,[0.79039039 0.53929122 0.46276596],0.5067795089312962,0.6976351141929626,0.6236469278344506,[0.78983205 0.56351039 0.51759834],[100],0.5,0.0001,123,2,True,20,766
2,focal,0.6966542601585388,0.6014030855777688,[0.79490151 0.57095159 0.43835616],0.5332148564713342,0.6959459185600281,0.603887710911785,[0.79858657 0.54942234 0.46365422],[100],0.5,0.0001,123,2,True,20,766
3,focal,0.6832713484764099,0.6027517817595899,[0.78292243 0.55205047 0.47328244],0.5517091719167573,0.6880630850791931,0.5993023827578224,[0.78706199 0.56501182 0.44583333],[100],0.5,0.0001,123,2,True,20,766
4,focal,0.664683997631073,0.5964245692928316,[0.76114844 0.51661631 0.51150895],0.528709817145552,0.6886261105537415,0.6161175396784079,[0.78420569 0.55132641 0.51282051],[100],0.5,0.0001,123,2,True,20,766
0,focal,0.692193329334259,0.6232704106456745,[0.78973105 0.54428341 0.53579677],0.5304193390267236,0.6779279112815857,0.5961334599891855,[0.77772748 0.54323995 0.46743295],[100],0.5,0.0001,1234,2,True,20,766
1,focal,0.6825278997421265,0.5971033421769744,[0.78722122 0.54462935 0.45945946],0.5050238849861282,0.690315306186676,0.6149617742985628,[0.7833638  0.56467942 0.49684211],[100],0.5,0.0001,1234,2,True,20,766
2,focal,0.692193329334259,0.5926003915042908,[0.79260543 0.56384743 0.42134831],0.5312695748039654,0.6959459185600281,0.6043608311927978,[0.79542455 0.55329949 0.46435845],[100],0.5,0.0001,1234,2,True,20,766
3,focal,0.6743494272232056,0.6016407592959039,[0.77055215 0.55864198 0.47572816],0.5502574582185064,0.681869387626648,0.600461576304785,[0.77757521 0.57142857 0.45238095],[100],0.5,0.0001,1234,2,True,20,766
4,focal,0.6631970405578613,0.5947744681104942,[0.76114844 0.50903614 0.51413882],0.5267676572714534,0.6858108043670654,0.6145844159149276,[0.78008299 0.55479452 0.50887574],[100],0.5,0.0001,1234,2,True,20,766
