,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,,0.6243295073509216,0.510658487356625,[0.75392512 0.43430034 0.34375   ],0.5042474900369699,[0.78869236 0.44964664 0.27440347],0.5340202308258587,[0.7220937 0.419967  0.46     ],,0.6485227942466736,0.5443285384217663,[0.77591542 0.46957717 0.38749302],0.5388629245602711,[0.79456034 0.49528644 0.326742  ],0.5601750714003022,[0.75812547 0.44640523 0.47599451],"(64, 64)",0.1,0.001,1,focal,2,True,5,64,0
0,,0.625095784664154,0.5108467445888508,[0.7560241  0.42445114 0.352065  ],0.5043436972419891,[0.78881207 0.44374437 0.28047465],0.5351153478563587,[0.72585309 0.40676568 0.47272727],,0.6557482481002808,0.5509671792090698,[0.78145017 0.47545582 0.39599555],0.5469242207016864,[0.79489184 0.5128593  0.33302152],0.5666443257687163,[0.76845553 0.44313725 0.48834019],"(64, 64)",0.1,0.001,12,focal,2,True,5,64,0
0,,0.6383141875267029,0.5122639909067063,[0.76759628 0.43611584 0.33307985],0.5068828384034224,[0.78366978 0.45070423 0.28627451],0.5242643153846905,[0.75216888 0.42244224 0.39818182],,0.6594412326812744,0.5462498985467946,[0.78638319 0.47240315 0.37996335],0.5430829342321698,[0.7899822  0.49675559 0.34251101],0.5532518082678887,[0.78281683 0.4503268  0.4266118 ],"(64, 64)",0.1,0.001,123,focal,2,True,5,64,0
0,,0.6279693245887756,0.5120209555614862,[0.75475086 0.43297252 0.34833948],0.5040526652184298,[0.7820155  0.43697479 0.2931677 ],0.5291523738840049,[0.72932331 0.4290429  0.42909091],,0.6559088230133057,0.5514966113898473,[0.77814739 0.4820095  0.39433294],0.5460041706917879,[0.79048609 0.50141243 0.34611399],0.5628007032717065,[0.76618796 0.46405229 0.45816187],"(64, 64)",0.1,0.0005,1,focal,2,True,5,64,1
0,,0.6423371434211731,0.5144164578218958,[0.77160041 0.43657043 0.33507853],0.5107381769077664,[0.78297112 0.46461825 0.28462516],0.5265147110431112,[0.76055523 0.41171617 0.40727273],,0.6575144529342651,0.5419072787409139,[0.78518519 0.46153846 0.37899819],0.5408094479431127,[0.78253253 0.50153374 0.33836207],0.5486779622685837,[0.78785588 0.42745098 0.43072702],"(64, 64)",0.1,0.0005,12,focal,2,True,5,64,1
0,,0.6339080333709717,0.5085344920171743,[0.76485405 0.42869128 0.33205815],0.5023082630747365,[0.7842601  0.43600683 0.28665786],0.5208492700050803,[0.74638519 0.42161716 0.39454545],,0.6586384177207947,0.5454204746604242,[0.78569623 0.46815835 0.38240684],0.5424484319924933,[0.78808619 0.49454545 0.34471366],0.5523734871177551,[0.78332074 0.44444444 0.42935528],"(64, 64)",0.1,0.0005,123,focal,2,True,5,64,1
0,,0.6377394795417786,0.510707342618547,[0.76474057 0.43870439 0.32867707],0.5052629032136543,[0.77991581 0.43602282 0.29985007],0.5184000326001369,[0.75014459 0.44141914 0.36363636],,0.6607257723808289,0.5451281819764581,[0.78641757 0.47750168 0.3714653 ],0.5428290236751958,[0.78800911 0.4910221  0.34945586],0.5486572681198679,[0.78483245 0.46470588 0.39643347],"(64, 64)",0.1,0.0001,1,focal,2,True,5,64,2
0,,0.6386973261833191,0.5089668621244687,[0.76877761 0.43518133 0.32294165],0.5037457360964953,[0.78331333 0.43976411 0.28815977],0.5175791136082954,[0.75477154 0.43069307 0.36727273],,0.6555876731872559,0.5364231322105679,[0.78516656 0.45965271 0.36445013],0.5348512415032481,[0.78349222 0.47974414 0.34131737],0.5396570150694022,[0.78684807 0.44117647 0.3909465 ],"(64, 64)",0.1,0.0001,12,focal,2,True,5,64,2
0,,0.6417624354362488,0.5067746853731866,[0.7711617  0.43283582 0.31632653],0.5035190428765164,[0.77843253 0.435      0.2971246 ],0.5109667785749078,[0.76402545 0.43069307 0.33818182],,0.6573538780212402,0.52955497294313,[0.78868677 0.45805142 0.34192673],0.5310475650133667,[0.7801331  0.47475456 0.33825503],0.5285309185402556,[0.79743008 0.44248366 0.34567901],"(64, 64)",0.1,0.0001,123,focal,2,True,5,64,2
0,,0.6337164640426636,0.5132261496618674,[0.76235713 0.4316423  0.34567901],0.5071937160344973,[0.7831656  0.45062837 0.28778718],0.5298481623755203,[0.7426258  0.41419142 0.43272727],,0.6570327281951904,0.5491904954661679,[0.77996965 0.4692815  0.39832034],0.5457514971898628,[0.78293983 0.5003701  0.35394456],0.5580901221942824,[0.77702192 0.44183007 0.45541838],"(128, 128)",0.1,0.001,1,focal,2,True,5,64,3
