,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim,dimension,sig_depth,method,log_signature
0,,0.5643678307533264,0.45249031233438375,[0.70551767 0.36227898 0.28967429],0.446688684351477,[0.76018704 0.34583646 0.23404255],0.4728489858818155,[0.65818392 0.38036304 0.38      ],,0.7182080745697021,0.6366272994741654,[0.81353286 0.60121522 0.49513382],0.6248798336403051,[0.84122713 0.58860363 0.44480874],0.6534273517363051,[0.78760393 0.61437908 0.55829904],"(64, 64)",0.5,0.001,1,focal,2,True,5,64,0.0,790,28,2,gaussian_random_projection,True
0,,0.571264386177063,0.46231357896074005,[0.71012914 0.37681159 0.3       ],0.45598528217062917,[0.76860896 0.35868755 0.24065934],0.48498851099684864,[0.65991903 0.39686469 0.39818182],,0.7214193940162659,0.6407669690716141,[0.814295   0.61102159 0.49698432],0.6290019242615832,[0.84084809 0.60267006 0.44348762],0.6580443974571996,[0.7893676  0.61960784 0.56515775],"(64, 64)",0.5,0.001,12,focal,2,True,5,64,0.0,790,28,2,gaussian_random_projection,True
0,,0.559578537940979,0.4560615485561273,[0.70034954 0.37636432 0.29147079],0.4514228632126571,[0.77715092 0.34602076 0.23109691],0.48148311534450144,[0.63736264 0.41254125 0.39454545],,0.7151573300361633,0.6367146809177066,[0.81207965 0.6043073  0.49375709],0.6225428562626915,[0.85196458 0.5945604  0.42110358],0.6622830202039663,[0.77576216 0.61437908 0.59670782],"(64, 64)",0.5,0.001,123,focal,2,True,5,64,0.0,790,28,2,gaussian_random_projection,True
0,,0.578927218914032,0.4610497421327107,[0.71680196 0.38359375 0.28275352],0.45488734819548554,[0.76196679 0.36424332 0.23845194],0.4763599893823969,[0.67669173 0.40511551 0.34727273],,0.7247912883758545,0.6386172260236537,[0.82042027 0.60707395 0.48835746],0.6295507548174119,[0.84002112 0.59746835 0.45116279],0.6503142271997963,[0.80171328 0.61699346 0.53223594],"(64, 64)",0.5,0.0001,1,focal,2,True,5,64,0.1,790,28,2,gaussian_random_projection,True
0,,0.5996168851852417,0.4746310253766522,[0.7373829  0.40144231 0.28506787],0.46863183855098517,[0.7721519  0.39018692 0.2435567 ],0.4875376265214723,[0.70561018 0.41336634 0.34363636],,0.729126513004303,0.6435293812345638,[0.82299624 0.62055838 0.48703352],0.6338003030634334,[0.84656367 0.60295931 0.45187793],0.6560139556508474,[0.80070547 0.63921569 0.52812071],"(64, 64)",0.5,0.0001,12,focal,2,True,5,64,0.1,790,28,2,gaussian_random_projection,True
0,,0.5856322050094604,0.4674803466341622,[0.72198276 0.39703154 0.28342674],0.46195450364509666,[0.7718894  0.36075523 0.25321888],0.4804583251847452,[0.67813765 0.44141914 0.32181818],,0.7251123785972595,0.6411194085050173,[0.81951473 0.61055276 0.49329073],0.6314085209235364,[0.84483681 0.58766626 0.46172249],0.6534843292598246,[0.79566641 0.63529412 0.52949246],"(64, 64)",0.5,0.0001,123,focal,2,True,5,64,0.1,790,28,2,gaussian_random_projection,True
0,,0.5693486332893372,0.4613551294236998,[0.70487729 0.38113796 0.29805014],0.45469884216284684,[0.7614094  0.36115214 0.24153499],0.4829052951564677,[0.65615963 0.40346535 0.38909091],,0.7265574932098389,0.6472930551956152,[0.8193993  0.61354065 0.50893921],0.6349187022177069,[0.84658786 0.60822094 0.44994731],0.6661969588932967,[0.79390275 0.61895425 0.58573388],"(64, 64)",0.5,0.0005,1,focal,2,True,5,64,0.2,790,28,2,gaussian_random_projection,True
0,,0.5802682042121887,0.46281544517433976,[0.72045315 0.3768     0.29119318],0.45668771610399855,[0.76545218 0.36568323 0.23892774],0.48059742064432015,[0.68045113 0.38861386 0.37272727],,0.728644847869873,0.6478265697160094,[0.82242991 0.61349693 0.50755287],0.6360034915000757,[0.84819277 0.60625399 0.45356371],0.665077553655207,[0.79818594 0.62091503 0.57613169],"(64, 64)",0.5,0.0005,12,focal,2,True,5,64,0.2,790,28,2,gaussian_random_projection,True
0,,0.5544061064720154,0.4535718762806289,[0.69256703 0.3844212  0.2837274 ],0.4498656209351382,[0.77841934 0.34144779 0.22972973],0.4781496778943366,[0.62377097 0.43976898 0.37090909],,0.7238278985023499,0.6459828191192475,[0.8163801  0.61552971 0.50603865],0.6323414782348737,[0.85205479 0.59297396 0.45199569],0.6660673048368868,[0.78357269 0.63986928 0.57475995],"(64, 64)",0.5,0.0005,123,focal,2,True,5,64,0.2,790,28,2,gaussian_random_projection,True
0,,0.5528735518455505,0.4500100360325952,[0.68941657 0.3666538  0.29395973],0.44434424731184535,[0.75560152 0.3444525  0.23297872],0.4746628109890226,[0.63389242 0.39191419 0.39818182],,0.7196531891822815,0.639648988078913,[0.8161435  0.6135281  0.48927536],0.6255704829657956,[0.85635206 0.59666461 0.42369478],0.6632630555651615,[0.77954145 0.63137255 0.57887517],"(64, 64)",0.1,0.001,1,focal,2,True,5,64,0.3,790,28,2,gaussian_random_projection,True
