,loss,accuracy,f1,f1_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,gamma,k_fold,model_id
0,focal,0.5653531551361084,0.4382625538716829,[0.69374859 0.332999   0.28804008],,0.5653531551361084,0.4382625538716829,[0.69374859 0.332999   0.28804008],10,1,True,200,0.5,0.001,0,2,True,0
0,focal,0.5790334343910217,0.4471130238076926,[0.70345446 0.36387521 0.2740094 ],,0.5790334343910217,0.4471130238076926,[0.70345446 0.36387521 0.2740094 ],10,1,True,200,0.5,0.001,1,2,True,0
0,focal,0.6057992577552795,0.4132502598103065,[0.73789409 0.28383094 0.21802575],,0.6057992577552795,0.4132502598103065,[0.73789409 0.28383094 0.21802575],10,1,True,200,0.5,0.001,12,2,True,0
0,focal,0.5744237899780273,0.43893837270225067,[0.7007874  0.35734331 0.25868441],,0.5744237899780273,0.43893837270225067,[0.7007874  0.35734331 0.25868441],10,1,True,200,0.5,0.001,123,2,True,0
0,focal,0.5845353007316589,0.4279583314614546,[0.71673169 0.3201426  0.24700071],,0.5845353007316589,0.4279583314614546,[0.71673169 0.3201426  0.24700071],10,1,True,200,0.5,0.001,1234,2,True,0
0,focal,0.5855762362480164,0.42690334538636937,[0.71590909 0.30900333 0.25579761],,0.5855762362480164,0.42690334538636937,[0.71590909 0.30900333 0.25579761],10,1,True,200,0.5,0.0001,0,2,True,1
0,focal,0.5787360668182373,0.43889012848763076,[0.70668426 0.32705297 0.28293316],,0.5787360668182373,0.43889012848763076,[0.70668426 0.32705297 0.28293316],10,1,True,200,0.5,0.0001,1,2,True,1
0,focal,0.5766542553901672,0.4266085036925393,[0.70606093 0.31243124 0.26133333],,0.5766542553901672,0.4266085036925393,[0.70606093 0.31243124 0.26133333],10,1,True,200,0.5,0.0001,12,2,True,1
0,focal,0.5968773365020752,0.4270462072139604,[0.72635135 0.31117825 0.24360902],,0.5968773365020752,0.4270462072139604,[0.72635135 0.31117825 0.24360902],10,1,True,200,0.5,0.0001,123,2,True,1
0,focal,0.5873606204986572,0.429216092061315,[0.71747728 0.30277672 0.26739427],,0.5873606204986572,0.429216092061315,[0.71747728 0.30277672 0.26739427],10,1,True,200,0.5,0.0001,1234,2,True,1
0,focal,0.5977694988250732,0.42756119791069974,[0.72867074 0.2972561  0.25675676],,0.5977694988250732,0.42756119791069974,[0.72867074 0.2972561  0.25675676],10,1,True,200,0.5,0.0005,0,2,True,2
0,focal,0.5946468114852905,0.428803518872662,[0.72569738 0.29153605 0.26917713],,0.5946468114852905,0.428803518872662,[0.72569738 0.29153605 0.26917713],10,1,True,200,0.5,0.0005,1,2,True,2
0,focal,0.5884014964103699,0.44416065369261987,[0.71535088 0.34504132 0.27208976],,0.5884014964103699,0.44416065369261987,[0.71535088 0.34504132 0.27208976],10,1,True,200,0.5,0.0005,12,2,True,2
0,focal,0.6007434725761414,0.43656774927826764,[0.7313622  0.29181218 0.28652887],,0.6007434725761414,0.43656774927826764,[0.7313622  0.29181218 0.28652887],10,1,True,200,0.5,0.0005,123,2,True,2
0,focal,0.5753160119056702,0.4422404856001203,[0.70220136 0.34346103 0.28105906],,0.5753160119056702,0.4422404856001203,[0.70220136 0.34346103 0.28105906],10,1,True,200,0.5,0.0005,1234,2,True,2
0,focal,0.5803717374801636,0.4364392832671807,[0.71151953 0.31041968 0.28737864],,0.5803717374801636,0.4364392832671807,[0.71151953 0.31041968 0.28737864],10,1,True,200,0.2,0.001,0,2,True,3
0,focal,0.5842379331588745,0.4190988207743091,[0.71572341 0.33053409 0.21103896],,0.5842379331588745,0.4190988207743091,[0.71572341 0.33053409 0.21103896],10,1,True,200,0.2,0.001,1,2,True,3
0,focal,0.598215639591217,0.41997190954261465,[0.72988265 0.29560685 0.23442623],,0.598215639591217,0.41997190954261465,[0.72988265 0.29560685 0.23442623],10,1,True,200,0.2,0.001,12,2,True,3
0,focal,0.5805204510688782,0.4374485399085833,[0.70830565 0.34822602 0.25581395],,0.5805204510688782,0.4374485399085833,[0.70830565 0.34822602 0.25581395],10,1,True,200,0.2,0.001,123,2,True,3
0,focal,0.5693680047988892,0.4322373058180815,[0.70069243 0.3277592  0.26826029],,0.5693680047988892,0.4322373058180815,[0.70069243 0.3277592  0.26826029],10,1,True,200,0.2,0.001,1234,2,True,3
0,focal,0.5830483436584473,0.43071872326308114,[0.71311298 0.31175595 0.26728723],,0.5830483436584473,0.43071872326308114,[0.71311298 0.31175595 0.26728723],10,1,True,200,0.2,0.0001,0,2,True,4
0,focal,0.5855762362480164,0.4226295448013686,[0.71819338 0.27254668 0.27714857],,0.5855762362480164,0.4226295448013686,[0.71819338 0.27254668 0.27714857],10,1,True,200,0.2,0.0001,1,2,True,4
0,focal,0.5726394057273865,0.43147685738951047,[0.70084347 0.31513828 0.27844882],,0.5726394057273865,0.43147685738951047,[0.70084347 0.31513828 0.27844882],10,1,True,200,0.2,0.0001,12,2,True,4
0,focal,0.5991078019142151,0.42773425743265925,[0.72746397 0.31228733 0.24345146],,0.5991078019142151,0.42773425743265925,[0.72746397 0.31228733 0.24345146],10,1,True,200,0.2,0.0001,123,2,True,4
0,focal,0.5839405059814453,0.44072280195890984,[0.70975477 0.33060789 0.28180575],,0.5839405059814453,0.44072280195890984,[0.70975477 0.33060789 0.28180575],10,1,True,200,0.2,0.0001,1234,2,True,4
0,focal,0.5858736038208008,0.4306080509128136,[0.71582811 0.32034632 0.25564972],,0.5858736038208008,0.4306080509128136,[0.71582811 0.32034632 0.25564972],10,1,True,200,0.2,0.0005,0,2,True,5
0,focal,0.5988104343414307,0.4414529726893706,[0.72577716 0.32703003 0.27155172],,0.5988104343414307,0.4414529726893706,[0.72577716 0.32703003 0.27155172],10,1,True,200,0.2,0.0005,1,2,True,5
0,focal,0.592267632484436,0.41043538257810647,[0.72502618 0.29028656 0.2159934 ],,0.592267632484436,0.41043538257810647,[0.72502618 0.29028656 0.2159934 ],10,1,True,200,0.2,0.0005,12,2,True,5
0,focal,0.6041635870933533,0.43364745542768096,[0.73427525 0.28980761 0.2768595 ],,0.6041635870933533,0.43364745542768096,[0.73427525 0.28980761 0.2768595 ],10,1,True,200,0.2,0.0005,123,2,True,5
0,focal,0.5787360668182373,0.43633478499706563,[0.70585611 0.36181877 0.24132948],,0.5787360668182373,0.43633478499706563,[0.70585611 0.36181877 0.24132948],10,1,True,200,0.2,0.0005,1234,2,True,5
0,focal,0.5809665322303772,0.4326198686793766,[0.71198257 0.31441995 0.27145709],,0.5809665322303772,0.4326198686793766,[0.71198257 0.31441995 0.27145709],10,1,True,200,0.1,0.001,0,2,True,6
0,focal,0.5791821479797363,0.4176042675277467,[0.71335787 0.31160683 0.2278481 ],,0.5791821479797363,0.4176042675277467,[0.71335787 0.31160683 0.2278481 ],10,1,True,200,0.1,0.001,1,2,True,6
0,focal,0.5744237899780273,0.4260563790427561,[0.70329186 0.33530184 0.23957544],,0.5744237899780273,0.4260563790427561,[0.70329186 0.33530184 0.23957544],10,1,True,200,0.1,0.001,12,2,True,6
0,focal,0.5806691646575928,0.4364075585134189,[0.70952801 0.33938172 0.26031294],,0.5806691646575928,0.4364075585134189,[0.70952801 0.33938172 0.26031294],10,1,True,200,0.1,0.001,123,2,True,6
0,focal,0.586617112159729,0.4160973221548124,[0.72302158 0.26830233 0.25696805],,0.586617112159729,0.4160973221548124,[0.72302158 0.26830233 0.25696805],10,1,True,200,0.1,0.001,1234,2,True,6
0,focal,0.5821561217308044,0.43308172149007906,[0.7102316  0.3285612  0.26045236],,0.5821561217308044,0.43308172149007906,[0.7102316  0.3285612  0.26045236],10,1,True,200,0.1,0.0001,0,2,True,7
