,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,,0.6124520897865295,0.508637353829137,[0.73142332 0.4435272  0.35096154],0.4994253418825049,[0.77777778 0.40674467 0.31375358],0.5253629937892575,[0.6902834  0.48762376 0.39818182],,0.7018304467201233,0.6190654788073581,[0.79624736 0.60078337 0.46016571],0.6080778254492546,[0.83717699 0.55729458 0.4297619 ],0.6353220574924071,[0.75913328 0.65163399 0.4951989 ],35,1,True,200,0.1,0.001,1,focal,2,True,5,64,0
0,,0.617241382598877,0.5122283297697175,[0.73760172 0.45378151 0.34530176],0.502162454438612,[0.78625205 0.42247511 0.29776021],0.5318764230384866,[0.69462117 0.49009901 0.41090909],,0.6939627528190613,0.6123624789838268,[0.7948244  0.57492931 0.46733373],0.5992562755966153,[0.83495146 0.55353902 0.40927835],0.6336660864620196,[0.75837743 0.59803922 0.54458162],35,1,True,200,0.1,0.001,12,focal,2,True,5,64,0
0,,0.6275861859321594,0.5173657701618984,[0.74721637 0.45239052 0.35249042],0.5081236785023865,[0.77885822 0.44087706 0.30463576],0.5335827943696626,[0.71804511 0.46452145 0.41818182],,0.7085741758346558,0.6255584266560309,[0.80397984 0.5905952  0.48210024],0.6153725641635577,[0.82519894 0.59430841 0.42661035],0.6416455196619114,[0.78382464 0.5869281  0.55418381],35,1,True,200,0.1,0.001,123,focal,2,True,5,64,0
0,,0.6436781883239746,0.5192894297350913,[0.76272189 0.46915521 0.32599119],0.5149467426079887,[0.78073895 0.44786197 0.31623932],0.5248185113479538,[0.74551764 0.49257426 0.33636364],,0.7138728499412537,0.6272579506776391,[0.80817166 0.59317751 0.48042468],0.621283370844231,[0.8245936  0.57396088 0.46529563],0.6342290551337132,[0.79239103 0.61372549 0.49657064],35,1,True,200,0.1,0.0005,1,focal,2,True,5,64,1
0,,0.6258620619773865,0.5059218489603504,[0.74740894 0.4329653  0.3373913 ],0.5012542001127634,[0.7657767  0.41465257 0.32333333],0.5118664156756914,[0.72990168 0.4529703  0.35272727],,0.7141939401626587,0.6243659849372575,[0.8101721  0.59726202 0.46566383],0.6178501437127651,[0.82630338 0.58224705 0.445     ],0.6320235638837154,[0.7946586  0.6130719  0.48834019],35,1,True,200,0.1,0.0005,12,focal,2,True,5,64,1
0,,0.6289272308349609,0.5064306707025706,[0.75556876 0.43639358 0.32732968],0.49984556889488063,[0.77655678 0.43549712 0.28748281],0.517659698879084,[0.73568537 0.43729373 0.38      ],,0.708253026008606,0.6203376870516388,[0.80447358 0.59300425 0.46353523],0.6120934278244651,[0.82125984 0.59319817 0.42182227],0.6318578460190661,[0.78835979 0.59281046 0.51440329],35,1,True,200,0.1,0.0005,123,focal,2,True,5,64,1
0,,0.6204980611801147,0.49356052434168624,[0.74342782 0.42492013 0.31233363],0.4906958762356027,[0.75529693 0.41176471 0.305026  ],0.4969566210525043,[0.73192597 0.43894389 0.32      ],,0.6830443143844604,0.590433940525518,[0.78355812 0.56062076 0.42712294],0.5836354387323365,[0.79926625 0.5547025  0.39693757],0.5991330963112268,[0.76845553 0.56666667 0.46227709],35,1,True,200,0.1,0.0001,1,focal,2,True,5,64,2
0,,0.6243295073509216,0.4978746496274267,[0.75036539 0.41211102 0.33114754],0.4934341381624736,[0.75856974 0.42024014 0.30149254],0.5046332556910983,[0.74233661 0.40429043 0.36727273],,0.6885035037994385,0.5980081360633266,[0.78925831 0.55733333 0.44743276],0.5911952987602193,[0.8013503  0.56870748 0.40352811],0.6086628890239223,[0.77752583 0.54640523 0.50205761],35,1,True,200,0.1,0.0001,12,focal,2,True,5,64,2
0,,0.623180091381073,0.4978135782704926,[0.75092497 0.43030557 0.3122102 ],0.4924099250684864,[0.76902092 0.43670348 0.27150538],0.5083420707599967,[0.73366108 0.42409241 0.36727273],,0.686897873878479,0.5999430869607689,[0.78916677 0.56291834 0.44774415],0.590937499964487,[0.8124333  0.57681756 0.38356164],0.6181972926344749,[0.76719577 0.5496732  0.53772291],35,1,True,200,0.1,0.0001,123,focal,2,True,5,64,2
0,,0.6409961581230164,0.5189893891469061,[0.75847771 0.46810176 0.33038869],0.5146052870931739,[0.77723824 0.44527178 0.32130584],0.5246669478977973,[0.7406015  0.49339934 0.34      ],,0.7109826803207397,0.6174550622128593,[0.81000383 0.58113687 0.46122449],0.6144108901595845,[0.82057911 0.56516368 0.45748988],0.6209191495528252,[0.79969766 0.59803922 0.46502058],35,1,True,300,0.1,0.001,1,focal,2,True,5,64,3
