,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6486589908599854,0.5147961383365014,[0.77755454 0.40239726 0.36443662],0.5143955529353851,[0.77179487 0.41814947 0.35324232],0.5158510749860411,[0.78340081 0.38778878 0.37636364],,0.6933205127716064,0.5929520165040326,[0.80302648 0.52771324 0.44811633],0.5907702988557545,[0.80383741 0.53607552 0.43239796],0.5956152008128354,[0.80221718 0.51960784 0.46502058],35,3,5,11,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.623180091381073,0.49409979551496264,[0.75331175 0.41638796 0.31259968],0.4891764400498091,[0.76708633 0.4220339  0.27840909],0.5024259534108414,[0.74002313 0.41089109 0.35636364],,0.6671483516693115,0.5714629246420914,[0.78193348 0.51246719 0.4199881 ],0.5630587060625826,[0.80388505 0.51449275 0.37079832],0.5852771286841211,[0.7611489  0.51045752 0.48422497],35,3,5,11,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6197317838668823,0.4872654039531113,[0.75087617 0.39429735 0.31662269],0.48481052097309957,[0.75840708 0.38938053 0.30664395],0.4900353366742111,[0.74349335 0.39933993 0.32727273],,0.6732498407363892,0.5775003710847598,[0.78199357 0.52392947 0.42657807],0.5726221426547958,[0.79873883 0.5054678  0.41365979],0.5833520239371469,[0.765936   0.54379085 0.44032922],35,3,5,11,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6264367699623108,0.47778158123921305,[0.76253602 0.38809621 0.28271251],0.4804188209837816,[0.7599081  0.38356164 0.29778672],0.4756707897510399,[0.76518219 0.39273927 0.26909091],,0.6743738055229187,0.5647309382145961,[0.79024758 0.50032658 0.40361865],0.565989871686623,[0.7883651  0.5        0.40960452],0.5635326284148775,[0.79213908 0.50065359 0.39780521],35,3,5,11,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6047892570495605,0.4545845434264024,[0.74338086 0.37382445 0.24654832],0.45777250688333343,[0.74795082 0.35597015 0.26939655],0.45323449348983486,[0.7388664  0.39356436 0.22727273],,0.6433846950531006,0.5343557815568024,[0.76303077 0.46961502 0.37042156],0.5336237164474832,[0.77007955 0.45753255 0.37325905],0.5353632262232739,[0.75610985 0.48235294 0.36762689],35,3,5,11,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.5967432856559753,0.45057954021635943,[0.73300407 0.36682616 0.2519084 ],0.4521419443530538,[0.73642732 0.35493827 0.26506024],0.4497168155219224,[0.72961249 0.37953795 0.24      ],,0.6523763537406921,0.5505915352962526,[0.7642401  0.49871959 0.38881491],0.5471284861281198,[0.77492877 0.48870765 0.37774903],0.5545137670980601,[0.75384228 0.50915033 0.4005487 ],35,3,5,11,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.5649425387382507,0.4082633532760686,[0.71281382 0.30910543 0.20287081],0.4096954269639435,[0.71540926 0.2995356  0.21414141],0.4074237782367016,[0.71023713 0.31930693 0.19272727],,0.6088631749153137,0.4941939570480245,[0.73668304 0.40324149 0.34265734],0.49530184903453994,[0.73640483 0.4        0.34950071],0.49319140550596097,[0.73696145 0.40653595 0.33607682],35,3,5,11,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6040229797363281,0.437350780604374,[0.74458509 0.33564014 0.23182711],0.44322411635664644,[0.72480832 0.35272727 0.25213675],0.43338294616043443,[0.76547137 0.32013201 0.21454545],,0.6215478777885437,0.5014853594734645,[0.74808026 0.4086095  0.34776632],0.5040777208241507,[0.73568819 0.42806013 0.34848485],0.4995991263446393,[0.76089695 0.39084967 0.34705075],35,3,5,11,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.5754789113998413,0.4203629001950793,[0.72093688 0.29414244 0.24600939],0.4223871589338539,[0.71218962 0.30060293 0.25436893],0.41867909694381816,[0.72990168 0.2879538  0.23818182],,0.6184971332550049,0.5129830360693951,[0.73696203 0.439399   0.36258808],0.5099383427109901,[0.74052404 0.44914676 0.34014423],0.5172341638987557,[0.73343411 0.43006536 0.38820302],35,3,5,11,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6457854509353638,0.5204427752799883,[0.76981574 0.44444444 0.34706815],0.5157584674388036,[0.77869822 0.46099291 0.30758427],0.5294527752370378,[0.7611336  0.4290429  0.39818182],,0.6787090301513672,0.5753308759355779,[0.79373104 0.50906603 0.42319556],0.5716587243839167,[0.79634796 0.53409907 0.38452915],0.5826377739024279,[0.79113127 0.48627451 0.47050754],35,3,5,11,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,300,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
