,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,transformer_encoder_layers,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6570881009101868,0.44777733006722076,[0.78889623 0.3495702  0.20486556],0.495950244984994,[0.7265644  0.41496599 0.34632035],0.4367870968704737,[0.86292655 0.3019802  0.14545455],,0.6551059484481812,0.44634530088371815,[0.79087538 0.36941176 0.17874876],0.4997662721749578,[0.7137931  0.46176471 0.32374101],0.4393070808570341,[0.88662132 0.30784314 0.12345679],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6582375764846802,0.45115308067721815,[0.79210767 0.3123976  0.24895397],0.4925552690371288,[0.72252682 0.46203554 0.29310345],0.44295181744895135,[0.87651822 0.2359736  0.21636364],,0.6624919772148132,0.4799705957175106,[0.79078094 0.3622251  0.28690575],0.5364954457788763,[0.7112095  0.53231939 0.36595745],0.46695001731831276,[0.8904006  0.2745098  0.23593964],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6609195470809937,0.3574426626846639,[0.79535278 0.17078052 0.10619469],0.47037133303360684,[0.68387097 0.44599303 0.28125   ],0.373775124186797,[0.95026027 0.10561056 0.06545455],,0.6457931995391846,0.3634230616175807,[0.78285066 0.17918455 0.12823397],0.5062049470991745,[0.66236484 0.5        0.35625   ],0.38141857566071696,[0.9569161  0.10915033 0.0781893 ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6620689630508423,0.4673032399676522,[0.79547901 0.36873563 0.23769508],0.5033551032824372,[0.74383493 0.41640706 0.34982332],0.45522915565125044,[0.85482938 0.33085809 0.18      ],,0.6626525521278381,0.48403032478312946,[0.79400576 0.40672897 0.25135624],0.5252137132550203,[0.7318317  0.47510917 0.36870027],0.4713175256385133,[0.86772487 0.35555556 0.19067215],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.661494255065918,0.36105506264814174,[0.79415318 0.17103448 0.11797753],0.48740595669649456,[0.68195021 0.5210084  0.25925926],0.37640777264539643,[0.95054945 0.10231023 0.07636364],,0.6490045189857483,0.37629490309704977,[0.78464245 0.19546436 0.1487779 ],0.5193630099459041,[0.66578855 0.5621118  0.33018868],0.3898250109371595,[0.95515243 0.11830065 0.09602195],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.661494255065918,0.31044823046948056,[0.79394011 0.13740458 0.        ],0.36810800926383647,[0.67200962 0.43231441 0.        ],0.35053599344896896,[0.96992481 0.08168317 0.        ],,0.6430636048316956,0.3008409848501998,[0.77941029 0.12311266 0.        ],0.39934697371327593,[0.64595759 0.55208333 0.        ],0.350548120482761,[0.98236332 0.06928105 0.        ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6312260627746582,0.3897424840896753,[0.77265133 0.25222222 0.1443539 ],0.42735070734509595,[0.69535045 0.38605442 0.20064725],0.3897698694103071,[0.86928861 0.18729373 0.11272727],,0.6099871397018433,0.3977095378591757,[0.75261477 0.2391602  0.20135364],0.44247455179099177,[0.66836136 0.39636914 0.26269316],0.3985510802400521,[0.8611741  0.17124183 0.16323731],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6611111164093018,0.31811904266311547,[0.79354149 0.14305365 0.01776199],0.49582641106947617,[0.67311178 0.42975207 0.38461538],0.3537846959941801,[0.9664546  0.08580858 0.00909091],,0.6451509594917297,0.3272358268642642,[0.77863369 0.18428184 0.01879195],0.5428435609353873,[0.65134814 0.53968254 0.4375    ],0.3628211229622164,[0.96775006 0.11111111 0.00960219],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6545976996421814,0.32374318007864467,[0.78910095 0.16103896 0.02108963],0.45612379865792674,[0.67453314 0.37804878 0.31578947],0.3545895908272146,[0.95054945 0.10231023 0.01090909],,0.641939640045166,0.33284848859379107,[0.77640576 0.1933439  0.02879581],0.4903016937322255,[0.65248714 0.50413223 0.31428571],0.36437494064841297,[0.95842782 0.11960784 0.01508916],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6582375764846802,0.46955504228771644,[0.7922043  0.35731767 0.25914316],0.4946595032858671,[0.74008036 0.43922984 0.3046683 ],0.45961212720462336,[0.85222672 0.30115512 0.22545455],,0.6608863472938538,0.49197279321815973,[0.79219129 0.39659838 0.28712871],0.5256754276413121,[0.73144198 0.48533586 0.36024845],0.47930760781678927,[0.86394558 0.33529412 0.23868313],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
