,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6427202820777893,0.51517032520764,[0.77441176 0.43147657 0.33962264],0.5117407287635997,[0.78785159 0.4647619  0.2826087 ],0.5298391990731751,[0.76142279 0.40264026 0.42545455],,0.6608863472938538,0.5463066762974259,[0.78637616 0.46718973 0.38535414],0.5461297694166782,[0.78167787 0.51412873 0.34258271],0.5531883535307127,[0.79113127 0.42810458 0.44032922],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6490421295166016,0.52327111774697,[0.77533685 0.44658494 0.34789157],0.5193737921348838,[0.78545994 0.47574627 0.29691517],0.5354211499808165,[0.76547137 0.42079208 0.42      ],,0.6649004220962524,0.5471950192697118,[0.78938847 0.47550947 0.37668712],0.5487120899323615,[0.78054187 0.52486188 0.34073252],0.5514010816946806,[0.79843789 0.43464052 0.42112483],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6394636034965515,0.5136808363495021,[0.76444444 0.44901186 0.32758621],0.5087165027540034,[0.7837181  0.43095599 0.31147541],0.5200658064649727,[0.74609601 0.46864686 0.34545455],,0.6610468626022339,0.5428171290998419,[0.78498986 0.49132948 0.35213205],0.5420184806863543,[0.78999745 0.48295455 0.35310345],0.5437371107565111,[0.78004535 0.5        0.35116598],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.619157075881958,0.48484577876233786,[0.75855962 0.38866064 0.30731707],0.47985818088517657,[0.77456299 0.38707038 0.27794118],0.49236818476526656,[0.74320416 0.39026403 0.34363636],,0.6726076006889343,0.5652726101363418,[0.79398266 0.50183517 0.4       ],0.5602611643061269,[0.8036129  0.51261077 0.36455982],0.573052156390677,[0.7845805  0.49150327 0.4430727 ],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6346743106842041,0.49325853543424647,[0.7648178  0.42519084 0.28976697],0.4990166448042592,[0.77422222 0.39559659 0.32723112],0.49173668494669015,[0.7556391  0.45957096 0.26      ],,0.6629736423492432,0.5584607980335724,[0.78098428 0.4989339  0.39546421],0.558464536095516,[0.79910361 0.46719909 0.40909091],0.5605595324549573,[0.76366843 0.53529412 0.38271605],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6080459952354431,0.48601161474347426,[0.74371708 0.39206712 0.32225064],0.481082367140681,[0.77533731 0.36453901 0.30337079],0.494101223887571,[0.7145749  0.42409241 0.34363636],,0.6697174310684204,0.5712705954114591,[0.78681319 0.50733886 0.41965974],0.5639223055881225,[0.80801912 0.49563591 0.38811189],0.5810299428413341,[0.76669186 0.51960784 0.45679012],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.626819908618927,0.5129127152203653,[0.75494308 0.42542153 0.35837354],0.5061766108744619,[0.78309509 0.44686649 0.28856826],0.535804268685978,[0.72874494 0.40594059 0.47272727],,0.6745343804359436,0.5810289673991755,[0.78798768 0.50865052 0.4464487 ],0.5741409370582216,[0.80303427 0.54044118 0.37894737],0.5990322054747825,[0.77349458 0.48039216 0.54320988],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6298850774765015,0.5147325246082448,[0.75664377 0.43101971 0.35653409],0.5076487177794368,[0.78209877 0.4483066  0.29254079],0.5347245534270025,[0.73279352 0.4150165  0.45636364],,0.6663455367088318,0.5684576171033259,[0.78608247 0.49724138 0.422049  ],0.5620053110851754,[0.80453706 0.52627737 0.3552015 ],0.5865292070188843,[0.76845553 0.47124183 0.51989026],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6270114779472351,0.5198421345801864,[0.75095434 0.44994111 0.35863095],0.5094251189791507,[0.79553543 0.42921348 0.30352645],0.5406862600661454,[0.71110468 0.47277228 0.43818182],,0.6637765169143677,0.5733726156073694,[0.77878193 0.50937298 0.43196294],0.5628498140800321,[0.81096563 0.50383632 0.37374749],0.5919158884404241,[0.74905518 0.51503268 0.51165981],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6216475367546082,0.5059967785916676,[0.75549533 0.4111256  0.35136941],0.5000216866315442,[0.78800251 0.43434343 0.27771911],0.5313365847862982,[0.72556391 0.39026403 0.47818182],,0.660565197467804,0.5631354024622883,[0.78065097 0.48580442 0.42295082],0.5576298848589311,[0.79758149 0.52380952 0.35149864],0.5827432207450882,[0.76442429 0.45294118 0.5308642 ],35,3,5,11,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
