,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6373563408851624,0.5161287693366176,[0.76546506 0.44117647 0.34174477],0.5108856903134363,[0.78586659 0.46363636 0.28315412],0.5325990597903052,[0.74609601 0.42079208 0.43090909],,0.668432891368866,0.56314669787174,[0.78948705 0.4945016  0.40545145],0.5608035652677926,[0.79575122 0.54072925 0.34593023],0.5761960751378741,[0.78332074 0.45555556 0.48971193],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.636781632900238,0.5138192707980868,[0.76762325 0.41866913 0.35516543],0.5132908619814344,[0.78154031 0.47584034 0.28249194],0.5353791232217496,[0.75419318 0.37376238 0.47818182],,0.660404622554779,0.5503025854249183,[0.78736789 0.46077685 0.40276302],0.5556978351070171,[0.78637849 0.5520073  0.32870772],0.567891628530699,[0.78835979 0.39542484 0.51989026],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6373563408851624,0.5152703271503107,[0.76671093 0.42934293 0.34975711],0.5126238012974743,[0.78276589 0.47227723 0.28282828],0.5343491682887201,[0.75130133 0.39356436 0.45818182],,0.6612074375152588,0.5530620262095697,[0.7867071  0.4664723  0.40600667],0.5525745306633046,[0.78910013 0.52718287 0.3414406 ],0.5677716902947736,[0.78432855 0.41830065 0.50068587],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.5971264243125916,0.4326311607717838,[0.74431899 0.33028286 0.22329163],0.4353578596435817,[0.73580107 0.33305369 0.23721881],0.43050109464387737,[0.75303644 0.32755776 0.21090909],,0.6358381509780884,0.5017747688706024,[0.76501112 0.44474668 0.2955665 ],0.5058382419045909,[0.75054545 0.46350106 0.30346821],0.498520725162493,[0.78004535 0.42745098 0.28806584],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.5977011322975159,0.4516028547988178,[0.73732446 0.38196286 0.23552124],0.452791720311229,[0.75415785 0.35318851 0.25102881],0.45296196941845723,[0.72122614 0.41584158 0.22181818],,0.6400128602981567,0.5225801202075239,[0.76982195 0.46163522 0.33628319],0.5205307145223769,[0.78295987 0.44484848 0.33378378],0.5252255085847782,[0.75711766 0.47973856 0.3388203 ],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6203064918518066,0.46530326443596465,[0.75951904 0.37098791 0.26540284],0.4680355140861701,[0.75198413 0.37489469 0.27722772],0.462971216149955,[0.76720648 0.36716172 0.25454545],,0.6454720497131348,0.5062366353773461,[0.77564024 0.44482405 0.29824561],0.5134189788788619,[0.75500954 0.46599857 0.31924883],0.5009185567231008,[0.79743008 0.4254902  0.27983539],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.629118800163269,0.5014891418496784,[0.76045963 0.42247387 0.32153392],0.49765450442155595,[0.77507508 0.44741697 0.27047146],0.5143046155396337,[0.74638519 0.40016502 0.39636364],,0.6730892658233643,0.5687657264484889,[0.79228035 0.50245614 0.41156069],0.5655450910889867,[0.79856668 0.54242424 0.35564436],0.5808020876388964,[0.78609221 0.46797386 0.48834019],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6170498132705688,0.5042523484519882,[0.74822534 0.41523973 0.34929198],0.49740369939370793,[0.78311729 0.43149466 0.27759914],0.529128037731477,[0.71631001 0.40016502 0.47090909],,0.6600834727287292,0.5646855639345884,[0.78074728 0.49507042 0.41823899],0.5599414148054537,[0.80476063 0.53664122 0.33842239],0.5883092331582839,[0.75812547 0.45947712 0.5473251 ],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.640421450138092,0.5236162824310459,[0.76763735 0.45644891 0.34676259],0.5161350183019525,[0.79806492 0.46343537 0.28690476],0.5424321836463577,[0.73944477 0.44966997 0.43818182],,0.6624919772148132,0.5597176577754334,[0.7833312  0.48982408 0.40599769],0.5546312180031477,[0.79501816 0.51862673 0.35024876],0.5729627927988754,[0.77198287 0.46405229 0.48285322],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6358237266540527,0.5133530652954964,[0.76159431 0.44715789 0.33130699],0.5073635901542217,[0.78091765 0.45657782 0.2845953 ],0.5258955375005402,[0.74320416 0.43811881 0.39636364],,0.6640976071357727,0.5547563754986795,[0.78768605 0.49160096 0.38498212],0.5509264059315151,[0.7954779  0.51694304 0.34035827],0.5639151682620922,[0.78004535 0.46862745 0.4430727 ],20,3,5,6,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
