,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.597892701625824,0.4914735171914218,[0.72771822 0.40527183 0.3414305 ],0.4831673302085686,[0.7734375  0.40460526 0.27145923],0.5176809884574345,[0.68710237 0.40594059 0.46      ],,0.676300585269928,0.5938404610535911,[0.78468647 0.53966147 0.45717345],0.5824284184081748,[0.82418192 0.54821308 0.37489025],0.6219698853478292,[0.74880322 0.53137255 0.58573388],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6180076599121094,0.5040330564558543,[0.74870545 0.43755102 0.3258427 ],0.4964216321262269,[0.79086229 0.43295638 0.26544622],0.5249593021766029,[0.7108155  0.44224422 0.42181818],,0.6718047261238098,0.5851753614309261,[0.78326797 0.5217979  0.45046021],0.575413405221414,[0.81390926 0.54023793 0.37209302],0.6100233234583271,[0.75485009 0.50457516 0.57064472],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6226053833961487,0.5039813444138347,[0.74674255 0.44022169 0.32497979],0.4967253342456779,[0.77446412 0.42313546 0.29257642],0.5150457926070224,[0.72093696 0.45874587 0.36545455],,0.6772639751434326,0.5773802341172142,[0.79191195 0.51795213 0.42227662],0.5709868244977714,[0.8046814  0.5270636  0.38121547],0.5873142672706942,[0.77954145 0.50915033 0.47325103],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.5888888835906982,0.4530343536908261,[0.73224044 0.34405145 0.28281118],0.4494489604697944,[0.74826441 0.3354232  0.26465927],0.4578866839836095,[0.71688837 0.35313531 0.30363636],,0.6921965479850769,0.6029202555046216,[0.79880968 0.54603992 0.46391117],0.5935354559882833,[0.82101064 0.53807107 0.42152466],0.6159337260281342,[0.77777778 0.55424837 0.51577503],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6009578704833984,0.4613301823421762,[0.74257426 0.3440501  0.29736619],0.458391520687459,[0.74780059 0.34826712 0.27910686],0.4651787619479126,[0.73742047 0.33993399 0.31818182],,0.6849710941314697,0.5904599006518063,[0.79588953 0.53275109 0.44273908],0.5828254359137461,[0.81184486 0.54803041 0.38860104],0.6044177341718581,[0.78054926 0.51830065 0.51440329],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6065133810043335,0.4849744071041076,[0.73512534 0.41354205 0.30625584],0.4846970790321661,[0.76927939 0.37003257 0.31477927],0.49023458505480383,[0.70387507 0.46864686 0.29818182],,0.689306378364563,0.5979888258046838,[0.79682416 0.54634445 0.45079787],0.5917038837785099,[0.82417878 0.51351351 0.43741935],0.606635905390963,[0.77122701 0.58366013 0.46502058],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.5932950377464294,0.4910671277680016,[0.72135741 0.41509434 0.33674963],0.4818417297615604,[0.78118678 0.38247566 0.28186275],0.5140058945165772,[0.67004049 0.45379538 0.41818182],,0.6844894289970398,0.6030704223459007,[0.79317189 0.54043646 0.47560292],0.5894855516528916,[0.83528428 0.53089533 0.40227704],0.6290158312982257,[0.75510204 0.5503268  0.58161866],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.617241382598877,0.4994346660974162,[0.74805273 0.40796424 0.34228703],0.4913393564234189,[0.77594779 0.40192154 0.29614874],0.5139132201247887,[0.7220937  0.41419142 0.40545455],,0.6894669532775879,0.6007943185820888,[0.79911986 0.53503185 0.46823125],0.5908809766685894,[0.82166622 0.54920853 0.40176817],0.6201296430780817,[0.77777778 0.52156863 0.56104252],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6113026738166809,0.5001834125779453,[0.7400733  0.43143545 0.32904149],0.49167519872926563,[0.78414239 0.41965679 0.27122642],0.5209234168066893,[0.70069404 0.44389439 0.41818182],,0.6867372989654541,0.5999225117277683,[0.79616244 0.55489418 0.44871092],0.5891933043686309,[0.83214286 0.56157965 0.3738574 ],0.6241910207155565,[0.76316453 0.54836601 0.56104252],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6147509813308716,0.5087159807102742,[0.74111365 0.42769357 0.35734072],0.49921118521435276,[0.78430739 0.42473556 0.2885906 ],0.5340710427318035,[0.70242915 0.43069307 0.46909091],,0.6772639751434326,0.5926215602732138,[0.78508829 0.53439681 0.45837958],0.5816297291272295,[0.8163765  0.54361055 0.38490214],0.6160431799605988,[0.75610985 0.5254902  0.56652949],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6137930750846863,0.5052951508323783,[0.74181147 0.44214712 0.33192686],0.4964893420956535,[0.79211823 0.4267076  0.2706422 ],0.5284499323269517,[0.69751301 0.45874587 0.42909091],,0.6689145565032959,0.5803437802662399,[0.78495331 0.51814516 0.43793287],0.570780898319374,[0.82113374 0.53319502 0.35801394],0.6065114111488217,[0.75182666 0.50392157 0.56378601],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.636781632900238,0.5182650153439711,[0.75976824 0.45089101 0.3441358 ],0.5110413120779341,[0.78124045 0.45295587 0.29892761],0.5312480652345165,[0.73944477 0.44884488 0.40545455],,0.6819203495979309,0.5808730410757225,[0.79755694 0.51537936 0.42968282],0.5756247247143599,[0.80565553 0.54011461 0.38110403],0.5916284758073326,[0.78961955 0.49281046 0.49245542],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.5906130075454712,0.45027950242440395,[0.735363   0.33292232 0.28255319],0.44727074186327304,[0.74451689 0.33169533 0.2656    ],0.4541360203111115,[0.72643146 0.33415842 0.30181818],,0.6934810280799866,0.5993138077499481,[0.80194473 0.53998678 0.45600991],0.5922009927738453,[0.81466077 0.54612299 0.41581921],0.6094691923408595,[0.78961955 0.53398693 0.5048011 ],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6032567024230957,0.4591395768333941,[0.74421313 0.35886932 0.27433628],0.4576563518189809,[0.74934037 0.35638731 0.26724138],0.4607866338976292,[0.73915558 0.36138614 0.28181818],,0.6848105192184448,0.5889635928318603,[0.79507566 0.53350941 0.43830571],0.5817678494890116,[0.80961086 0.53902602 0.39666667],0.5996232237751068,[0.78105316 0.52810458 0.48971193],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6011494398117065,0.4822970829189854,[0.73199635 0.41094863 0.30394626],0.4767101192735575,[0.77112676 0.3766323  0.28237129],0.4926271944719052,[0.69664546 0.45214521 0.32909091],,0.6848105192184448,0.5959827632678165,[0.79482488 0.53863275 0.45449066],0.5851733769420114,[0.82568558 0.5244582  0.40537634],0.612309834770671,[0.76618796 0.55359477 0.51714678],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.5955938696861267,0.4920289154978102,[0.72418583 0.40732087 0.34458004],0.4823182586248535,[0.77656405 0.38569322 0.28469751],0.515436208166797,[0.67842684 0.43151815 0.43636364],,0.7002248167991638,0.6161611931662839,[0.80469361 0.56115108 0.48263889],0.6042548123240196,[0.83382869 0.56151832 0.41741742],0.636775533258571,[0.77752583 0.56078431 0.57201646],80,3,5,26,15,3,gaussian_random_projection,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,5
