,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6277777552604675,0.49220789366428486,[0.75720877 0.39842726 0.32098765],0.4905543462565425,[0.75503163 0.42339833 0.29323308],0.49672719151614403,[0.7593985  0.37623762 0.35454545],,0.6647399067878723,0.5504761269707249,[0.78407235 0.49577845 0.37157757],0.549592972232413,[0.78181363 0.51292802 0.35403727],0.5523430771485548,[0.78634417 0.47973856 0.3909465 ],11,3,5,3,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6218391060829163,0.506363400002458,[0.7446458  0.43302181 0.34142259],0.49953269973424536,[0.77228953 0.4100295  0.31627907],0.5161892105925456,[0.71891267 0.45874587 0.37090909],,0.65815669298172,0.558653476615747,[0.77404161 0.51494814 0.38697068],0.5521469732038039,[0.80511704 0.48283753 0.36848635],0.5681057608228477,[0.74527589 0.55163399 0.40740741],11,3,5,3,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6189655065536499,0.5015576845127553,[0.74060661 0.43897139 0.32509506],0.502078122411402,[0.77437678 0.39122014 0.34063745],0.5068559510664774,[0.70965876 0.5        0.31090909],,0.6579961180686951,0.5489231650114209,[0.77374157 0.51551877 0.35750916],0.5505918276956016,[0.79753945 0.47058824 0.3836478 ],0.5519874890971478,[0.75132275 0.56993464 0.33470508],11,3,5,3,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6440613269805908,0.5190328616186547,[0.77437408 0.42808219 0.35464231],0.5129430952944238,[0.78901561 0.44483986 0.30497382],0.53214788916717,[0.76026605 0.41254125 0.42363636],,0.6650609970092773,0.5554854756420241,[0.78624204 0.49737188 0.38284251],0.5513664883629309,[0.79515589 0.5        0.35894358],0.560815986202437,[0.77752583 0.49477124 0.41015089],11,3,5,3,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6363984942436218,0.512537160000963,[0.76302968 0.43247654 0.34210526],0.5065212726229675,[0.77948718 0.42776433 0.31231231],0.5209094316025009,[0.74725275 0.43729373 0.37818182],,0.6716442108154297,0.564141252708115,[0.78948705 0.508      0.39493671],0.5602486865892092,[0.79575122 0.51836735 0.3666275 ],0.5697811634942043,[0.78332074 0.49803922 0.42798354],11,3,5,3,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6260536313056946,0.5018099124136077,[0.75055253 0.42580645 0.32907076],0.49709658025403813,[0.76509462 0.41640379 0.30979133],0.5077018586763246,[0.73655292 0.43564356 0.35090909],,0.6700385212898254,0.5587130189708174,[0.78932051 0.50280806 0.38401048],0.5562701213713763,[0.79283172 0.50835003 0.36762861],0.5617154406344157,[0.78584026 0.49738562 0.40192044],11,3,5,3,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6452107429504395,0.5319701747192068,[0.76902215 0.47200332 0.35488506],0.52355982328288,[0.80276817 0.47456214 0.29334917],0.5521872331825431,[0.73799884 0.46947195 0.44909091],,0.6551059484481812,0.5540274026033335,[0.77601955 0.48582996 0.40023269],0.5474721432167678,[0.79284963 0.50209205 0.34747475],0.567452220943247,[0.75988914 0.47058824 0.47187929],11,3,5,3,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6419540047645569,0.5267488519112747,[0.76312613 0.47268501 0.34443542],0.5182264718578378,[0.7977918  0.44558072 0.3113069 ],0.5400341584187337,[0.7313476  0.50330033 0.38545455],,0.6586384177207947,0.5529162543135762,[0.77782066 0.50144092 0.37948718],0.547470858842121,[0.7946898  0.49152542 0.35619735],0.5598177268163781,[0.76165281 0.51176471 0.40603567],11,3,5,3,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6164751052856445,0.4855968831788562,[0.76048435 0.36253495 0.33377135],0.4849372445431252,[0.77700664 0.41648822 0.26131687],0.5091417880943676,[0.74465009 0.3209571  0.46181818],,0.6533397436141968,0.5466789342138116,[0.77653061 0.47857388 0.38493231],0.5422393093761468,[0.78636011 0.50324441 0.3371134 ],0.5572375452238508,[0.76694381 0.45620915 0.44855967],11,3,5,3,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6074712872505188,0.49011309229790384,[0.73907246 0.37072743 0.36053939],0.48294804606228814,[0.75782437 0.3953271  0.29569267],0.5106847416956849,[0.72122614 0.3490099  0.46181818],,0.6535003185272217,0.5567018520106666,[0.77107502 0.48780488 0.41122566],0.5495728236997018,[0.78939034 0.50632911 0.35299902],0.5722113262314528,[0.75359033 0.47058824 0.49245542],11,3,5,3,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
