,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6455938816070557,0.4842405742293316,[0.77912755 0.35480859 0.31878558],0.4957710637379366,[0.74537771 0.40860215 0.33333333],0.4783548522579268,[0.81607866 0.31353135 0.30545455],,0.6727681159973145,0.5394333705122657,[0.79631649 0.46811543 0.35386819],0.5506140236878074,[0.76704015 0.51448708 0.37031484],0.5320494727383408,[0.82791635 0.42941176 0.3388203 ],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.5,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6390804648399353,0.4996366990269501,[0.76627808 0.39300938 0.33962264],0.5043673654729934,[0.75363535 0.40652557 0.35294118],0.4956626634323351,[0.77935223 0.38036304 0.32727273],,0.6745343804359436,0.5519902362033221,[0.79450687 0.50375204 0.3577118 ],0.5563982687211416,[0.78742885 0.5029316  0.37883436],0.5483695810285706,[0.80171328 0.50457516 0.3388203 ],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.5,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6434866189956665,0.4843087783784301,[0.77418463 0.36940837 0.30933333],0.4956376116319214,[0.74139756 0.44290657 0.3026087 ],0.4810670344073158,[0.81000578 0.31683168 0.31636364],,0.673892080783844,0.5472729464976415,[0.79358572 0.46262551 0.3856076 ],0.5597716094360295,[0.76092486 0.53666954 0.38172043],0.5417622741826497,[0.82917611 0.40653595 0.38957476],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.5,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.642145574092865,0.48150789078864586,[0.77900321 0.36498379 0.30053667],0.4882872571707744,[0.75303644 0.41605069 0.29577465],0.47912060263284856,[0.80682475 0.32508251 0.30545455],,0.6636159420013428,0.5351902722714502,[0.79275309 0.44309234 0.36972539],0.5406413717761388,[0.77095238 0.48971519 0.36125654],0.532999537263465,[0.81582263 0.40457516 0.37860082],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.5,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6388888955116272,0.47718910554040334,[0.76719351 0.42063805 0.24373576],0.49477039700249636,[0.75568022 0.40241145 0.32621951],0.47140085205744403,[0.77906304 0.44059406 0.19454545],,0.6464354395866394,0.4994066832136821,[0.77512547 0.44951768 0.27357689],0.5185298623668877,[0.75380952 0.44240506 0.359375  ],0.4917984203283508,[0.79768204 0.45686275 0.22085048],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.5,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6459770202636719,0.45706709951054725,[0.78344121 0.34207871 0.24568138],0.47812629519823346,[0.73395654 0.44025974 0.2601626 ],0.4508370715614072,[0.84008097 0.27970297 0.23272727],,0.6544637084007263,0.49709233531163816,[0.78972563 0.37397709 0.32757429],0.5219802775494901,[0.73585727 0.5        0.33008357],0.49196649853356983,[0.8521038  0.29869281 0.32510288],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.5,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6346743106842041,0.48435513880533554,[0.76868929 0.36437613 0.32      ],0.48833822389216913,[0.74897119 0.403      0.31304348],0.483084887436112,[0.78947368 0.33250825 0.32727273],,0.6716442108154297,0.5547891424548962,[0.79282622 0.472879   0.39866221],0.5576343824045502,[0.77866861 0.50520059 0.38903394],0.5535772608083014,[0.80750819 0.44444444 0.40877915],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.5,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6467432975769043,0.49337619245162706,[0.77757533 0.38918919 0.31336406],0.5002492671762876,[0.75441936 0.42857143 0.31775701],0.4892414516176893,[0.8021978  0.35643564 0.30909091],,0.6727681159973145,0.5480610214381029,[0.79360039 0.47178409 0.37879859],0.5564835394259461,[0.7700877  0.50869237 0.39067055],0.5420300904998487,[0.8185941  0.43986928 0.36762689],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.5,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6457854509353638,0.482868047971965,[0.77838727 0.34906139 0.32115548],0.4982941435063781,[0.74021909 0.45322793 0.30143541],0.4827234522179807,[0.82070561 0.28382838 0.34363636],,0.6713230609893799,0.5509515821462836,[0.79206716 0.45673439 0.4040532 ],0.559765679321374,[0.76588235 0.53812057 0.37529412],0.5514745267105471,[0.82010582 0.39673203 0.43758573],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.5,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6203064918518066,0.4848316596977093,[0.75166041 0.37951301 0.32332155],0.48377815909475025,[0.7505767  0.38632479 0.31443299],0.4861372730679661,[0.75274725 0.37293729 0.33272727],,0.6724470257759094,0.5606994954673944,[0.7903389  0.50698733 0.38477226],0.559650621182912,[0.79334857 0.50420168 0.38140162],0.5617863057431477,[0.78735198 0.50980392 0.38820302],20,3,5,6,15,3,umap,16,,['timeline_index'],[None],True,1,384,True,"(12,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
