,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6086207032203674,0.47877723687821416,[0.73901658 0.37222679 0.32508834],0.47680489534649384,[0.74355972 0.37070376 0.3161512 ],0.4809454866828499,[0.73452863 0.37376238 0.33454545],,0.6634553670883179,0.5580965262459816,[0.77963035 0.51230629 0.38235294],0.556562616484853,[0.80042463 0.47870528 0.39055794],0.5617850432354011,[0.75988914 0.55098039 0.3744856 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6180076599121094,0.5019711825910459,[0.74152924 0.43674456 0.32763975],0.49420159760705024,[0.76992528 0.42677165 0.28590786],0.5153281169643859,[0.71515327 0.44719472 0.38363636],,0.6562299132347107,0.5584881034572134,[0.77287518 0.50671785 0.39587128],0.5502560246512925,[0.79940765 0.4962406  0.35511983],0.5709607848626419,[0.74804737 0.51764706 0.44718793],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6331417560577393,0.5059560918051748,[0.75734971 0.42446043 0.33605813],0.5045280338882902,[0.76620302 0.41162791 0.33575318],0.507727039332042,[0.74869867 0.43811881 0.33636364],,0.6600834727287292,0.5447174937733775,[0.78113112 0.49143944 0.36158192],0.5453891501177622,[0.78631606 0.47721675 0.37263464],0.5445720126184904,[0.77601411 0.50653595 0.35116598],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6354405879974365,0.5109800325500957,[0.76204596 0.4434463  0.32744783],0.5046455504885059,[0.78186796 0.43896524 0.29310345],0.5207110190486949,[0.74320416 0.4480198  0.37090909],,0.6692357063293457,0.5688444223301373,[0.78685567 0.50913838 0.41053922],0.5615961964018639,[0.80532841 0.50847458 0.3709856 ],0.5795163058364635,[0.76921139 0.50980392 0.45953361],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6408045887947083,0.5061840945419408,[0.76708303 0.44479005 0.30667921],0.5060432784007768,[0.77980281 0.42058824 0.31773879],0.5076941251094456,[0.75477154 0.47194719 0.29636364],,0.6695568561553955,0.5615474212650525,[0.78872161 0.50031626 0.3956044 ],0.559914792145078,[0.79891445 0.48468137 0.39614856],0.5636135935855824,[0.77878559 0.51699346 0.39506173],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6409961581230164,0.505101398445441,[0.76974063 0.4152431  0.33032046],0.5036714122260294,[0.76708788 0.44257703 0.30134933],0.509651817697675,[0.7724118  0.39108911 0.36545455],,0.6653821468353271,0.5525060374967176,[0.78787879 0.4792999  0.39033943],0.5509501915272178,[0.78639558 0.49410132 0.37235367],0.5549593225493216,[0.7893676  0.46535948 0.41015089],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6245210766792297,0.5167350213019123,[0.74819036 0.46107102 0.34094368],0.5068957252016584,[0.80032949 0.42716397 0.29319372],0.5368423198595164,[0.70242915 0.50082508 0.40727273],,0.6618497371673584,0.5690087302481985,[0.77834445 0.50544523 0.42323651],0.5591299239142832,[0.8091354  0.49560302 0.37265136],0.5850697480638346,[0.74981104 0.51568627 0.48971193],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6068965792655945,0.505096645264534,[0.72578576 0.47742364 0.31208054],0.5012596338087345,[0.81461483 0.39944444 0.28971963],0.5286135548199123,[0.65442452 0.59323432 0.33818182],,0.6417790651321411,0.5605761556348033,[0.7507109  0.51293847 0.4180791 ],0.5515992068835255,[0.81147541 0.45790554 0.38541667],0.5794031192724003,[0.6984127  0.58300654 0.45679012],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6157088279724121,0.4860128193377653,[0.75849785 0.377542   0.32199861],0.4820830787629608,[0.77920098 0.40666667 0.26038159],0.504331603200806,[0.7388664  0.35231023 0.42181818],,0.654945433139801,0.5477039458342732,[0.77691028 0.49210084 0.37410072],0.5427949695570375,[0.78954214 0.50657439 0.33226837],0.557030384170129,[0.76467624 0.47843137 0.42798354],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6306513547897339,0.5039808324795422,[0.75681219 0.42343096 0.33169935],0.4992175100147625,[0.76692399 0.4295416  0.30118694],0.5111820736729543,[0.74696356 0.41749175 0.36909091],,0.6665061116218567,0.5624445549689657,[0.78433367 0.49498998 0.40801001],0.5576919077926337,[0.79178434 0.50614754 0.37514384],0.5695078580128897,[0.77702192 0.48431373 0.44718793],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
