,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6147509813308716,0.5045720906369167,[0.74567527 0.4069299  0.36111111],0.4946921813721097,[0.78448276 0.3976378  0.30195599],0.5254279638490166,[0.71052632 0.41666667 0.44909091],,0.6718047261238098,0.5771507892625688,[0.78639772 0.51229911 0.43275553],0.5684437160759397,[0.80770252 0.51415405 0.38347458],0.5910720392409364,[0.76618796 0.51045752 0.49657064],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6281608939170837,0.5133037524272118,[0.75614538 0.43944354 0.34432234],0.5047747280600351,[0.790104   0.43587662 0.28834356],0.5317758583261449,[0.72498554 0.44306931 0.42727273],,0.6708413362503052,0.5714673225067757,[0.78908763 0.50532623 0.4199881 ],0.5640471224566675,[0.80641767 0.51492537 0.37079832],0.5842633898552563,[0.77248677 0.49607843 0.48422497],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6224138140678406,0.5050975920024465,[0.74801379 0.43446894 0.33281005],0.49726596794885536,[0.77653284 0.42244739 0.29281768],0.5180548639016591,[0.72151533 0.44719472 0.38545455],,0.6701990962028503,0.566735947730285,[0.78784784 0.50414594 0.40821406],0.5612694761021794,[0.79844761 0.51178451 0.37357631],0.5747297547276798,[0.77752583 0.49673203 0.44993141],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.5858237743377686,0.4445409757822869,[0.73402367 0.34236453 0.25723473],0.44086554512000303,[0.75136281 0.34068627 0.23054755],0.45081174687740616,[0.71746674 0.34405941 0.29090909],,0.6674695014953613,0.5690619004880327,[0.78254192 0.50302216 0.42162162],0.5625101806551264,[0.79526535 0.51726519 0.375     ],0.5804143879774132,[0.7702192  0.48954248 0.48148148],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.5886973142623901,0.43377142517290795,[0.7303207  0.35805825 0.21293532],0.4365736365328768,[0.73633157 0.3382245  0.23516484],0.4331052208748926,[0.72440717 0.38036304 0.19454545],,0.6541425585746765,0.559358179740926,[0.76698776 0.51156812 0.39951865],0.5508101408851006,[0.79342849 0.50316056 0.35584137],0.572644091930325,[0.74225246 0.52026144 0.45541838],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.5957854390144348,0.45716549203427226,[0.73608247 0.35763622 0.27777778],0.4592706935642826,[0.75       0.33428981 0.29352227],0.4569322924195254,[0.72267206 0.38448845 0.26363636],,0.6629736423492432,0.5471604090574534,[0.78480691 0.50096962 0.3557047 ],0.5450642650718391,[0.79144248 0.4955243  0.34822602],0.5494430968546541,[0.77828168 0.50653595 0.36351166],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6061302423477173,0.49403521204811046,[0.73955474 0.39938319 0.3431677 ],0.4855117206152377,[0.78225806 0.3748191  0.29945799],0.5101611109636123,[0.70127241 0.42739274 0.40181818],,0.6843288540840149,0.5963344315059361,[0.79391316 0.54309252 0.45199761],0.5849942841366848,[0.82813355 0.52706027 0.39978903],0.614143215585274,[0.76240867 0.56013072 0.51989026],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6090038418769836,0.4936551568996861,[0.73969664 0.42998478 0.31128405],0.48589852490305513,[0.78657543 0.3990113  0.27210884],0.5092997876999962,[0.69809138 0.46617162 0.36363636],,0.6719653010368347,0.5874712290725782,[0.78390224 0.53054764 0.4479638 ],0.5748314399729393,[0.82893258 0.51442603 0.38113571],0.6114781715155198,[0.74351222 0.54771242 0.54320988],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.617241382598877,0.4921195095061133,[0.75029586 0.39532944 0.33073323],0.48576653346774884,[0.76801938 0.39966273 0.28961749],0.503305181877355,[0.73337189 0.39108911 0.38545455],,0.6901091933250427,0.5939521040444532,[0.80445354 0.5246807  0.45272206],0.5873889052082552,[0.81742523 0.55596196 0.38877953],0.6101524285983254,[0.79188713 0.49673203 0.54183813],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6333333253860474,0.5168276819605117,[0.76194743 0.43083512 0.3577005 ],0.5097012543862117,[0.787832   0.44790739 0.29336438],0.5369693261980911,[0.73770966 0.4150165  0.45818182],,0.6600834727287292,0.5568718492800181,[0.7827639  0.47733711 0.41051454],0.553225649988499,[0.79225806 0.52086553 0.34655335],0.5724822713721976,[0.77349458 0.44052288 0.50342936],80,3,5,26,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
