,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6220306754112244,0.5003320123845851,[0.75067507 0.43326733 0.31705364],0.4932633961296476,[0.77992519 0.4166032  0.2832618 ],0.5116199167632205,[0.72353962 0.45132013 0.36      ],,0.673892080783844,0.5751464489676487,[0.78649377 0.52075227 0.4181933 ],0.5687170998260175,[0.80183246 0.51673102 0.38758782],0.5835380517090237,[0.77173091 0.5248366  0.45404664],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6316092014312744,0.5170545078199263,[0.7550716  0.44501279 0.35107914],0.5101741826325931,[0.7797289  0.46031746 0.29047619],0.5354184672371228,[0.73192597 0.43069307 0.44363636],,0.6671483516693115,0.5660969256805607,[0.78403042 0.49047283 0.42378753],0.5625690445011584,[0.78882938 0.53297546 0.36590229],0.5789890716231624,[0.77928949 0.45424837 0.50342936],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6189655065536499,0.4994601520342698,[0.75217261 0.40436717 0.34184068],0.4914753806888729,[0.78047264 0.39651071 0.2974428 ],0.5134041767392471,[0.72585309 0.41254125 0.40181818],,0.6652215719223022,0.5674577959887465,[0.78174807 0.49785124 0.42277408],0.5600523895449584,[0.79795329 0.50367893 0.37852495],0.5790276055552537,[0.76618796 0.49215686 0.478738  ],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.5890804529190063,0.4428796595927984,[0.72932657 0.34410407 0.25520833],0.4416014745201651,[0.73049028 0.3501281  0.24418605],0.44457437530913296,[0.72816657 0.33828383 0.26727273],,0.639531135559082,0.5281553250606238,[0.75687104 0.45234807 0.37524687],0.5291867715395239,[0.74729862 0.4795022  0.36075949],0.5285809797169897,[0.76669186 0.42810458 0.3909465 ],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6080459952354431,0.4488971239186355,[0.75088215 0.32459313 0.2712161 ],0.4512570915498077,[0.73338848 0.359      0.2613828 ],0.4490845238369991,[0.76923077 0.29620462 0.28181818],,0.6329479813575745,0.49529630725908685,[0.76731368 0.36237471 0.35620053],0.5054518607935146,[0.73155129 0.44172932 0.34307497],0.49477074780529495,[0.80675233 0.30718954 0.37037037],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.5982758402824402,0.4355135316574564,[0.74316025 0.28073572 0.28264463],0.438988006911976,[0.71829466 0.33957845 0.25909091],0.43999738551067374,[0.76980914 0.23927393 0.31090909],,0.6355170011520386,0.5022243581211431,[0.76620259 0.37569061 0.36477987],0.5141759773969574,[0.73160669 0.47410359 0.33681765],0.5043830426546476,[0.8042328  0.31111111 0.39780521],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.5819923281669617,0.39934355077794964,[0.72852423 0.26666667 0.20283976],0.40771479401452293,[0.69521808 0.29856851 0.2293578 ],0.3959748201540802,[0.76518219 0.24092409 0.18181818],,0.6051701903343201,0.464794764214111,[0.7348638  0.34753857 0.31198191],0.479666725450923,[0.69603425 0.39681208 0.34615385],0.4571275423749747,[0.77828168 0.30915033 0.28395062],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6128352284431458,0.4038112581327844,[0.75920084 0.20372399 0.24850895],0.42431933918886017,[0.69590361 0.3029316  0.27412281],0.4053009696574053,[0.83516484 0.15346535 0.22727273],,0.6290944218635559,0.447907753240897,[0.77167139 0.27381974 0.29823213],0.4797017459476273,[0.7011944  0.39875    0.33916084],0.4441711389631298,[0.85789872 0.20849673 0.26611797],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6176245212554932,0.4086987224477212,[0.76149425 0.1871345  0.27746741],0.4333381869898801,[0.69437828 0.32128514 0.28435115],0.41529836962875005,[0.84297282 0.1320132  0.27090909],,0.61833655834198,0.45003155909609666,[0.75459705 0.25287356 0.34262407],0.48420474114226986,[0.68663499 0.42635659 0.33962264],0.45430270873781614,[0.83749055 0.17973856 0.34567901],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.626819908618927,0.5067337331713142,[0.75523639 0.43368592 0.33127889],0.4991983572833196,[0.78239306 0.42776886 0.28743316],0.5201932483589596,[0.72990168 0.43976898 0.39090909],,0.6695568561553955,0.5711431136619866,[0.78552106 0.5135045  0.41440378],0.5638446638076772,[0.80363732 0.5241661  0.36373057],0.5843176776883593,[0.76820358 0.50326797 0.48148148],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.640421450138092,0.5200002705660121,[0.76514596 0.43161634 0.36323851],0.5156726395641409,[0.77642155 0.46730769 0.30328867],0.5359701823276602,[0.75419318 0.4009901  0.45272727],,0.6718047261238098,0.5669224726416797,[0.79224728 0.49394155 0.41457859],0.5647405753706232,[0.7966879  0.54310345 0.35443038],0.5800370628361083,[0.78785588 0.45294118 0.49931413],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6289272308349609,0.5111061011403115,[0.75389408 0.42995372 0.3494705 ],0.503945538064183,[0.77398721 0.43862661 0.2992228 ],0.5254783251604512,[0.73481781 0.42161716 0.42      ],,0.6803147196769714,0.5823142578847377,[0.79173009 0.51726519 0.43794749],0.5776820481016731,[0.79719029 0.54831625 0.3875396 ],0.5931053354126287,[0.78634417 0.48954248 0.50342936],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.620881199836731,0.49625173443721726,[0.75148633 0.42259414 0.31467474],0.4904038121064747,[0.77308869 0.4286927  0.26943005],0.5086356333724754,[0.73105842 0.41666667 0.37818182],,0.673892080783844,0.5748638330727418,[0.78825782 0.50906649 0.42726719],0.5687551092703154,[0.79875841 0.52348066 0.38402626],0.5849786828311571,[0.77802973 0.49542484 0.48148148],20,15,3,umap,17,12,"['time_encoding_minute', 'timeline_index']","[None, None]",True,False,384,0,True,signature,10,1,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,4
