,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6736558079719543,0.5776843645807459,[0.78597541 0.52437418 0.42270351],0.5691525815937932,[0.81048663 0.54322111 0.35375   ],0.5982469264909236,[0.76290323 0.50679117 0.52504638],,0.6644654273986816,0.5617168355704064,[0.78510317 0.5038526  0.39619474],0.5542405266265635,[0.81081081 0.51826327 0.3336475 ],0.5796001861017457,[0.76097561 0.49022164 0.48760331],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6670126914978027,0.5515678210903915,[0.78546156 0.49207068 0.37717122],0.5503965519405332,[0.78319436 0.52769679 0.34029851],0.5572327551177904,[0.78774194 0.46095076 0.42300557],,0.6680817604064941,0.5499670639914783,[0.79093015 0.48397104 0.375     ],0.5482079057204444,[0.79064099 0.51353328 0.34044944],0.5554006675800054,[0.79121951 0.45762712 0.41735537],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.66680508852005,0.5580896951092011,[0.78423102 0.49321267 0.3968254 ],0.5545598444336705,[0.78883812 0.52810078 0.34674064],0.5687159562080736,[0.77967742 0.46264856 0.46382189],,0.6599056720733643,0.5493462442951524,[0.78204182 0.47572476 0.39027215],0.5459708111495777,[0.78883375 0.51241535 0.33666334],0.5611635333319726,[0.77536585 0.44393742 0.46418733],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6765621900558472,0.5527157496908077,[0.78811694 0.50088968 0.36914062],0.5614686165628622,[0.7685469  0.52616822 0.38969072],0.5457625735893987,[0.80870968 0.47792869 0.35064935],,0.6600629091262817,0.5373383440900037,[0.77472924 0.49489449 0.3423913 ],0.5400719841316192,[0.76460808 0.51780627 0.33780161],0.5353845899800277,[0.78512195 0.47392438 0.34710744],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6541416049003601,0.5458115872943049,[0.7668325  0.51339464 0.35720762],0.5412100164701387,[0.7890785  0.48526077 0.34929078],0.5520965379514979,[0.74580645 0.54499151 0.36549165],,0.654716968536377,0.5482794993629141,[0.76971371 0.50524368 0.36988111],0.5426858692192043,[0.79321946 0.4795082  0.35532995],0.5557114039413261,[0.74756098 0.53389831 0.38567493],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.673863410949707,0.5354799150407544,[0.79014235 0.46502836 0.35126904],0.5547443992161872,[0.75182057 0.52452026 0.38789238],0.5237341468459586,[0.83258065 0.41765705 0.32096475],,0.6657232642173767,0.5304391282361828,[0.78623907 0.44533528 0.35974304],0.5438627001349196,[0.75329609 0.50495868 0.37333333],0.5225358815711704,[0.82219512 0.39830508 0.34710744],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6751089692115784,0.5793283795925387,[0.78537736 0.53629512 0.41631266],0.569765181856401,[0.8219323  0.50335071 0.38401254],0.593444976076555,[0.75193548 0.57385399 0.45454545],,0.6679245233535767,0.5684457597443141,[0.78131417 0.53733133 0.38669178],0.5590782478148068,[0.82448537 0.49750139 0.35524798],0.5835917736207112,[0.74243902 0.58409387 0.42424242],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6649366617202759,0.5804627571977319,[0.76933726 0.55551197 0.41653905],0.5669423450077948,[0.82978723 0.51641138 0.35462842],0.6075845562796811,[0.71709677 0.60101868 0.50463822],,0.6610062718391418,0.5755352632291721,[0.77226681 0.54062217 0.41371681],0.562548649238687,[0.83833191 0.50365785 0.34565619],0.604815718478389,[0.71585366 0.58344198 0.51515152],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6782229542732239,0.5818781245624373,[0.78590426 0.53574363 0.42398649],0.5729850518512829,[0.81069959 0.51910828 0.38914729],0.593912766835396,[0.76258065 0.55348048 0.46567718],,0.6694968342781067,0.5736268931635544,[0.77774975 0.52693865 0.41619228],0.5648829979201819,[0.8053814  0.50447227 0.38479532],0.5855395372329493,[0.75195122 0.55149935 0.45316804],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6778077483177185,0.5734043755846435,[0.78912901 0.53204565 0.39903846],0.5677682570233137,[0.80119681 0.55090909 0.35119887],0.584605733017084,[0.77741935 0.51443124 0.4619666 ],,0.6671383380889893,0.5605286242783588,[0.7864331  0.49983114 0.39532164],0.5545116962297931,[0.80146873 0.51857043 0.34349593],0.5733049715931448,[0.77195122 0.48239896 0.46556474],80,15,3,umap,17,12,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
