,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6122605204582214,0.4835060057621717,[0.74269613 0.41183527 0.29598662],0.47859366485267346,[0.76225266 0.39953452 0.27399381],0.4902845536144129,[0.72411799 0.42491749 0.32181818],,0.6772639751434326,0.5787330104362579,[0.78929766 0.52876535 0.41813602],0.5719404394842024,[0.80630749 0.5230179  0.38649593],0.5876831939909023,[0.77299068 0.53464052 0.45541838],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6235632300376892,0.48129148584182024,[0.75516055 0.38130997 0.30740394],0.48386319091986235,[0.74872086 0.38565401 0.3172147 ],0.47898549889691105,[0.76171197 0.37706271 0.29818182],,0.6803147196769714,0.5699994926805014,[0.79176603 0.52137306 0.39685939],0.5730909950105154,[0.78889445 0.51668806 0.41369048],0.5673822341007734,[0.7946586  0.52614379 0.38134431],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6070881485939026,0.5018776334430896,[0.7250934  0.4597375  0.32080201],0.49507424337333283,[0.78523264 0.40323584 0.29675425],0.5190850247546444,[0.6735107  0.53465347 0.34909091],,0.6568722128868103,0.574776525803236,[0.76448397 0.53118594 0.42865967],0.564219717057352,[0.8216044  0.48116711 0.38988764],0.5945315300331381,[0.71478962 0.59281046 0.47599451],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6195402145385742,0.49535363722938297,[0.7443473  0.43736578 0.30434783],0.4989820850507192,[0.77739295 0.38621997 0.33333333],0.4993739807757525,[0.71399653 0.50412541 0.28      ],,0.6695568561553955,0.5660991150730877,[0.78397933 0.51746988 0.39684814],0.5665805821165689,[0.80456112 0.47988827 0.41529235],0.5686115872960982,[0.76442429 0.56143791 0.37997257],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6159003973007202,0.4768893058651482,[0.75653451 0.38474434 0.28938907],0.47294448448877563,[0.76849642 0.39097104 0.25936599],0.4836416232716389,[0.74493927 0.37871287 0.32727273],,0.6713230609893799,0.5652560328285227,[0.7896679 0.5019685 0.4041317],0.5611154205214893,[0.79768638 0.50395257 0.38170732],0.5703881003704637,[0.78180902 0.5        0.42935528],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6362069249153137,0.49909349495352845,[0.76638753 0.40731293 0.32358003],0.4975491882339451,[0.76528258 0.42017544 0.30718954],0.5015094551676104,[0.76749566 0.39521452 0.34181818],,0.6729286909103394,0.5672852796525418,[0.78830084 0.50391645 0.40963855],0.5651910060682724,[0.79231357 0.50325945 0.4       ],0.5695522653505848,[0.78432855 0.50457516 0.41975309],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6312260627746582,0.48606893221578057,[0.7660307  0.38925011 0.30292599],0.4858871734284871,[0.76003416 0.41004566 0.2875817 ],0.48752822014416597,[0.77212261 0.37046205 0.32      ],,0.6772639751434326,0.5743888833892712,[0.79093199 0.50357264 0.42866202],0.5715042974786804,[0.79073281 0.52519517 0.39858491],0.5794800773533008,[0.79113127 0.48366013 0.46364883],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6212643384933472,0.4736475314595474,[0.75794552 0.35919961 0.30379747],0.48030918658678456,[0.74401114 0.43966547 0.25725095],0.48231708422432756,[0.7724118  0.30363036 0.37090909],,0.6685934662818909,0.5566514094876115,[0.79102071 0.46136364 0.41756988],0.561671773637646,[0.7789448  0.54864865 0.35742188],0.5678579250630293,[0.80347695 0.39803922 0.50205761],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6298850774765015,0.4888315382294697,[0.76179648 0.36856369 0.33613445],0.4895691428769069,[0.7490218  0.40718563 0.3125    ],0.49176149540922864,[0.77501446 0.33663366 0.36363636],,0.6674695014953613,0.5617708455018954,[0.78368794 0.49983317 0.40179143],0.5583144564474837,[0.78787879 0.51056578 0.3764988 ],0.5666036510626198,[0.77954145 0.48954248 0.43072702],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6295019388198853,0.4807730049582291,[0.76273612 0.39982616 0.27975673],0.4817500797582496,[0.75495751 0.42240588 0.26788686],0.4809806394173252,[0.77067669 0.37953795 0.29272727],,0.6803147196769714,0.5737889144262877,[0.79072651 0.50596491 0.42467532],0.5759308200462174,[0.77837442 0.54621212 0.40320592],0.5744261490604473,[0.80347695 0.47124183 0.44855967],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6013410091400146,0.4758434592596568,[0.73121171 0.40261237 0.29370629],0.4719833023491895,[0.75641422 0.3767074  0.28282828],0.4818107501901144,[0.70763447 0.43234323 0.30545455],,0.6724470257759094,0.5789439435479697,[0.78296881 0.52118912 0.4326739 ],0.5714620027272292,[0.80494944 0.50490196 0.40453461],0.5885797940575407,[0.76215671 0.53856209 0.46502058],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.2,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6157088279724121,0.4874939626648507,[0.74922049 0.40836408 0.30489731],0.4817775159035413,[0.7699115  0.40586797 0.26955307],0.4971375575961297,[0.72961249 0.41089109 0.35090909],,0.6734104156494141,0.5753289335436812,[0.78181818 0.5297542  0.41441441],0.5698253025393478,[0.79484509 0.52432778 0.39030303],0.5820688220418483,[0.76921139 0.53529412 0.44170096],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.2,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6262452006340027,0.48542537944838715,[0.76131628 0.3720339  0.32292596],0.48534429390535533,[0.75664096 0.38240418 0.31698774],0.48578395664899054,[0.76604974 0.36221122 0.32909091],,0.6727681159973145,0.5596597065003055,[0.79302559 0.49128686 0.39466667],0.5592337650195552,[0.78965776 0.50412655 0.38391699],0.5605143017426449,[0.79642227 0.47908497 0.40603567],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.2,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6229885220527649,0.4807345077661387,[0.752202   0.42373526 0.26626627],0.4843872772123352,[0.76386404 0.39308398 0.29621381],0.4807599423910003,[0.74089069 0.45957096 0.24181818],,0.6700385212898254,0.5517600241704428,[0.79065066 0.50125945 0.36336996],0.5554961985866695,[0.79295489 0.4835966  0.38993711],0.5496044233880109,[0.78835979 0.52026144 0.34019204],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.2,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6402298808097839,0.5030781565540364,[0.76771482 0.43048576 0.31103388],0.5014329769087736,[0.76938716 0.43707483 0.29783694],0.50519889814314,[0.76604974 0.42409241 0.32545455],,0.6668272614479065,0.5602566622423456,[0.78493533 0.49374589 0.40208877],0.5570182144906567,[0.79014552 0.49734748 0.38356164],0.5641620159723697,[0.7797934  0.49019608 0.42249657],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.2,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6005747318267822,0.4794534894165913,[0.73697007 0.40154739 0.29984301],0.47277116091400107,[0.77649696 0.37800437 0.26381215],0.49225432028454436,[0.70127241 0.42821782 0.34727273],,0.6629736423492432,0.5726656627191746,[0.77366147 0.51755203 0.42678348],0.5635911374754504,[0.80517711 0.49319124 0.39240506],0.5855761783451378,[0.74452003 0.54444444 0.46776406],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(256, 256)",0.2,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
