,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.5860153436660767,0.47710021678074926,[0.71773573 0.39640344 0.31716148],0.4689623821732774,[0.76667762 0.37667162 0.26353791],0.4970553625634397,[0.67466744 0.41831683 0.39818182],,0.6650609970092773,0.5743553055658989,[0.77818372 0.51846922 0.42641298],0.5650951835432343,[0.80703654 0.52813559 0.36011342],0.5943689409920346,[0.75132275 0.50915033 0.52263374],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6065133810043335,0.5000770112468348,[0.73258149 0.43846154 0.329188  ],0.49082064924165075,[0.78640133 0.41066282 0.2753978 ],0.5216814625360743,[0.68565645 0.47029703 0.40909091],,0.6677906513214111,0.5846525363682434,[0.77394534 0.54229798 0.43771429],0.5722860760460079,[0.81731577 0.52442002 0.37512243],0.60725365592053,[0.73494583 0.56143791 0.52537723],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6266283392906189,0.4990713006864342,[0.75603688 0.40862069 0.33255633],0.494499172445398,[0.76533333 0.42779783 0.29036635],0.5090478602516123,[0.74696356 0.39108911 0.38909091],,0.6734104156494141,0.5702922084325514,[0.79065657 0.49367978 0.42654028],0.5670775176725171,[0.79245761 0.53338392 0.37539103],0.580722659434144,[0.78886369 0.45947712 0.49382716],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6082375645637512,0.4770544818832812,[0.74541149 0.38771274 0.29803922],0.47190133777154014,[0.76349303 0.39014202 0.26206897],0.4863115490265047,[0.72816657 0.38531353 0.34545455],,0.6857739090919495,0.5929193410863873,[0.79509677 0.53988134 0.4437799 ],0.5842789678626952,[0.81486379 0.54454787 0.39342524],0.6068255011195149,[0.77626606 0.53529412 0.50891632],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6281608939170837,0.4967605877899705,[0.75815655 0.41808874 0.31403648],0.4928640803594308,[0.76724904 0.43286219 0.27848101],0.5045224892645424,[0.74927704 0.40429043 0.36      ],,0.6907514333724976,0.5915069545296076,[0.80035515 0.53906517 0.43510055],0.5870683831784179,[0.80587484 0.56388294 0.39144737],0.6003207867509145,[0.79491056 0.51633987 0.48971193],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6065133810043335,0.47867654721864805,[0.74171004 0.39329518 0.30102443],0.4729425084384206,[0.76339149 0.3897893  0.26564673],0.4884545186733827,[0.72122614 0.39686469 0.34727273],,0.6730892658233643,0.5743809779515291,[0.7885084  0.51276882 0.42186572],0.5676034069128879,[0.8030303  0.52766252 0.3721174 ],0.5867212179796473,[0.77450239 0.49869281 0.48696845],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.592528760433197,0.47969862522950163,[0.72668712 0.4        0.31240876],0.471939621371241,[0.77367734 0.38116592 0.26097561],0.4983203560379173,[0.68507808 0.42079208 0.38909091],,0.6692357063293457,0.5799227858828416,[0.78274634 0.53117932 0.4258427 ],0.5690923773016592,[0.82142857 0.52523962 0.36060894],0.6015628748069872,[0.74754346 0.5372549  0.51989026],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.5921456217765808,0.48839235042396206,[0.71863237 0.43334557 0.31319911],0.480361137444321,[0.7851268  0.39046989 0.26548673],0.5103795168412156,[0.66252169 0.48679868 0.38181818],,0.6700385212898254,0.5861716468921864,[0.77477959 0.55274262 0.43099274],0.5743762449069458,[0.82456639 0.51286353 0.38569881],0.6061164108990648,[0.73066264 0.59934641 0.48834019],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.5969348549842834,0.48567961335738646,[0.72808504 0.41405365 0.31490015],0.4778615067007295,[0.7790966  0.38188153 0.27260638],0.5027384866884607,[0.68334297 0.45214521 0.37272727],,0.6700385212898254,0.5847868364095331,[0.77776311 0.540627   0.4359704 ],0.5730547762338616,[0.81714761 0.52944862 0.37256809],0.6065551048951816,[0.7420005  0.55228758 0.52537723],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.60383141040802,0.4900846618823775,[0.73892525 0.4009901  0.33033863],0.48252293501927057,[0.780135  0.4009901 0.2664437],0.5124621114511683,[0.70185078 0.4009901  0.43454545],,0.6716442108154297,0.5776001904435926,[0.78744835 0.50999311 0.43535912],0.5705060185295244,[0.80768212 0.5393586  0.36447734],0.5974433669215286,[0.76820358 0.48366013 0.54046639],80,15,3,gaussian_random_projection,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
