,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6346743106842041,0.5024086045248062,[0.75966892 0.46678766 0.28076923],0.5022157417051067,[0.79196737 0.41672067 0.29795918],0.508628091843308,[0.72990168 0.53052805 0.26545455],,0.6726076006889343,0.5549547988347493,[0.79114799 0.50479846 0.36891794],0.558664948478589,[0.78965863 0.4943609  0.39197531],0.5522505847332074,[0.79264298 0.51568627 0.3484225 ],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6178160905838013,0.4608652427241453,[0.75590327 0.36363636 0.26305609],0.4653222471993586,[0.74384099 0.37113402 0.28099174],0.4573571955229068,[0.76836322 0.35643564 0.24727273],,0.6517341136932373,0.5249055574589948,[0.77791533 0.45589226 0.34090909],0.5294209319757495,[0.76466294 0.47013889 0.35346097],0.5211123132380525,[0.79163517 0.44248366 0.32921811],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6252873539924622,0.4766837086211598,[0.76063601 0.37936772 0.29004739],0.4797132357508192,[0.75361907 0.38255034 0.3029703 ],0.4740680962254699,[0.76778485 0.37623762 0.27818182],,0.6584778428077698,0.5404920361465432,[0.78228322 0.46296911 0.37622378],0.5430682731401514,[0.77483935 0.47062795 0.38373752],0.5381418959902206,[0.7898715  0.45555556 0.36899863],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6348658800125122,0.4844427394160004,[0.76169591 0.4366146  0.25501771],0.5079657134443113,[0.77025429 0.39000649 0.36363636],0.4818546151896855,[0.75332562 0.49587459 0.19636364],,0.6610468626022339,0.5252017781610583,[0.78574109 0.48581019 0.30405405],0.5438071567126528,[0.78017884 0.45563824 0.3956044 ],0.519519412703353,[0.79138322 0.52026144 0.24691358],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6178160905838013,0.4501055246044945,[0.76262626 0.32829181 0.2593985 ],0.4550865171636172,[0.74059946 0.35617761 0.26848249],0.447122668889214,[0.78600347 0.30445545 0.25090909],,0.6530186533927917,0.5144927943892571,[0.78111795 0.43172119 0.33063924],0.5264585652233563,[0.7498841  0.47347894 0.35601266],0.5068135896333842,[0.81506677 0.39673203 0.30864198],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6153256893157959,0.4677964368165637,[0.75123654 0.38815277 0.264     ],0.47232908266905893,[0.7558548  0.36779911 0.29333333],0.46585515578741216,[0.74667438 0.41089109 0.24      ],,0.655427098274231,0.538373428849952,[0.778157   0.475625   0.36133829],0.5436636866810766,[0.78082192 0.45568862 0.39448052],0.5354097194433328,[0.7755102  0.49738562 0.33333333],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6237547993659973,0.4078854597014578,[0.765652   0.29259084 0.16541353],0.43880074172580824,[0.70848708 0.34178611 0.26612903],0.4028756455749682,[0.83285136 0.25577558 0.12      ],,0.6579961180686951,0.4744071771781601,[0.78670929 0.40121812 0.23529412],0.5227263353312103,[0.71935686 0.48040109 0.36842105],0.46175359032501895,[0.86797682 0.34444444 0.17283951],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6180076599121094,0.42025442160564436,[0.75596675 0.2993007  0.20549582],0.4494843382965295,[0.70475    0.34405145 0.29965157],0.41214207539898,[0.8152111  0.26485149 0.15636364],,0.6404945254325867,0.4625115933069055,[0.77033167 0.35787807 0.25932504],0.507639270484857,[0.70134436 0.45381526 0.36775819],0.45002352106823523,[0.85437138 0.29542484 0.20027435],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6346743106842041,0.45406602174155286,[0.76799111 0.38241394 0.21179302],0.4788972551673414,[0.73903743 0.38448707 0.31316726],0.44655633116810817,[0.79930596 0.38036304 0.16      ],,0.6570327281951904,0.4983642335226485,[0.78639847 0.44131455 0.26737968],0.5280353107117546,[0.7492585  0.45316804 0.38167939],0.4877463742698725,[0.82741245 0.43006536 0.20576132],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(32, 32)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6243295073509216,0.48270263226123616,[0.75787631 0.40316832 0.28706327],0.48361799670389755,[0.76456739 0.38766184 0.29862475],0.48254398777066837,[0.75130133 0.419967   0.27636364],,0.6775851249694824,0.5695861004982518,[0.79131759 0.51772827 0.39971244],0.5717393209915691,[0.79739064 0.49788775 0.41993958],0.5686321167698903,[0.78533636 0.53921569 0.38134431],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6147509813308716,0.4827419494086161,[0.74630468 0.4291939  0.27272727],0.48260100712183657,[0.77994956 0.38326848 0.28458498],0.4882947988263256,[0.71544245 0.48762376 0.26181818],,0.6448298096656799,0.5373116451905526,[0.76555149 0.49411072 0.35227273],0.5367144869976744,[0.79527559 0.44962487 0.365243  ],0.5421757729154763,[0.73796926 0.54836601 0.34019204],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6157088279724121,0.47974352411426185,[0.7534707  0.37016354 0.31559633],0.4794716500280261,[0.76159527 0.35830116 0.31851852],0.48036106560337927,[0.74551764 0.38283828 0.31272727],,0.660404622554779,0.5481199300648,[0.7805185  0.47879974 0.38504155],0.5488030798607632,[0.77973347 0.47786458 0.38881119],0.5474626613333948,[0.78130511 0.47973856 0.38134431],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6354405879974365,0.48236734357983396,[0.7702432  0.39622642 0.28063241],0.4878326079083914,[0.76217441 0.39396411 0.30735931],0.47839378096282736,[0.77848467 0.39851485 0.25818182],,0.6693962812423706,0.5483974665234449,[0.78816627 0.49740933 0.3596168 ],0.5541745612455231,[0.78104899 0.49293967 0.38853503],0.5440267739468901,[0.79541446 0.50196078 0.33470508],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6061302423477173,0.47190202196738146,[0.73755656 0.41763668 0.26051282],0.4781290715796979,[0.77080706 0.36475662 0.29882353],0.47547134586217443,[0.7070561  0.48844884 0.23090909],,0.6292549967765808,0.5110821164349533,[0.7546732  0.46422235 0.3143508 ],0.5162033935115072,[0.77270327 0.42386609 0.35204082],0.5114959564072542,[0.73746536 0.5130719  0.28395062],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6304597854614258,0.4958279234292513,[0.76218787 0.42857143 0.29672447],0.4972001647960346,[0.78409786 0.39192886 0.31557377],0.49808044482875125,[0.74146906 0.47277228 0.28      ],,0.6600834727287292,0.544973154099783,[0.78066068 0.48564295 0.36861584],0.5498034311659987,[0.78433367 0.46475508 0.40032154],0.5423608126378122,[0.77702192 0.50849673 0.34156379],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0003,123,True,focal,2,True,5,Conv1d,,concatenation,64,4
0,,0.6375479102134705,0.4731019294037701,[0.77036183 0.42417332 0.22477064],0.48853976352435263,[0.76803679 0.39323467 0.30434783],0.47042628033769257,[0.77270098 0.46039604 0.17818182],,0.6644187569618225,0.5249112317612463,[0.7868083  0.48926768 0.29865772],0.5431114163135446,[0.77174703 0.47313797 0.38444924],0.5177250598456118,[0.80246914 0.50653595 0.2441701 ],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6302682161331177,0.4696025055352824,[0.76136039 0.4077135  0.23973363],0.4833338074949584,[0.75254237 0.38976674 0.30769231],0.4647146276223921,[0.77038751 0.42739274 0.19636364],,0.6551059484481812,0.5090566270666623,[0.78272605 0.46168521 0.28275862],0.5309463221991015,[0.76279292 0.4495356  0.38051044],0.5010681364452503,[0.8037289  0.4745098  0.22496571],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6335248947143555,0.4851994931638213,[0.76398956 0.41954246 0.27206646],0.49297892926424386,[0.76598837 0.39575713 0.31719128],0.4821842039611712,[0.76200116 0.44636964 0.23818182],,0.6644187569618225,0.5321705943535427,[0.78742701 0.48440945 0.32467532],0.5472690680124115,[0.77671569 0.4674772  0.39761431],0.5251335650858423,[0.79843789 0.50261438 0.27434842],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(128, 128)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,5
0,,0.6141762733459473,0.46698780770226,[0.75558083 0.32043651 0.32494608],0.47122859395402744,[0.74321678 0.40174129 0.26872771],0.4819246522685814,[0.76836322 0.26650165 0.41090909],,0.6610468626022339,0.5407601990005717,[0.79374146 0.43716268 0.39137645],0.5477462087583743,[0.78256611 0.53289474 0.32777778],0.5538085192924906,[0.80524061 0.37058824 0.48559671],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(512, 512)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.5996168851852417,0.46917946173254865,[0.73231871 0.38892935 0.28629032],0.475283325148649,[0.75647349 0.34810952 0.32126697],0.4694782132927,[0.70965876 0.44059406 0.25818182],,0.6518946886062622,0.5352585203192591,[0.77297924 0.49559601 0.33720031],0.5426216288644582,[0.79144667 0.44989339 0.38652482],0.5353425869661993,[0.75535399 0.55163399 0.29903978],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(512, 512)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6411877274513245,0.49707506545965696,[0.77211178 0.41334418 0.30576923],0.5004750733482676,[0.76923077 0.40770465 0.3244898 ],0.49441576083577127,[0.77501446 0.41914191 0.28909091],,0.6681117415428162,0.5506012192324548,[0.79135432 0.47440945 0.38603989],0.5542161155037617,[0.78488228 0.47628458 0.40148148],0.5474083735002918,[0.79793399 0.47254902 0.37174211],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(512, 512)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,6
0,,0.6007663011550903,0.4641943683080559,[0.73845704 0.35422343 0.29990263],0.46815264463987255,[0.74630833 0.33529845 0.32285115],0.4620605906744521,[0.73076923 0.37541254 0.28      ],,0.6570327281951904,0.5459055834146875,[0.77890155 0.48760843 0.37120677],0.545843004546498,[0.79177512 0.46348645 0.38226744],0.5471957232824542,[0.76643991 0.51437908 0.36076818],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(512, 512)",0.1,0.0003,1,True,focal,2,True,5,Conv1d,,concatenation,64,7
0,,0.6304597854614258,0.4765293847802106,[0.75936743 0.40536149 0.26485923],0.4860329108216857,[0.74838529 0.3992     0.31051345],0.47110065141852536,[0.77067669 0.41171617 0.23090909],,0.6518946886062622,0.5151963536079612,[0.77951496 0.45475335 0.31132075],0.5271342248566101,[0.76215696 0.45460483 0.36464088],0.508062978277731,[0.79768204 0.45490196 0.27160494],20,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)","(512, 512)",0.1,0.0003,12,True,focal,2,True,5,Conv1d,,concatenation,64,7
