,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6358237266540527,0.5077258365826878,[0.76803062 0.42450766 0.33063924],0.5038377778327279,[0.78207434 0.45200373 0.27743527],0.5212460951126924,[0.75448236 0.40016502 0.40909091],,0.6870584487915039,0.5880060152668106,[0.7989899  0.52084076 0.44418739],0.5857484389989853,[0.80080992 0.5724354  0.384     ],0.6005682931608858,[0.79717813 0.47777778 0.52674897],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.5990421175956726,0.509522468492659,[0.72113394 0.44639451 0.36103896],0.49951614796048055,[0.80255229 0.41518808 0.28080808],0.547613840042188,[0.65471371 0.48267327 0.50545455],,0.650288999080658,0.5691253054286016,[0.76433983 0.52452709 0.418509  ],0.5582641892939649,[0.82529944 0.51478918 0.33470395],0.6015685835376675,[0.71176619 0.53464052 0.55829904],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6193486452102661,0.504692728478656,[0.74795764 0.43028846 0.33583208],0.4960675147235231,[0.78426396 0.4182243  0.28571429],0.5217353724961854,[0.71486408 0.44306931 0.40727273],,0.6653821468353271,0.5658954045308462,[0.78121391 0.50618522 0.41028708],0.5592987112765736,[0.7960251  0.51813826 0.36373277],0.5774075336581821,[0.76694381 0.49477124 0.47050754],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6090038418769836,0.4696930420592549,[0.75007412 0.39167    0.267335  ],0.4657682253105639,[0.76946472 0.38054475 0.24729521],0.4753370739040359,[0.73163678 0.40346535 0.29090909],,0.6929993629455566,0.5972871757142743,[0.80020584 0.55494683 0.43670886],0.5901091990853964,[0.81756046 0.54736173 0.40540541],0.6065229383934644,[0.78357269 0.5627451  0.47325103],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6203064918518066,0.4835161929852496,[0.75829936 0.37197665 0.32027257],0.4803241259396403,[0.76363636 0.37605396 0.30128205],0.4876138059150044,[0.75303644 0.3679868  0.34181818],,0.6801541447639465,0.5778057781796424,[0.79143979 0.52301534 0.4189622 ],0.5742196854745725,[0.79557026 0.53405995 0.39302885],0.582776649754552,[0.78735198 0.5124183  0.44855967],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6254789233207703,0.4896430156487089,[0.75745556 0.41569884 0.29577465],0.48678749828793344,[0.76978202 0.40389105 0.28668942],0.49306333583040196,[0.74551764 0.42821782 0.30545455],,0.6798329949378967,0.5704646170291484,[0.79519595 0.51914894 0.39704896],0.5688240834904518,[0.79802081 0.52       0.38845144],0.5722424497919881,[0.79239103 0.51830065 0.40603567],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6003831624984741,0.4848365278784643,[0.74042027 0.41456583 0.29952349],0.4789446374793825,[0.79495687 0.4024864  0.23939064],0.5067596001936804,[0.69288606 0.42739274 0.4       ],,0.6859344840049744,0.5997863485519248,[0.794083   0.55172414 0.45355191],0.589635407673106,[0.82643052 0.56554564 0.37693006],0.6240024679281864,[0.76417234 0.53856209 0.56927298],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.5917624235153198,0.4812670143686461,[0.71986365 0.41449683 0.30944056],0.47823221581320313,[0.77536716 0.36134969 0.2979798 ],0.4931891240020474,[0.67177559 0.4859736  0.32181818],,0.6772639751434326,0.5871530974656481,[0.78393831 0.55715545 0.42036554],0.579030367168765,[0.82995495 0.50613988 0.40099626],0.6013550550535716,[0.74275636 0.61960784 0.44170096],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6402298808097839,0.5081751305050316,[0.76894104 0.41435986 0.34122449],0.5051586824542799,[0.77039187 0.43545455 0.30962963],0.5142367278948831,[0.76749566 0.39521452 0.38      ],,0.6849710941314697,0.5796323839103091,[0.798792   0.51905252 0.42105263],0.5773564609178476,[0.79788839 0.54663774 0.38754325],0.5849068845645254,[0.79969766 0.49411765 0.46090535],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6176245212554932,0.49719739784853334,[0.74962338 0.43117745 0.31079137],0.49095537586103627,[0.78238994 0.43333333 0.25714286],0.5137537374327369,[0.71949104 0.4290429  0.39272727],,0.676300585269928,0.5871762595309687,[0.78729498 0.53028264 0.44395117],0.5778951971340912,[0.81443577 0.54646325 0.37278658],0.608544762212155,[0.76190476 0.51503268 0.54869684],80,15,3,umap,17,,"['timeline_index', 'speaker']","[None, None]",True,False,384,0,True,"(12,)","(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
