,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,,0.6197577118873596,0.5798749643773154,[0.70931889 0.45043103],0.5803424906021567,[0.70509915 0.45558583],0.5794905159267424,[0.71358945 0.44539158],,0.646583080291748,0.6221936945097624,[0.71818573 0.52620166],0.6234769329349448,[0.7088903  0.53806356],0.6212898244736258,[0.72772816 0.51485149],"(64, 64)",0.1,0.001,1,focal,2,True,5,64,0
0,,0.613420307636261,0.5753175402133128,[0.70252438 0.4481107 ],0.5752809532267505,[0.70292767 0.44763424],0.575354866124452,[0.70212156 0.44858817],,0.6461787223815918,0.6238388933070264,[0.71550883 0.53216895],0.6242538359204799,[0.71203624 0.53647143],0.6234752006955371,[0.71901547 0.52793494],"(64, 64)",0.1,0.001,12,focal,2,True,5,64,0
0,,0.6165890097618103,0.5797721765958288,[0.70415648 0.45538787],0.5795625427204375,[0.70649351 0.45263158],0.5800064029561128,[0.70183486 0.45817794],,0.6468526721000671,0.6243186518951886,[0.71632741 0.53230989],0.6248273022677904,[0.71216362 0.53749099],0.6238839550476503,[0.72054019 0.52722772],"(64, 64)",0.1,0.001,123,focal,2,True,5,64,0
0,,0.6102516055107117,0.582551656009807,[0.69008448 0.47501883],0.5817611657337545,[0.71432955 0.44919278],0.5857134652700728,[0.66743119 0.50399574],,0.6414611339569092,0.6260736021022677,[0.70192739 0.55021982],0.6250222672794463,[0.72282483 0.5272197 ],0.6287612794481054,[0.68220431 0.57531825],"(64, 64)",0.1,0.0005,1,focal,2,True,5,64,1
0,,0.6191985011100769,0.5781256874027196,[0.70975991 0.44649147],0.5788542879826079,[0.70346381 0.45424476],0.5775840632377451,[0.71616972 0.4389984 ],,0.6475266218185425,0.6228977168526406,[0.71926999 0.52652544],0.6243312088902992,[0.70914479 0.53951763],0.6219163962947,[0.72968852 0.51414427],"(64, 64)",0.1,0.0005,12,focal,2,True,5,64,1
0,,0.611929178237915,0.5842199888330541,[0.69155556 0.47688442],0.5833860302338809,[0.71551196 0.4512601 ],0.5873727045891111,[0.66915138 0.50559403],,0.6418654918670654,0.6264313427638988,[0.70236362 0.55049907],0.6253746665142617,[0.72301661 0.52773273],0.6290880056515469,[0.68285777 0.57531825],"(64, 64)",0.1,0.0005,123,focal,2,True,5,64,1
0,,0.6171481609344482,0.5795159345523367,[0.70530846 0.4537234 ],0.5794583356083925,[0.70591614 0.45300053],0.5795752115175006,[0.70470183 0.45444859],,0.6460439562797546,0.6228720525346286,[0.71635342 0.52939068],0.623610629244921,[0.71052068 0.53670058],0.6222799773987419,[0.72228273 0.52227723],"(64, 64)",0.1,0.0001,1,focal,2,True,5,64,2
0,,0.6210624575614929,0.584473910978122,[0.70777634 0.46117148],0.584287687328271,[0.70971462 0.45886076],0.5846771089431212,[0.70584862 0.46350559],,0.6499528288841248,0.6271164112170804,[0.71939492 0.5348379 ],0.6278443917654786,[0.71376501 0.54192377],0.6265246452609912,[0.72511435 0.52793494],"(64, 64)",0.1,0.0001,12,focal,2,True,5,64,2
0,,0.6272134184837341,0.5925419609630136,[0.71139971 0.47368421],0.5920860599676747,[0.7161534  0.46801872],0.593098630573871,[0.70670872 0.47948855],,0.6475266218185425,0.6253241965877703,[0.71653117 0.53411723],0.6257236536752394,[0.71320673 0.53824057],0.6249716560012102,[0.71988673 0.53005658],"(64, 64)",0.1,0.0001,123,focal,2,True,5,64,2
0,,0.6113699674606323,0.5786047493542055,[0.69610844 0.46110106],0.5778831305060146,[0.7079751  0.44779116],0.5799297263347231,[0.68463303 0.47522643],,0.6410567164421082,0.6230386987750607,[0.70545294 0.54062446],0.6222081735991009,[0.71662921 0.52778713],0.6243608736359836,[0.69461991 0.55410184],"(128, 128)",0.1,0.001,1,focal,2,True,5,64,3
0,,0.6197577118873596,0.5813499804916114,[0.70815451 0.45454545],0.5814961805431019,[0.70673901 0.45625335],0.5812129905470862,[0.70957569 0.45285029],,0.6495484709739685,0.6252538212088457,[0.72067039 0.52983725],0.6266180627357432,[0.71104516 0.54219097],0.6242968685734989,[0.73055979 0.51803395],"(128, 128)",0.1,0.001,12,focal,2,True,5,64,3
0,,0.6195712685585022,0.5746213467189352,[0.71289914 0.43634355],0.5763941673064108,[0.69980668 0.45298165],0.5736876078360452,[0.72649083 0.42088439],,0.6496832370758057,0.6224660120688428,[0.72383381 0.52109821],0.6253472050373667,[0.706639   0.54405541],0.6209431496406012,[0.7418863 0.5      ],"(128, 128)",0.1,0.001,123,focal,2,True,5,64,3
0,,0.6206896305084229,0.5829444764960992,[0.70841095 0.45747801],0.5829753716447874,[0.70810656 0.45784418],0.5829140048779773,[0.7087156  0.45711241],,0.6491441130638123,0.625504049920235,[0.71959496 0.53141314],0.6265520413933976,[0.71184996 0.54125413],0.6247169836316488,[0.72751035 0.52192362],"(128, 128)",0.1,0.0005,1,focal,2,True,5,64,4
0,,0.6156570315361023,0.5794092599210725,[0.70288184 0.45593668],0.5790967788244002,[0.70654693 0.45164663],0.5797817954426594,[0.69925459 0.460309  ],,0.6471222639083862,0.62685588982735,[0.71381723 0.53989455],0.6265838857352639,[0.71648014 0.53668763],0.6271570322231215,[0.71117404 0.54314003],"(128, 128)",0.1,0.0005,12,focal,2,True,5,64,4
0,,0.6236719489097595,0.5848819395542015,[0.7117773  0.45798658],0.5852114251495827,[0.70884276 0.46158009],0.584592413352363,[0.71473624 0.45444859],,0.6494136452674866,0.624583518129973,[0.7211322  0.52803484],0.6261981485655428,[0.71009291 0.54230339],0.6235090132375717,[0.73252015 0.51449788],"(128, 128)",0.1,0.0005,123,focal,2,True,5,64,4
0,,0.618639349937439,0.5839575794623251,[0.70407868 0.46383648],0.58343516963836,[0.7104495  0.45642084],0.5846590853548264,[0.6978211  0.47149707],,0.6484701633453369,0.628033367270669,[0.71522166 0.54084507],0.6278351832510255,[0.71710094 0.53856942],0.6282461195679265,[0.71335221 0.54314003],"(128, 128)",0.1,0.0001,1,focal,2,True,5,64,5
0,,0.6195712685585022,0.5795087871232045,[0.70930067 0.4497169 ],0.5800118224055907,[0.70478347 0.45524017],0.5791010994999829,[0.71387615 0.44432605],,0.6486049294471741,0.6233809295233248,[0.72084806 0.5259138 ],0.6251501745636382,[0.70893008 0.54137027],0.6222445088893866,[0.7331736  0.51131542],"(128, 128)",0.1,0.0001,12,focal,2,True,5,64,5
0,,0.6169617772102356,0.5847615336548582,[0.70039364 0.46912942],0.5839571517876084,[0.71254821 0.4553661 ],0.5861987274735695,[0.68864679 0.48375067],,0.644965648651123,0.6261355606277454,[0.71003963 0.54223149],0.6254671389032442,[0.71778322 0.53315106],0.6270439643149055,[0.70246134 0.55162659],"(128, 128)",0.1,0.0001,123,focal,2,True,5,64,5
0,,0.617707371711731,0.5769088340827468,[0.70829185 0.44552582],0.5775222582956824,[0.70279424 0.45225027],0.5764372742469195,[0.71387615 0.4389984 ],,0.644696056842804,0.623071711434113,[0.71335363 0.53278979],0.6231922055613046,[0.71226927 0.53411514],0.6229561512176982,[0.7144413 0.531471 ],"(256, 256)",0.1,0.001,1,focal,2,True,5,64,6
0,,0.6367194652557373,0.5841194608658931,[0.73202255 0.43621637],0.5902588498904737,[0.70330251 0.47721519],0.582446460778228,[0.76318807 0.40170485],,0.654131293296814,0.6220011313068929,[0.73220622 0.51179604],0.628409514391143,[0.70286516 0.55395387],0.6198524063284755,[0.76410368 0.47560113],"(256, 256)",0.1,0.001,12,focal,2,True,5,64,6
0,,0.6158434152603149,0.5795628646060227,[0.70306872 0.45605701],0.5792573797328622,[0.70663191 0.45188285],0.5799251440665125,[0.69954128 0.460309  ],,0.6490092873573303,0.6274941155909421,[0.71701804 0.53797019],0.6276745315457092,[0.71546302 0.53988604],0.6273238613029551,[0.71857983 0.53606789],"(256, 256)",0.1,0.001,123,focal,2,True,5,64,6
0,,0.6236719489097595,0.5818884911684801,[0.71406316 0.44971382],0.5829745068419896,[0.70556955 0.46037946],0.5811474641116754,[0.72276376 0.43953117],,0.6475266218185425,0.6230087476176791,[0.71914939 0.5268681 ],0.6243905464045063,[0.70932203 0.53945906],0.6220521856149893,[0.72925289 0.51485149],"(256, 256)",0.1,0.0005,1,focal,2,True,5,64,7
0,,0.6130475401878357,0.579228149349462,[0.69851873 0.45993757],0.5785923146873382,[0.70776928 0.44941535],0.5802355927377769,[0.68950688 0.4709643 ],,0.6473918557167053,0.6270913744206958,[0.71409836 0.54008439],0.6268337277988517,[0.71660452 0.53706294],0.6273748496920826,[0.71160967 0.54314003],"(256, 256)",0.1,0.0005,12,focal,2,True,5,64,7
0,,0.6121155619621277,0.5769893952243368,[0.69888583 0.45509296],0.5764991502024982,[0.70552147 0.44747683],0.577673341096714,[0.69237385 0.46297283],,0.6451004147529602,0.624842371385796,[0.71202012 0.53766462],0.6245389861480528,[0.7150703  0.53400767],0.6251839279051905,[0.70899586 0.54137199],"(256, 256)",0.1,0.0005,123,focal,2,True,5,64,7
0,,0.6139795184135437,0.5793172513997151,[0.70007241 0.45856209],0.578775481813063,[0.70734562 0.45020534],0.5800910985468711,[0.69294725 0.46723495],,0.648335337638855,0.6290407366822517,[0.71364285 0.54443862],0.6285097165027916,[0.71924779 0.53777165],0.6296987880167735,[0.70812459 0.55127298],"(256, 256)",0.1,0.0001,1,focal,2,True,5,64,8
0,,0.6178937554359436,0.5808465959328027,[0.70545977 0.45623342],0.5806952944513013,[0.70708525 0.45430534],0.5810098433230854,[0.70384174 0.45817794],,0.6502224206924438,0.6281897859064107,[0.71869919 0.53768038],0.6285979672532038,[0.7153647  0.54183124],0.627828777292267,[0.72206491 0.53359264],"(256, 256)",0.1,0.0001,12,focal,2,True,5,64,8
0,,0.6169617772102356,0.5761922208333722,[0.70763978 0.44474466],0.5767750554903214,[0.70234397 0.45120614],0.5757408458500535,[0.71301606 0.43846564],,0.6511659026145935,0.6268737570472853,[0.72207904 0.53166848],0.6283073248575164,[0.71213726 0.54447739],0.6258753520278437,[0.73230233 0.51944837],"(256, 256)",0.1,0.0001,123,focal,2,True,5,64,8
0,,0.6191985011100769,0.5685611809747073,[0.71636818 0.42075418],0.5720894000570986,[0.69448183 0.44969697],0.5674952833185886,[0.7396789  0.39531167],,0.6526486277580261,0.62664351680663,[0.72517863 0.52810841],0.6290348051166452,[0.71040535 0.54766426],0.6252401922832231,[0.74057939 0.50990099],"(512, 512)",0.1,0.001,1,focal,2,True,5,64,9
0,,0.6238583326339722,0.5789000761409395,[0.7164934  0.44130676],0.5809226665396432,[0.70247934 0.45936599],0.577845863494841,[0.73107798 0.42461375],,0.6496832370758057,0.622992973784182,[0.72330459 0.52268136],0.6255829829533834,[0.70741358 0.54375239],0.6215542015819032,[0.73992594 0.50318246],"(512, 512)",0.1,0.001,12,focal,2,True,5,64,9
0,,0.6173346042633057,0.5818932657125522,[0.7036235  0.46016303],0.5814728405495935,[0.70863623 0.45430945],0.5824253059733226,[0.69868119 0.46616942],,0.6506267786026001,0.630017492837018,[0.71733915 0.54269584],0.6299141980074374,[0.7182791 0.5415493],0.630124448639904,[0.71640166 0.54384724],"(512, 512)",0.1,0.001,123,focal,2,True,5,64,9
0,,0.615284264087677,0.5761079175092171,[0.70497427 0.44724156],0.5763073126491706,[0.70296465 0.44964997],0.5759271150528121,[0.70699541 0.44485882],,0.6495484709739685,0.627238781915266,[0.71843188 0.53604568],0.6277375349213374,[0.71440879 0.54106628],0.6268089709988518,[0.72250054 0.5311174 ],"(512, 512)",0.1,0.0005,1,focal,2,True,5,64,10
0,,0.6249766945838928,0.5719047750489155,[0.72263579 0.42117376],0.5768750018682016,[0.69596389 0.45778612],0.5707087516435069,[0.75143349 0.38998402],,0.6565575003623962,0.6223452346837712,[0.73601326 0.50867721],0.6306049654771583,[0.70183758 0.55937235],0.6200475023853631,[0.77368765 0.46640736],"(512, 512)",0.1,0.0005,12,focal,2,True,5,64,10
0,,0.6219944357872009,0.5828740440034449,[0.71061644 0.45513165],0.5832324772111357,[0.70738636 0.45907859],0.5825640723289653,[0.71387615 0.451252  ],,0.6484701633453369,0.6245943611406238,[0.71926803 0.52992069],0.6257217586970945,[0.71100234 0.54044118],0.6237650719983783,[0.72772816 0.51980198],"(512, 512)",0.1,0.0005,123,focal,2,True,5,64,10
