,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id,input_dim
0,,0.6497669816017151,0.6171476528176871,[0.72889915 0.50539616],0.6165711061336957,[0.7336625  0.49947971],0.6178258481472974,[0.72419725 0.51145445],,0.79700767993927,0.7859947788384363,[0.83454186 0.7374477 ],0.7846229543737957,[0.84194192 0.72730399],0.7875745531892082,[0.82727075 0.74787836],"(64, 64)",0.1,0.001,1,focal,2,True,5,64,0.0,768
0,,0.6411929130554199,0.6148940653609803,[0.71553125 0.51425688],0.6134147924691162,[0.73833486 0.48849473],0.6184908116357841,[0.69409404 0.54288759],,0.7874376773834229,0.7771774927873083,[0.82499168 0.72936331],0.7747598747093677,[0.84095023 0.70856952],0.7805209796425391,[0.80962753 0.75141443],"(64, 64)",0.1,0.001,12,focal,2,True,5,64,0.0,768
0,,0.631127655506134,0.6115648321449246,[0.69873649 0.52439317],0.6112793882169173,[0.74488802 0.47767075],0.6196084268523361,[0.65797018 0.58124667],,0.7792155146598816,0.771479837202879,[0.81352459 0.72943508],0.7682867217807141,[0.85213451 0.68443893],0.779512803631236,[0.77826182 0.78076379],"(64, 64)",0.1,0.001,123,focal,2,True,5,64,0.0,768
0,,0.6346691250801086,0.6113181045316773,[0.70658683 0.51604938],0.6101251748792137,[0.73934837 0.48090198],0.6166724912387032,[0.6766055  0.55673948],,0.7804286479949951,0.770992159420846,[0.81747899 0.72450533],0.7680220247876091,[0.84171666 0.69432739],0.7760119346720122,[0.79459813 0.75742574],"(64, 64)",0.1,0.0005,1,focal,2,True,5,64,0.1,768
0,,0.6380242109298706,0.6166438098904935,[0.70717732 0.5261103 ],0.6156160458863061,[0.74586514 0.48536695],0.6233128852160141,[0.67230505 0.57432072],,0.7843375205993652,0.7754622182420075,[0.82010344 0.730821  ],0.772297859480668,[0.84754822 0.6970475 ],0.781207127776287,[0.79438031 0.76803395],"(64, 64)",0.1,0.0005,12,focal,2,True,5,64,0.1,768
0,,0.6365330815315247,0.6112183612183612,[0.71042471 0.51201201],0.6098409281165594,[0.73690696 0.48277489],0.6153992316452666,[0.68577982 0.54501865],,0.7832592129707336,0.773460108173243,[0.82057576 0.72634445],0.7706787488043061,[0.84122626 0.70013123],0.7777558608149454,[0.80091483 0.75459689],"(64, 64)",0.1,0.0005,123,focal,2,True,5,64,0.1,768
0,,0.6445479989051819,0.6143186276466729,[0.72229503 0.50634222],0.613196042018903,[0.73394495 0.49244713],0.6160266969055637,[0.71100917 0.52104422],,0.7614233493804932,0.7494319126340707,[0.80424685 0.69461698],0.7475647905525333,[0.81689508 0.6782345 ],0.7518973919515983,[0.79198432 0.71181047],"(64, 64)",0.1,0.0001,1,focal,2,True,5,64,0.2,768
0,,0.6389561891555786,0.6102504458470971,[0.71602404 0.50447685],0.6089547438995868,[0.73267327 0.48523622],0.6127105094015923,[0.70011468 0.52530634],,0.7669497132301331,0.7559069367355745,[0.80782483 0.70398904],0.7535803769985081,[0.82478438 0.68237637],0.7592821204515199,[0.79154868 0.72701556],"(64, 64)",0.1,0.0001,12,focal,2,True,5,64,0.2,768
0,,0.6436160206794739,0.6156573826868299,[0.71931885 0.51199592],0.6142447751302864,[0.73706378 0.49142577],0.6183858013226259,[0.70240826 0.53436335],,0.7697802782058716,0.7582686892889028,[0.81102014 0.70551724],0.7562882079681708,[0.82415111 0.6884253 ],0.7608902572741638,[0.79830102 0.72347949],"(64, 64)",0.1,0.0001,123,focal,2,True,5,64,0.2,768
0,,0.6482758522033691,0.6162442465095255,[0.72711497 0.50537353],0.6155031238302764,[0.73358623 0.49742002],0.6171711947622842,[0.72075688 0.51358551],,0.7873028516769409,0.7745731301356167,[0.82814202 0.72100424],0.7745731301356168,[0.82814202 0.72100424],0.7745731301356168,[0.82814202 0.72100424],"(128, 128)",0.1,0.001,1,focal,2,True,5,64,0.3,768
0,,0.6411929130554199,0.6087915473784161,[0.72137791 0.49620518],0.6080481485090274,[0.72844198 0.48765432],0.609755404632612,[0.71444954 0.50506127],,0.7902682423591614,0.7785445868025054,[0.82949814 0.72759104],0.7775733354537906,[0.83461963 0.72052705],0.7796170140398301,[0.82443912 0.73479491],"(128, 128)",0.1,0.001,12,focal,2,True,5,64,0.3,768
0,,0.6493942141532898,0.6192311284046693,[0.7264     0.51206226],0.6181097325973963,[0.73723059 0.49898888],0.6208610662388254,[0.71588303 0.5258391 ],,0.7943118810653687,0.7842917829861469,[0.83078288 0.73780069],0.7818757179751379,[0.84617122 0.71758021],0.7875690076242277,[0.81594424 0.75919378],"(128, 128)",0.1,0.001,123,focal,2,True,5,64,0.3,768
0,,0.6486486196517944,0.6170994779760807,[0.72700941 0.50718954],0.6162545468093763,[0.73456248 0.49794661],0.6181960954187093,[0.71961009 0.5167821 ],,0.792963981628418,0.7819277403551745,[0.83098592 0.73286957],0.7803761713832493,[0.83967089 0.72108145],0.7837641338736356,[0.82247876 0.7450495 ],"(128, 128)",0.1,0.0005,1,focal,2,True,5,64,0.4,768
0,,0.6460391283035278,0.6154118815090195,[0.72394243 0.50688133],0.6143621129535032,[0.73429667 0.49442756],0.6169274180934832,[0.71387615 0.51997869],,0.78757244348526,0.7761628316567353,[0.82669892 0.72562674],0.7747272280299644,[0.83477682 0.71467764],0.7778462073110881,[0.81877587 0.73691655],"(128, 128)",0.1,0.0005,12,focal,2,True,5,64,0.4,768
