,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,num_layers,bidirectional,hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,batch_size,model_id
0,,0.6603914499282837,0.6451753579743136,[0.71865349 0.57169723],0.6451754993610679,[0.77878179 0.5115692 ],0.6574933984789313,[0.6671445 0.6478423],,0.7591319680213928,0.7505769731675236,[0.79677016 0.70438379],0.7477236737779145,[0.83365064 0.66179671],0.7579217240422116,[0.76301459 0.75282885],5,1,True,200,0.1,0.001,1,focal,2,True,5,64,0
0,,0.6575955152511597,0.6387297957940039,[0.7212866  0.55617299],0.637437302197212,[0.76603287 0.50884173],0.6473459655266798,[0.68147936 0.61321257],,0.7561665773391724,0.7458031817646411,[0.79712908 0.69447728],0.7431354770492002,[0.82154415 0.6647268 ],0.7505694216930795,[0.77412328 0.72701556],5,1,True,200,0.1,0.001,12,focal,2,True,5,64,0
0,,0.6577818989753723,0.6337978717898842,[0.72751558 0.54008016],0.6319232587743226,[0.75415385 0.50969267],0.6385078393444545,[0.70269495 0.57432072],,0.7657366394996643,0.7528031267047932,[0.8093462  0.69626005],0.7517846411130669,[0.81524862 0.68832066],0.7539566835919365,[0.80352864 0.70438472],5,1,True,200,0.1,0.001,123,focal,2,True,5,64,0
0,,0.6587138772010803,0.632848060221303,[0.73029901 0.53539711],0.6310639804945177,[0.75098455 0.51114341],0.6363948027302987,[0.71072248 0.56206713],,0.7711281776428223,0.7588043798920879,[0.81332454 0.70428422],0.7574896191755214,[0.82108768 0.69389156],0.7603498727754967,[0.80570682 0.71499293],5,1,True,200,0.1,0.0005,1,focal,2,True,5,64,1
0,,0.6674743890762329,0.6417745230077891,[0.7377242  0.54582485],0.6398814979636647,[0.75709113 0.52267187],0.6452237643761027,[0.71932339 0.57112413],,0.7722064852714539,0.7584087581586909,[0.81614447 0.70067304],0.7585869026836978,[0.81525755 0.70191625],0.7582337776049752,[0.81703333 0.69943423],5,1,True,200,0.1,0.0005,12,focal,2,True,5,64,1
0,,0.6465983390808105,0.6262095593552779,[0.71350861 0.53891051],0.6250312698787086,[0.7543131  0.49574944],0.6335979389568558,[0.6768922  0.59030368],,0.7665453553199768,0.7557893493305017,[0.807041  0.7045377],0.753308681766284,[0.82599772 0.68061964],0.7595664461893804,[0.78893487 0.73019802],5,1,True,200,0.1,0.0005,123,focal,2,True,5,64,1
0,,0.6630009412765503,0.6384138029549218,[0.73270254 0.54412506],0.6364626676977083,[0.75641026 0.51651508],0.6426446347137976,[0.71043578 0.57485349],,0.7734196186065674,0.7599403337726126,[0.81682467 0.703056  ],0.7598527663422294,[0.81726995 0.70243558],0.7600286921370358,[0.81637987 0.70367751],5,1,True,200,0.1,0.0001,1,focal,2,True,5,64,2
0,,0.6639329195022583,0.6414302998392438,[0.73125652 0.55160408],0.6394110970682136,[0.76156473 0.51725746],0.6470523948766576,[0.70326835 0.59083644],,0.7718021273612976,0.7598668561802223,[0.8134024  0.70633131],0.7582587756542001,[0.82329317 0.69322438],0.7618449416899247,[0.80374646 0.71994342],5,1,True,200,0.1,0.0001,12,focal,2,True,5,64,2
0,,0.6646784543991089,0.6391878293886047,[0.73509056 0.5432851 ],0.6372951668133457,[0.75567666 0.51891368],0.6428274672153984,[0.71559633 0.5700586 ],,0.7735543847084045,0.759969199444382,[0.81707317 0.70286523],0.7600046086932806,[0.81689528 0.70311394],0.7599339168910824,[0.81725114 0.70261669],5,1,True,200,0.1,0.0001,123,focal,2,True,5,64,2
0,,0.6523765325546265,0.6306927285326867,[0.72018005 0.54120541],0.629085940480568,[0.75542965 0.50274223],0.6370574750846802,[0.68807339 0.58604156],,0.7627712488174438,0.7510930036330008,[0.80500776 0.69717825],0.749060075381365,[0.81916573 0.67895442],0.7538691098782841,[0.79133086 0.71640736],5,1,True,300,0.1,0.001,1,focal,2,True,5,64,3
