,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6890959739685059,0.6645595982640863,[0.75528169 0.57383751],0.6623692163721159,[0.7734375  0.55130093],0.6681269337171849,[0.73795872 0.59829515],,0.8809812664985657,0.8739858843304851,[0.90367623 0.84429554],0.8736127902171694,[0.90515734 0.84206824],0.8743673049509264,[0.90219996 0.84653465],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6743709444999695,0.6546515011348135,[0.73717467 0.57212834],0.6525134909339603,[0.77556189 0.5294651 ],0.662338917998172,[0.70240826 0.62226958],,0.8723547458648682,0.8656445959262646,[0.89567038 0.83561882],0.8634069565822768,[0.90615247 0.82066144],0.8682797765260548,[0.88542801 0.85113154],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6974837183952332,0.6781788669978067,[0.75699955 0.59935818],0.6753229024709272,[0.79222814 0.55841766],0.685773706822814,[0.72477064 0.64677677],,0.8839465975761414,0.8780301081091557,[0.90489341 0.85116681],0.8752873057072181,[0.917974   0.83260061],0.8813801339993352,[0.89218035 0.87057992],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6790307760238647,0.662334133626433,[0.73741995 0.58724832],0.6606956065089806,[0.78762215 0.53376906],0.6729355659773306,[0.69323394 0.65263719],,0.8897425532341003,0.8837006497249631,[0.91020856 0.85719274],0.8820056695484964,[0.91745961 0.84655172],0.8855879469609842,[0.90307123 0.86810467],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6838769912719727,0.6671994962551238,[0.74169966 0.59269933],0.6653348033479056,[0.79109812 0.53957149],0.6777699353105922,[0.6981078  0.65743207],,0.8935166597366333,0.888410584073352,[0.9122807  0.86454047],0.8848393534931907,[0.93046433 0.83921438],0.8931184390959866,[0.89479416 0.89144272],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6777260303497314,0.64695039451105,[0.75118722 0.54271357],0.6464914266775765,[0.75411731 0.53886555],0.6474483792211855,[0.74827982 0.54661694],,0.8856988549232483,0.8794197531583521,[0.90693591 0.8519036 ],0.8777859979859345,[0.91395709 0.84161491],0.8812343703642542,[0.90002178 0.86244696],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6618825793266296,0.6381859147205067,[0.73078065 0.54559118],0.636216039279869,[0.75753846 0.51489362],0.6430148819852097,[0.70584862 0.58018114],,0.8933818340301514,0.887145650410745,[0.91367456 0.86061674],0.8866590240498124,[0.91557305 0.85774499],0.8876458522100771,[0.91178393 0.86350778],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7054985761642456,0.6832122643385066,[0.7672363  0.59918823],0.6805018710103456,[0.78909091 0.57191283],0.6878775789005489,[0.74655963 0.62919552],,0.896481990814209,0.8905803317937461,[0.91599212 0.86516854],0.8895764322338462,[0.92001758 0.85913529],0.8916444356263115,[0.91200174 0.87128713],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7125815749168396,0.6821113832669645,[0.78052946 0.5836933 ],0.6833472412895816,[0.77501413 0.59168035],0.681021436461658,[0.78612385 0.57591902],,0.8956732749938965,0.8893993351832823,[0.91574135 0.86305732],0.8895056595572846,[0.91534276 0.86366856],0.8892936167158116,[0.91614027 0.86244696],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7187325358390808,0.6994171783411999,[0.77561338 0.62322097],0.6960752204886638,[0.80568428 0.58646617],0.7062986025914865,[0.74770642 0.66489078],,0.8107561469078064,0.8006683251684017,[0.84551056 0.75582609],0.799008031363825,[0.85434734 0.74366872],0.8026211343946107,[0.83685472 0.76838755],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,384,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
