,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6857408881187439,0.6684557190297113,[0.74415781 0.59275362],0.6663291939144931,[0.79045777 0.54220062],0.6783421842389524,[0.70298165 0.65370272],,0.862784743309021,0.8550194158684604,[0.88857268 0.82146615],0.8539807216629804,[0.89306931 0.81489214],0.8561341034685352,[0.88412111 0.8281471 ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6473438739776611,0.6223965075867552,[0.71945433 0.52533869],0.6207649036596405,[0.745086   0.49644381],0.6266662654636278,[0.69552752 0.55780501],,0.8629195094108582,0.85488207124626,[0.88903437 0.82072977],0.8544820844953097,[0.89068649 0.81827768],0.8552924869609904,[0.88738837 0.82319661],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6767940521240234,0.65539233423333,[0.74127126 0.56951341],0.6530545263819927,[0.7728687  0.53324035],0.6616187381777481,[0.71215596 0.61108151],,0.8708720803260803,0.8631624606953656,[0.8956427  0.83068222],0.8631132828772445,[0.89583787 0.83038869],0.8632117848185229,[0.89544761 0.83097595],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.7082945108413696,0.6859181416727836,[0.76975136 0.60208492],0.6832233279594737,[0.79057117 0.57587549],0.6903969099627065,[0.75       0.63079382],,0.8739722371101379,0.8660149962826931,[0.89866696 0.83336304],0.8672030232860238,[0.89430544 0.84010061],0.8649019497898385,[0.90307123 0.82673267],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6538676619529724,0.633796997385363,[0.71952877 0.54806522],0.6323869674994023,[0.76029365 0.50448029],0.6414031455132874,[0.68291284 0.59989345],,0.868176281452179,0.8601724586351651,[0.89362628 0.82671864],0.8604707759144234,[0.89246144 0.82848011],0.8598794009064534,[0.89479416 0.82496464],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6753028631210327,0.6554114004046354,[0.73820258 0.57262022],0.6532190161668272,[0.77574226 0.53069577],0.662932627215985,[0.70412844 0.62173681],,0.8720852136611938,0.8650318905468393,[0.8958859  0.83417788],0.8635224685385485,[0.90251989 0.82452504],0.8667040658542002,[0.88934873 0.84405941],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.699533998966217,0.673647318516184,[0.76556137 0.58173326],0.6719401213124485,[0.7768595  0.56702074],0.6759083888500583,[0.75458716 0.59722962],,0.8615716695785522,0.8531567354955352,[0.88830886 0.81800461],0.8534740815384876,[0.88705474 0.81989343],0.8528455064132918,[0.88956654 0.81612447],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6760484576225281,0.6518289085545723,[0.74365782 0.56      ],0.6496610795865843,[0.76579587 0.53352629],0.6560009537227569,[0.72276376 0.58923815],,0.8645370006561279,0.8565943771902569,[0.8903437  0.82284506],0.8561924471087825,[0.89199825 0.82038664],0.8570067597356245,[0.88869527 0.82531825],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6693382859230042,0.6557207129776894,[0.72419154 0.58724988],0.6561863725239301,[0.79110054 0.5212722 ],0.6700336918907294,[0.66771789 0.67234949],,0.8683111071586609,0.8620546047998597,[0.89143238 0.83267683],0.8586547224604761,[0.90993648 0.80737297],0.8666419863351117,[0.87366587 0.8596181 ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6972972750663757,0.677823817244714,[0.75703172 0.59861592],0.6749681627160737,[0.79161452 0.55832181],0.6852612564946015,[0.72534404 0.64517848],,0.8639978170394897,0.8570285900190795,[0.88859446 0.82546272],0.8545109385750698,[0.90103    0.80799187],0.8601016471252253,[0.8764975 0.8437058],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,10,1,300,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
