,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,transformer_encoder_layers,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6876048445701599,0.663533153719503,[0.75352941 0.5735369 ],0.6612517383539112,[0.77355072 0.54895275],0.6674722803321718,[0.73451835 0.60042621],,0.7119557857513428,0.6949848132116123,[0.76693205 0.62303757],0.6948165391341815,[0.76802097 0.62161211],0.695157905341519,[0.76584622 0.62446959],20,3,5,6,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,1,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6945013999938965,0.6703557247648455,[0.75957166 0.58113979],0.6680794807316308,[0.77771102 0.55844794],0.6740065184292717,[0.74225917 0.60575386],,0.7102035284042358,0.6929011383037957,[0.76579521 0.62000707],0.6928750345541304,[0.76596208 0.61978799],0.6929273558715363,[0.7656284  0.62022631],20,3,5,6,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,1,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6913326978683472,0.6660938979840347,[0.75789474 0.57429306],0.6640814419874633,[0.77326969 0.55489319],0.6691089137947046,[0.74311927 0.59509856],,0.7114166617393494,0.695503980675219,[0.76511245 0.62589551],0.6947154611215716,[0.77077807 0.61865285],0.6964196369072138,[0.75952951 0.63330976],20,3,5,6,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,1,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6605778336524963,0.642639748652638,[0.72270443 0.56257507],0.6414766216093726,[0.77070477 0.51224847],0.6521002215373938,[0.68033257 0.62386787],,0.8456665277481079,0.8399001211799741,[0.87028435 0.80951589],0.8355624426508033,[0.90675165 0.76437323],0.8484811082626762,[0.8366369  0.86032532],20,3,5,6,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,1,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6844361424446106,0.6654524958267866,[0.74514527 0.58575973],0.6630490279739837,[0.7844691  0.54162896],0.6736477268283861,[0.70957569 0.63771977],,0.8462057113647461,0.8411306847916753,[0.86952544 0.81273593],0.8368042463176879,[0.9152624  0.75834609],0.851836213586819,[0.82814202 0.87553041],20,3,5,6,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,1,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6695246696472168,0.652120589286743,[0.72993145 0.57430972],0.650703902856974,[0.77868053 0.52272727],0.6620568030186761,[0.68692661 0.637187  ],,0.8366356492042542,0.8315994285058479,[0.86072167 0.80247718],0.8276134575093748,[0.91097057 0.74425635],0.8431531681966777,[0.81572642 0.87057992],20,3,5,6,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,1,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6913326978683472,0.669156484658618,[0.75481196 0.58350101],0.6665547586740486,[0.7804654  0.55264412],0.6743993715571892,[0.73079128 0.61800746],,0.7532012462615967,0.7386251423529379,[0.80034893 0.67690136],0.7384500200728776,[0.80131004 0.67559   ],0.7388039664345437,[0.79939011 0.67821782],20,3,5,6,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,1,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6754893064498901,0.6568620049612932,[0.73681028 0.57691373],0.6548627466446496,[0.77934122 0.53038427],0.6655366538689007,[0.69868119 0.63239212],,0.7266477942466736,0.7180574754739739,[0.76727106 0.66884389],0.7160882946483025,[0.81081737 0.62135922],0.7261752515606914,[0.7281638 0.7241867],20,3,5,6,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,1,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6883504390716553,0.664766396186065,[0.75368297 0.57584982],0.6623941595128036,[0.77515152 0.5496368 ],0.6690299460392095,[0.73337156 0.60468833],,0.7716673612594604,0.7617315826449063,[0.81038728 0.71307588],0.7589277560380709,[0.83352521 0.6843303 ],0.7664207645054265,[0.78849924 0.74434229],20,3,5,6,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,1,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6987884640693665,0.6670258398861707,[0.76986614 0.56418554],0.6680641081394842,[0.76485569 0.57127253],0.6661074517456609,[0.77494266 0.55727224],,0.7137080430984497,0.6905637183670328,[0.77519052 0.60593692],0.695678006923058,[0.75396335 0.63739266],0.6875437290905243,[0.79764757 0.57743989],20,3,5,6,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,1,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
