,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,transformer_encoder_layers,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6963653564453125,0.6471308091275041,[0.7789388  0.51532282],0.6615290401576275,[0.73950013 0.58355795],0.642097817374006,[0.8228211  0.46137453],,0.7045423984527588,0.6681452183618588,[0.77804779 0.55824264],0.6879895178215654,[0.7269631  0.64901593],0.6633000594299714,[0.83685472 0.4897454 ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6946877837181091,0.6511670278895848,[0.77438017 0.52795389],0.6601218447089899,[0.745228   0.57501569],0.6469593748319835,[0.80590596 0.48801279],,0.7118210196495056,0.6820844924759286,[0.77931462 0.58485437],0.6946052777663712,[0.74063174 0.64857881],0.6773963849694239,[0.82226095 0.53253182],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6868592500686646,0.6542774440005559,[0.76041072 0.54814416],0.6550151024618338,[0.75652667 0.55350353],0.6536112244798209,[0.76433486 0.54288759],,0.7189648151397705,0.69923885841225,[0.77626355 0.62221417],0.7015348444806622,[0.76501692 0.63805277],0.6974943211874163,[0.78784579 0.60714286],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6918919086456299,0.6683992146138273,[0.75666127 0.58013716],0.6659893071691906,[0.77760968 0.55436893],0.6726148072025924,[0.73681193 0.60841769],,0.847553551197052,0.8383528136085034,[0.87691805 0.79978757],0.8385152045053264,[0.87625054 0.80077987],0.8381921596802304,[0.87758658 0.79879774],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6846225261688232,0.6507411954853268,[0.75952246 0.54195994],0.6520042142386915,[0.75310034 0.55090809],0.6496764307674261,[0.76605505 0.53329782],,0.7669497132301331,0.7493097955878629,[0.8158091  0.68281049],0.7539332958555818,[0.79837364 0.70949295],0.7460426617233089,[0.83402309 0.65806223],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0003,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6887232065200806,0.6604150330899721,[0.75846109 0.56236897],0.659351011453536,[0.76532399 0.55337803],0.661688541396822,[0.75172018 0.5716569 ],,0.8017253279685974,0.7872049054125538,[0.84279149 0.73161832],0.791533357829417,[0.82731851 0.75574821],0.783917946280112,[0.85885428 0.70898161],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0003,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6792171597480774,0.6589449660485835,[0.74209501 0.57579492],0.6565869255253266,[0.77739403 0.53577982],0.6660659822183554,[0.70986239 0.62226958],,0.8509232997894287,0.842486713114457,[0.87894046 0.80603297],0.8414854011497184,[0.88338834 0.79958246],0.8435627697878852,[0.87453714 0.8125884 ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6797763109207153,0.6619804910278267,[0.73953911 0.58442187],0.6599863915437686,[0.78474903 0.53522375],0.6714173841480402,[0.69925459 0.64358018],,0.8456665277481079,0.8369431926906215,[0.87465791 0.79922848],0.835938495101041,[0.87918134 0.79269565],0.8380253306003967,[0.87018079 0.80586987],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6643056869506836,0.6461894168493967,[0.72625019 0.56612864],0.6447998373579835,[0.77288903 0.51671064],0.6554593296202704,[0.68491972 0.62599893],,0.8455317616462708,0.8378279367878366,[0.87317397 0.8024819 ],0.8351490949307194,[0.88751406 0.78278413],0.8412432602130051,[0.85928992 0.82319661],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(32, 32)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6965517401695251,0.6714474485644262,[0.76226636 0.58062854],0.6694402386889918,[0.77678571 0.56209476],0.6743530142771259,[0.74827982 0.60042621],,0.7211214303970337,0.704530964054453,[0.77454506 0.63451687],0.7044621139338267,[0.77496729 0.63395694],0.7046005390905334,[0.77412328 0.63507779],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6956197619438171,0.6662301508250237,[0.76527239 0.56718791],0.6658570545871633,[0.76736812 0.56434599],0.6666233387750314,[0.76318807 0.5700586 ],,0.7142472267150879,0.6939406464026601,[0.77277599 0.6151053 ],0.6963992812892701,[0.76070901 0.63208955],0.6921209382972713,[0.78523198 0.5990099 ],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.68369060754776,0.6580161574918795,[0.75171909 0.56431322],0.6560758225270444,[0.76755303 0.54459861],0.6610170099905667,[0.73652523 0.58550879],,0.7220649719238281,0.7037006979952335,[0.777466   0.62993539],0.7050292714488393,[0.77048128 0.63957726],0.7025792191659656,[0.78457852 0.62057992],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6872320771217346,0.6623277181087018,[0.75403108 0.57062436],0.6602181779301451,[0.77144571 0.54899065],0.6657091762670277,[0.73738532 0.59403303],,0.8400053977966309,0.8306471391119523,[0.87045727 0.790837  ],0.830232035010376,[0.87226597 0.7881981 ],0.831074850647152,[0.86865607 0.79349364],20,3,5,6,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,2,10,1,"(128, 128)",0.1,0.0003,1,focal,2,True,5,Conv1d,,concatenation,64,4
