,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6712022423744202,0.6432800567383072,[0.74308185 0.54347826],0.6418077032981997,[0.75518058 0.52843483],0.6453839910211981,[0.73136468 0.5594033 ],,0.8823291659355164,0.8752951200395664,[0.90491232 0.84567792],0.8752696742653701,[0.90501089 0.84552846],0.8753206029754421,[0.90481377 0.84582744],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6536812782287598,0.6268350582184283,[0.72692534 0.52674478],0.625207226921132,[0.74577805 0.50463641],0.6299406779557463,[0.70900229 0.55087906],,0.8794986009597778,0.8729282350126426,[0.90182297 0.8440335 ],0.8712010241344279,[0.90941307 0.83298898],0.8748666753752576,[0.89435853 0.85537482],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6546132564544678,0.630293758808389,[0.72511497 0.53547255],0.628494152251069,[0.75130649 0.50568182],0.6348405737244187,[0.70068807 0.56899307],,0.8672327995300293,0.8600927945649254,[0.89169874 0.82848685],0.858217166977933,[0.90031083 0.8161235 ],0.8622401941317448,[0.88324984 0.84123055],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6553587913513184,0.6237951777643382,[0.73276485 0.51482551],0.6230452649469811,[0.73885165 0.50723888],0.6247100187934094,[0.72677752 0.52264251],,0.8858336806297302,0.8783510580705294,[0.90852144 0.84818068],0.8805395841101016,[0.90102828 0.86005089],0.8763869689081738,[0.91614027 0.83663366],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6579683423042297,0.622902777287802,[0.73789459 0.50791097],0.6233040468632706,[0.735269   0.51133909],0.6225337468779479,[0.74053899 0.5045285 ],,0.8971559405326843,0.8907537631514779,[0.91720022 0.86430731],0.8916684978737365,[0.91392734 0.86940966],0.8898805608537952,[0.92049662 0.8592645 ],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7092264890670776,0.6796164492802222,[0.77701544 0.58221746],0.6800765877701496,[0.77480046 0.58535272],0.679179364641019,[0.77924312 0.57911561],,0.8889338374137878,0.8822385489345471,[0.91031781 0.85415929],0.8823955305026681,[0.90972373 0.85506733],0.882082918828025,[0.91091266 0.85325318],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6557316184043884,0.6321640535280721,[0.72527146 0.53905665],0.6303372009491259,[0.75363215 0.50704225],0.6371770722849756,[0.69896789 0.57538625],,0.8881250619888306,0.8815575483320188,[0.90944796 0.85366714],0.8811520370754652,[0.91103825 0.85126582],0.8819726237022993,[0.90786321 0.85608204],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6754893064498901,0.6451811368385032,[0.74888216 0.54148012],0.6444862723754233,[0.75355588 0.53541667],0.6459742635378531,[0.74426606 0.54768247],,0.8894729614257812,0.8819316935843727,[0.91177104 0.85209235],0.8852877882916836,[0.90091431 0.86966127],0.8790559260985688,[0.92289262 0.83521924],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6669151782989502,0.6401961346150822,[0.7382452  0.54214707],0.6384641174169756,[0.75471698 0.52221125],0.6430712438841995,[0.72247706 0.56366542],,0.8751853108406067,0.8670898256882509,[0.89989189 0.83428776],0.8689449825956307,[0.89332475 0.84456522],0.8654068657791503,[0.90655631 0.82425743],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6698974967002869,0.6376717585270308,[0.74572864 0.52961487],0.6374901440702339,[0.74690825 0.52807203],0.63785975387721,[0.74455275 0.53116676],,0.8801725506782532,0.8731466679822273,[0.90300055 0.84329279],0.872725952372353,[0.90467862 0.84077329],0.873578063223754,[0.90132869 0.84582744],80,3,5,26,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
