,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6736253499984741,0.6535981525952625,[0.73688956 0.57030675],0.6514483557547077,[0.77423429 0.52866242],0.6610273200940404,[0.70298165 0.61907299],,0.8575279712677002,0.8507232236498145,[0.88259469 0.81885176],0.8474890938972557,[0.90049864 0.79447955],0.8550777118505951,[0.8653888  0.84476662],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6863000988960266,0.664621851670386,[0.74988854 0.57935516],0.6620659935582878,[0.77846344 0.54566855],0.6704059248116994,[0.72333716 0.61747469],,0.8660196661949158,0.8600765562658577,[0.88891372 0.83123939],0.856130745707224,[0.91278403 0.79947747],0.8659447470714026,[0.86626007 0.86562942],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6734389662742615,0.645304033523793,[0.7452007  0.54540737],0.6439059515001024,[0.75619835 0.53161356],0.6472272084088899,[0.73451835 0.55993607],,0.8645370006561279,0.8580498880891076,[0.88839534 0.82770444],0.8547676542720297,[0.90620752 0.80332779],0.8624383325471981,[0.87126988 0.85360679],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6410065293312073,0.6147342786228882,[0.71534141 0.51412714],0.6132578473966357,[0.73825503 0.48826066],0.618347463011931,[0.69380734 0.54288759],,0.8723547458648682,0.8655419099134491,[0.89580812 0.8352757 ],0.8635238469560589,[0.90506892 0.82197877],0.8678724085651868,[0.88673492 0.8490099 ],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6767940521240234,0.6428030041237587,[0.75299145 0.53261456],0.6436541689758479,[0.74830125 0.53900709],0.6420563478467005,[0.75774083 0.52637187],,0.8723547458648682,0.8651754017804087,[0.89628737 0.83406343],0.8639987575225735,[0.90132159 0.82667593],0.8664466207021486,[0.89130908 0.84158416],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6926374435424805,0.6617172818295693,[0.76399027 0.5594443 ],0.6619413079896966,[0.76278937 0.56109325],0.6614999810599581,[0.76519495 0.55780501],,0.8766680359840393,0.8698843295508072,[0.89959399 0.84017467],0.8683132301300878,[0.90645732 0.83016914],0.8716290667091415,[0.89283381 0.85042433],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6730661988258362,0.6509310177926987,[0.73883264 0.5630294 ],0.6486830111350206,[0.76858736 0.52877866],0.6566601893759806,[0.71129587 0.60202451],,0.8711416721343994,0.8640451784960959,[0.89510643 0.83298393],0.8625197425558502,[0.90183507 0.82320442],0.8657380207324028,[0.88847746 0.84299859],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7021435499191284,0.6775018567604134,[0.7666472  0.58835652],0.675413029925187,[0.78125    0.56957606],0.680498981514519,[0.75258028 0.60841769],,0.870198130607605,0.8630229667702147,[0.89437315 0.83167278],0.8615625829118971,[0.9007954  0.82232976],0.8646361862903158,[0.88804182 0.84123055],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.681826651096344,0.6560009315489914,[0.75025604 0.56174583],0.654090034624146,[0.76605916 0.54212091],0.6589683542447689,[0.73509174 0.58284497],,0.86858069896698,0.8608189589263322,[0.89368662 0.8279513 ],0.8605535653583662,[0.89475983 0.82634731],0.8610887576917756,[0.89261599 0.82956153],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6659832000732422,0.6454533439069522,[0.73076923 0.56013746],0.6435106642207233,[0.76767677 0.51934456],0.652566314585543,[0.69724771 0.60788492],,0.859010636806488,0.8522678070783152,[0.88382941 0.82070621],0.849030694559216,[0.9016542  0.79640719],0.856615181230604,[0.86669571 0.84653465],35,3,5,11,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
