,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6877912282943726,0.6562127465377963,[0.76040624 0.55201926],0.6565104699271118,[0.75877819 0.55424275],0.6559274083179776,[0.76204128 0.54981353],,0.8424316048622131,0.8303479257836106,[0.87562507 0.78507079],0.8367797972994071,[0.85586522 0.81769437],0.8256346899120319,[0.89631888 0.7549505 ],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6782851815223694,0.6463149337454723,[0.75265119 0.53997868],0.6463510983763132,[0.75243553 0.54026667],0.6462789843738544,[0.75286697 0.539691  ],,0.8509232997894287,0.840494884508183,[0.88127952 0.79971025],0.8441910889572359,[0.86878307 0.81959911],0.8374522503748647,[0.89414071 0.78076379],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.686113715171814,0.6497349904147449,[0.7626163  0.53685369],0.6524996870543283,[0.75013866 0.55486072],0.6477473722219236,[0.77551606 0.51997869],,0.7918856739997864,0.7739273974289748,[0.83764458 0.71021021],0.7832587111201463,[0.80971742 0.7568    ],0.7682955120666872,[0.86756698 0.66902405],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6816402673721313,0.6608941001904501,[0.74476987 0.57701833],0.6584400226232712,[0.77777778 0.53910227],0.6675604126240878,[0.71444954 0.62067128],,0.8749157786369324,0.8672847473780146,[0.8991085  0.83546099],0.8676925243020316,[0.89754721 0.83783784],0.8668864148138061,[0.90067523 0.8330976 ],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7021435499191284,0.6736603098473603,[0.77007194 0.57724868],0.67313445613102,[0.7729636  0.57330531],0.6742242525404095,[0.76720183 0.58124667],,0.8861032724380493,0.877982115554341,[0.90946105 0.84650318],0.8826791543376754,[0.89498102 0.87037729],0.8741605786119266,[0.92441734 0.82390382],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6805219054222107,0.6383004181669942,[0.7618783  0.51472254],0.6441641354712095,[0.73908356 0.54924471],0.6352036421089675,[0.78612385 0.48428343],,0.8704677224159241,0.8607060392485855,[0.89758073 0.82383135],0.8670522832432941,[0.87875626 0.85534831],0.8558919086201803,[0.91722936 0.79455446],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7008387446403503,0.681060816763882,[0.76048351 0.60163812],0.678112674231196,[0.79302832 0.56319703],0.6881079142492657,[0.73050459 0.64571124],,0.8785550594329834,0.8715032455118006,[0.90160533 0.84140116],0.8708941368400738,[0.90407359 0.83771469],0.8721353690896987,[0.89915051 0.84512023],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6687791347503662,0.6325791258450906,[0.7479075  0.51725075],0.6339788457239708,[0.74024151 0.52771619],0.6314631365686998,[0.75573394 0.50719233],,0.8780158758163452,0.8713063587360443,[0.90069132 0.8419214 ],0.8697290445346244,[0.90756303 0.83189506],0.87305762735467,[0.89392289 0.85219236],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7066169381141663,0.6811948807006947,[0.77122093 0.59116883],0.6794605266618214,[0.78213443 0.57678662],0.6834472128811836,[0.7606078  0.60628663],,0.8410837054252625,0.8318785327823849,[0.87121791 0.79253915],0.8312932552174868,[0.87379492 0.78879159],0.8324892778041535,[0.86865607 0.79632249],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6816402673721313,0.6550709882036145,[0.75080245 0.55933953],0.6533399646941712,[0.76440879 0.54227114],0.6575946666063843,[0.73767202 0.57751731],,0.7956597805023193,0.7830443988006414,[0.83536056 0.73072824],0.7835634669193405,[0.83300845 0.73411849],0.7825475755560123,[0.83772599 0.72736917],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
