,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.3151366167208728,0.6043851375579834,0.599656981529421,[0.55614973 0.64316423],0.6188388468181214,[0.67357513 0.56410256],0.6107941712204007,[0.47358834 0.748     ],0.22197479009628296,0.6192170977592468,0.573499581542477,[0.71313673 0.43386243],0.5784156890626851,[0.68556701 0.47126437],0.5724887720451309,[0.74301676 0.40196078],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.001,1,focal,2,False,,Conv1d,,concatenation,64,0
0,0.3187178101609735,0.6148713231086731,0.6112676573105852,[0.57383966 0.64869565],0.6277752072488915,[0.68170426 0.57384615],0.6207231329690346,[0.49544627 0.746     ],0.2207108348608017,0.6120996475219727,0.5608430711878987,[0.71087533 0.41081081],0.5672995010344408,[0.67676768 0.45783133],0.5605761857815752,[0.74860335 0.37254902],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.001,12,focal,2,False,,Conv1d,,concatenation,64,0
0,0.29481421586345224,0.6177312135696411,0.6159217762324726,[0.58955988 0.64228368],0.6263036705946092,[0.6728972  0.57971014],0.6222950819672131,[0.52459016 0.72      ],0.22013031244277953,0.5978647470474243,0.5311480251015135,[0.70801034 0.35428571],0.5416556902002108,[0.65865385 0.42465753],0.5346423485595355,[0.76536313 0.30392157],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.001,123,focal,2,False,,Conv1d,,concatenation,64,0
0,0.41036825495607715,0.6196377873420715,0.6091292909993025,[0.54503991 0.67321867],0.6493500727309631,[0.72865854 0.57004161],0.6286684881602914,[0.43533698 0.822     ],0.24298401176929474,0.6227757930755615,0.58071509009009,[0.71351351 0.44791667],0.5844386271087841,[0.69109948 0.47777778],0.5794993975243729,[0.73743017 0.42156863],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,1
0,0.98753321872038,0.6301239132881165,0.6291773263653525,[0.61044177 0.64791289],0.6365563706362833,[0.68008949 0.59302326],0.6338670309653915,[0.55373406 0.714     ],0.9192490577697754,0.7437722086906433,0.7229707525468287,[0.79888268 0.64705882],0.7229707525468287,[0.79888268 0.64705882],0.7229707525468287,[0.79888268 0.64705882],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,1
0,0.875833644586451,0.5567206740379333,0.556662670630589,[0.56173421 0.55159113],0.5573098521880819,[0.58203125 0.53258845],0.5574025500910746,[0.5428051 0.572    ],0.2630996972322464,0.7402135133743286,0.6773924667767556,[0.81975309 0.53503185],0.7490748189863234,[0.73451327 0.76363636],0.6695695037791654,[0.9273743  0.41176471],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,1
0,0.5027735496268553,0.5681601762771606,0.5628141258297338,[0.51446945 0.6111588 ],0.5801691729323308,[0.625      0.53533835],0.5745792349726776,[0.43715847 0.712     ],0.16760390400886535,0.8398576378822327,0.8176824257104547,[0.88126649 0.75409836],0.8434259259259259,[0.835      0.85185185],0.8047157410450214,[0.93296089 0.67647059],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,1,focal,2,False,,Conv1d,,concatenation,64,2
0,0.5504618006594041,0.5624404549598694,0.5614440646287779,[0.54054054 0.58234759],0.5671118530884808,[0.6        0.53422371],0.5659016393442623,[0.49180328 0.64      ],0.35209220051765444,0.6690391302108765,0.6293033746116856,[0.75067024 0.50793651],0.6366868112335584,[0.72164948 0.55172414],0.6263555701610253,[0.78212291 0.47058824],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,12,focal,2,False,,Conv1d,,concatenation,64,2
0,0.3562372396974003,0.5290753245353699,0.5287151224126014,[0.54174397 0.51568627],0.5288770539479424,[0.55198488 0.50576923],0.5289380692167578,[0.53187614 0.526     ],0.2651914834976196,0.7117437720298767,0.6420382165605095,[0.8        0.48407643],0.7038616251005632,[0.71681416 0.69090909],0.6387884762843685,[0.90502793 0.37254902],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.5,0.0005,123,focal,2,False,,Conv1d,,concatenation,64,2
0,0.4189436348045574,0.5929456949234009,0.5738599984587823,[0.48367594 0.66404406],0.6333827879330777,[0.71942446 0.54734112],0.6041493624772313,[0.36429872 0.844     ],0.2506833255290985,0.5800711512565613,0.5531266846361186,[0.66285714 0.44339623],0.5528176501860712,[0.67836257 0.42727273],0.5544145032314601,[0.64804469 0.46078431],35,3,5,11,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(256, 256)",0.1,0.001,1,focal,2,False,,Conv1d,,concatenation,64,3
