,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6717613935470581,0.6492204447043427,[0.73814126 0.56029963],0.6470074920851712,[0.76675935 0.52725564],0.6546724777973831,[0.71158257 0.59776239],,0.8718156218528748,0.8650599727907841,[0.89525278 0.83486716],0.8628618656916567,[0.90552585 0.82019788],0.8676404576076988,[0.88521019 0.85007072],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6661696434020996,0.6367840177505955,[0.74009578 0.53347226],0.6356276152570302,[0.74933882 0.52191641],0.6383146967393801,[0.73107798 0.54555141],,0.866828441619873,0.8580900591416293,[0.89330454 0.82287558],0.8601941237173621,[0.88584279 0.83454545],0.8562103164761508,[0.90089305 0.81152758],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6581547260284424,0.6322073368569785,[0.72989691 0.53451777],0.6304379930434794,[0.75045427 0.51042172],0.6357186890558328,[0.71043578 0.5610016 ],,0.8538886904716492,0.8458820345988507,[0.88100988 0.81075419],0.8443589900115223,[0.88802832 0.80068966],0.8475882337899284,[0.8741015  0.82107496],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6972972750663757,0.6733370285920643,[0.76180698 0.58486708],0.671021021021021,[0.77987988 0.56216216],0.6770179850972418,[0.74455275 0.60948322],,0.891090452671051,0.8839936327386966,[0.91268641 0.85530086],0.8860566476604415,[0.90564015 0.86647315],0.8821280920760962,[0.91984317 0.84441301],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6959925293922424,0.6700634952199954,[0.76255641 0.57757058],0.6683094301886252,[0.77462289 0.56199597],0.6724465615881287,[0.75086009 0.59403303],,0.8804420828819275,0.8724049514608154,[0.9044284 0.8403815],0.8752537500947339,[0.89488273 0.85562477],0.8699258850644687,[0.91417992 0.82567185],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6568499803543091,0.6317756347344512,[0.72786401 0.53568726],0.6299588037839488,[0.75129692 0.50862069],0.6358225538019384,[0.70584862 0.56579648],,0.8657500743865967,0.8571435531242606,[0.89220779 0.82207931],0.8586641046209231,[0.88664229 0.83068592],0.8557464145611748,[0.89784361 0.81364922],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6838769912719727,0.6664293054662681,[0.74271845 0.59014016],0.6643431653724974,[0.78865979 0.54002654],0.6761704945917015,[0.70183486 0.65050613],,0.8898773193359375,0.8831028606258631,[0.91124389 0.85496183],0.8837198574902239,[0.90897269 0.85846702],0.8825058066686651,[0.91352646 0.85148515],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6767940521240234,0.6488680328900943,[0.74789183 0.54984424],0.6474522982711624,[0.75870206 0.53620253],0.6507917548498727,[0.73738532 0.56419819],,0.8882598876953125,0.8816763734920106,[0.90958665 0.8537661 ],0.8813454273526157,[0.91087811 0.85181274],0.8820136377766351,[0.90829885 0.85572843],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6620689630508423,0.6339892987510944,[0.7353671 0.5326115],0.6325088084677737,[0.7490336  0.51598402],0.6362683321276876,[0.72219037 0.5503463 ],,0.8807116746902466,0.8738019520885587,[0.90333151 0.84427239],0.8731418579271877,[0.90600351 0.84028021],0.8744889607826887,[0.90067523 0.84830269],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6551724076271057,0.6316037220411899,[0.72478429 0.53842315],0.6297909036060139,[0.75324675 0.50633505],0.6366239925119628,[0.6983945  0.57485349],,0.8723547458648682,0.8660299616248242,[0.89513897 0.83692096],0.86303516507444,[0.91036036 0.81570997],0.8698413537093822,[0.88041821 0.8592645 ],80,3,5,26,15,3,umap,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,384,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
