,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,add_time_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.48640868944280286,0.6072450280189514,0.594916919108605,[0.52424942 0.66558442],0.638098808846598,[0.71608833 0.56010929],0.6167395264116575,[0.41347905 0.82      ],0.21321287751197815,0.6690391302108765,0.655351137487636,[0.72403561 0.58666667],0.654368632293918,[0.7721519  0.53658537],0.6643115346697338,[0.68156425 0.64705882],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.3090121123720618,0.6367969512939453,0.6327587680246549,[0.67126833 0.5942492 ],0.6366201127749356,[0.63770492 0.63553531],0.633280510018215,[0.70856102 0.558     ],0.20750926434993744,0.6868327260017395,0.65529162484666,[0.75956284 0.55102041],0.6588917965638867,[0.74331551 0.57446809],0.6529740387775222,[0.77653631 0.52941176],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.31267864914501414,0.6329838037490845,0.6322137297524718,[0.64904284 0.61538462],0.6322027477890934,[0.64963504 0.61477046],0.6322258652094718,[0.64845173 0.616     ],0.19647830426692964,0.7117437720298767,0.63012496546793,[0.80387409 0.45637584],0.7164029823604292,[0.70940171 0.72340426],0.6303538175046555,[0.9273743  0.33333333],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.3009683279430165,0.6348903775215149,0.6321828873176898,[0.66374012 0.60062565],0.6340644732469258,[0.64067797 0.62745098],0.6322622950819672,[0.68852459 0.576     ],0.20934819281101227,0.6868327260017395,0.5688380527270192,[0.79439252 0.34328358],0.7007404618473896,[0.68273092 0.71875   ],0.5876054332347465,[0.94972067 0.2254902 ],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.35154223529731526,0.6234509348869324,0.6210208122779177,[0.65136805 0.59067358],0.6223762704374725,[0.63184932 0.61290323],0.6210655737704918,[0.67213115 0.57      ],0.19689320921897888,0.7437722086906433,0.6963985594237695,[0.81632653 0.57647059],0.7358809721071526,[0.75117371 0.72058824],0.6871234527330485,[0.89385475 0.48039216],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.27822379504933076,0.631077229976654,0.6294270840464773,[0.6541555  0.60469867],0.6300296670695528,[0.64210526 0.61795407],0.6293333333333333,[0.66666667 0.592     ],0.20832140147686004,0.7295373678207397,0.6679726368159205,[0.81094527 0.525     ],0.7275398175351786,[0.7309417  0.72413793],0.6611896155110089,[0.91061453 0.41176471],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.3795437760212842,0.5795996189117432,0.5640686884716033,[0.48178613 0.64635124],0.6091496227736554,[0.67880795 0.5394913 ],0.5897030965391621,[0.37340619 0.806     ],0.23080309927463533,0.6298932433128357,0.6031073446327684,[0.70621469 0.5       ],0.6024258760107817,[0.71428571 0.49056604],0.6040639719574981,[0.69832402 0.50980392],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.2652103339924532,0.6396568417549133,0.629341095706017,[0.69117647 0.56750572],0.6448841354723708,[0.62666667 0.6631016 ],0.6332459016393442,[0.7704918 0.496    ],0.2013126105070114,0.6725978851318359,0.6396230623396899,[0.74863388 0.53061224],0.6429059051086585,[0.73262032 0.55319149],0.6375835250301238,[0.76536313 0.50980392],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.39224883037454944,0.6196377873420715,0.6127399956143638,[0.66442389 0.56105611],0.6203296913202934,[0.6171875  0.62347188],0.6147449908925319,[0.71948998 0.51      ],0.20964381694793702,0.7153024673461914,0.6478255420478756,[0.8019802  0.49367089],0.7082142857142857,[0.72       0.69642857],0.6436904370686822,[0.90502793 0.38235294],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.43731240139288063,0.6043851375579834,0.5980200872225356,[0.5474373  0.64860288],0.6222367202962396,[0.68206522 0.56240822],0.6115974499089254,[0.4571949 0.766    ],0.21053626537322997,0.6548042893409729,0.6259862508061529,[0.72980501 0.52216749],0.6262651265126513,[0.72777778 0.52475248],0.6257257092781247,[0.73184358 0.51960784],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,3
