,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6918919086456299,0.6761735085983945,[0.74751795 0.60482907],0.674251784860167,[0.79993462 0.54856895],0.6877479770813273,[0.70154817 0.67394779],,0.8304353952407837,0.8232985500529361,[0.85881033 0.78778677],0.8195395066062185,[0.88585321 0.75322581],0.8295207445722013,[0.83336964 0.82567185],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6974837183952332,0.6816635907485773,[0.75262917 0.61069801],0.6794297600732382,[0.8034494  0.55541012],0.6930327070085487,[0.7078555  0.67820991],,0.8362312912940979,0.8292319810132911,[0.86380451 0.79465946],0.8254630339198094,[0.88983834 0.76108773],0.8352901347171777,[0.83925071 0.83132956],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6859273314476013,0.670691144883875,[0.74152477 0.59985752],0.669278848641162,[0.79742659 0.54113111],0.6829147533151183,[0.69294725 0.67288226],,0.8367704749107361,0.8312659057839148,[0.86174221 0.8007896 ],0.827081479727779,[0.90547025 0.74869271],0.8413610264471074,[0.82204313 0.86067893],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.7006523609161377,0.6815806761279762,[0.75950883 0.60365252],0.6786415882967607,[0.79498433 0.56229885],0.6893179385413968,[0.72706422 0.65157166],,0.8034775853157043,0.792922213550457,[0.83967451 0.74616992],0.79139501420635,[0.84787919 0.73491084],0.7947032229283233,[0.8316271  0.75777935],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7131407260894775,0.694236549855503,[0.77026422 0.61820888],0.6909733457442455,[0.80348801 0.57845868],0.7017520760729838,[0.7396789  0.66382525],,0.7975468635559082,0.7872388499584304,[0.83406982 0.74040788],0.7851803755149998,[0.84622282 0.72413793],0.7898433439510364,[0.82226095 0.75742574],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7105312347412109,0.6912716476533225,[0.7683818  0.61416149],0.6880825155467722,[0.80074604 0.57541899],0.6985148563245076,[0.73853211 0.6584976 ],,0.8063081502914429,0.797299957325218,[0.84003117 0.75456874],0.7944136875587833,[0.85906193 0.72976544],0.8014713539219622,[0.82182531 0.7811174 ],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7021435499191284,0.6871902284705503,[0.75558275 0.61879771],0.6850476224197146,[0.80983607 0.56025918],0.6995692362397541,[0.7081422  0.69099627],,0.8184391260147095,0.8095827789878429,[0.85064863 0.76851693],0.8069406956189255,[0.86630533 0.74757606],0.8131062958491138,[0.83554781 0.79066478],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6892823576927185,0.6763609419266621,[0.74102843 0.61169345],0.6761044966415823,[0.80874873 0.54346026],0.6916467236171325,[0.68377294 0.69952051],,0.8106213808059692,0.804195530309114,[0.83966678 0.76872428],0.8004783012329989,[0.88183126 0.71912535],0.813511160603567,[0.80135047 0.82567185],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6907735466957092,0.6740856427280117,[0.74783402 0.60033727],0.6718960513784877,[0.79585895 0.54793316],0.6845502412105986,[0.70527523 0.66382525],,0.8247742056846619,0.8185225025548761,[0.85220555 0.78483946],0.8145149379905245,[0.89131986 0.73771002],0.8273907854892282,[0.81637987 0.8384017 ],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6922646760940552,0.6795665140194296,[0.74335458 0.61577845],0.6792893824804613,[0.81188455 0.54669421],0.6951706406133152,[0.68549312 0.70484816],,0.8378487825393677,0.8316102502346263,[0.8640217 0.7991988],0.8274513494849993,[0.89802632 0.75687638],0.8395165099171646,[0.83249837 0.84653465],35,3,5,11,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
