,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6894688010215759,0.673258100836404,[0.74603659 0.60047962],0.67127953679223,[0.79654948 0.54600959],0.684285004252345,[0.70154817 0.66702184],,0.7580536603927612,0.748554520878354,[0.79742693 0.69968211],0.7457103961482141,[0.82740047 0.66402032],0.75447045708087,[0.76954912 0.7393918 ],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.68369060754776,0.6698625671880833,[0.73742844 0.6022967 ],0.6693326535635175,[0.8010084 0.5376569],0.6839013156608487,[0.68319954 0.68460309],,0.765062689781189,0.7585330770671034,[0.79824054 0.71882562],0.7563550652332203,[0.85177866 0.66093147],0.7694352797136763,[0.75103463 0.78783593],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6958061456680298,0.6790745750038486,[0.75235205 0.6057971 ],0.6766467573412789,[0.79916183 0.55413168],0.6894049252662604,[0.71072248 0.66808737],,0.7608842253684998,0.7509322460623948,[0.80071894 0.70114555],0.7481423788835062,[0.82672234 0.66956242],0.756078593903514,[0.77630146 0.73585573],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6958061456680298,0.6759194142469788,[0.75619958 0.59563925],0.6730982493743638,[0.78945727 0.55673923],0.6830071623906977,[0.72563073 0.64038359],,0.7577840685844421,0.7452121241401708,[0.80180876 0.68861549],0.7436352129240194,[0.81210903 0.6751614 ],0.7471915949568633,[0.7917665  0.70261669],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6980428695678711,0.6769463875147639,[0.75950119 0.59439159],0.6741303394291113,[0.78756158 0.5606991 ],0.6828818373551392,[0.73337156 0.63239212],,0.7607493996620178,0.7471262202557223,[0.80581993 0.68843251],0.7464819843802069,[0.80945055 0.68351342],0.7478223259516729,[0.80222174 0.69342291],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7017707228660583,0.682523057021877,[0.76069399 0.60435213],0.6795488672113656,[0.79518449 0.56391324],0.6900549963830629,[0.7290711  0.65103889],,0.7561665773391724,0.7440216646523977,[0.79977864 0.68826469],0.7421334024158719,[0.8130063 0.6712605],0.7465636367445438,[0.78697452 0.70615276],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6943150162696838,0.6763799515493126,[0.75256488 0.60019503],0.6737629714449296,[0.79426752 0.55325843],0.6854283565420127,[0.71502294 0.65583378],,0.7565709948539734,0.7456545271233468,[0.79834748 0.69296158],0.7431682183469597,[0.81901489 0.66732155],0.7496740440139169,[0.77869745 0.72065064],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6926374435424805,0.6792516092645753,[0.74477635 0.61372687],0.6784712074219819,[0.80928355 0.54765886],0.693857897142131,[0.68979358 0.69792222],,0.7545491456985474,0.7452153139148412,[0.79398122 0.69644941],0.7424092499648118,[0.82603578 0.65878272],0.7515030406640876,[0.7643215  0.73868458],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7012115716934204,0.6808859354590029,[0.76142283 0.60034904],0.6779520211447386,[0.79170535 0.56419869],0.687410340285347,[0.73337156 0.64144912],,0.7625016570091248,0.7502531422499725,[0.80556169 0.6949446 ],0.7485863594938829,[0.81637218 0.68080054],0.7523612938665742,[0.79503376 0.70968883],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6890959739685059,0.6730368222968162,[0.74549893 0.60057471],0.671129099211291,[0.79680365 0.54545455],0.6842443748075447,[0.70040138 0.66808737],,0.7634451985359192,0.7533631369604699,[0.80322906 0.70349721],0.7506012177743386,[0.82763401 0.67356842],0.7582157545187882,[0.78022217 0.73620934],20,3,5,6,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
