,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,add_time_in_path,num_features,embedding_dim,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.4495120574446285,0.6101048588752747,0.5982765933739763,[0.52934407 0.66720911],0.6405821330589849,[0.71875    0.56241427],0.619471766848816,[0.41894353 0.82      ],0.20591135919094086,0.6583629846572876,0.6414673046251993,[0.71929825 0.56363636],0.6400124779037122,[0.75460123 0.52542373],0.6474969876218644,[0.68715084 0.60784314],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.5368989074931425,0.5662536025047302,0.5645297410234069,[0.53713123 0.59192825],0.5724401483646173,[0.60829493 0.53658537],0.5704371584699454,[0.48087432 0.66      ],0.22962853610515593,0.6832740306854248,0.6670660436385905,[0.74052478 0.59360731],0.6649728997289973,[0.77439024 0.55555556],0.6733760543323475,[0.70949721 0.6372549 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.5807175943080116,0.586272656917572,0.5810610354905439,[0.62778731 0.53433476],0.58479087880425,[0.59319287 0.57638889],0.5823333333333334,[0.66666667 0.498     ],0.2569307953119278,0.7793594598770142,0.722720906544436,[0.84803922 0.5974026 ],0.8200369499496136,[0.75545852 0.88461538],0.7087304195421186,[0.96648045 0.45098039],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,0
0,0.31190453732714934,0.5986654162406921,0.5893492598822618,[0.52749719 0.65120133],0.6215021878127662,[0.6871345  0.55586987],0.6070255009107468,[0.428051 0.786   ],0.23046841323375702,0.6192170977592468,0.5798644588835324,[0.70844687 0.45128205],0.58230382063601,[0.69148936 0.47311828],0.5788147661299157,[0.72625698 0.43137255],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.4930078580098994,0.6291706562042236,0.6273160262118409,[0.65360641 0.60102564],0.6281074637814047,[0.63937282 0.61684211],0.6272440801457195,[0.66848816 0.586     ],0.2301533043384552,0.7010676264762878,0.6004739336492891,[0.80094787 0.4       ],0.7161576781459822,[0.69547325 0.73684211],0.6093219410669295,[0.94413408 0.2745098 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.3074168159681208,0.5900858044624329,0.5862502293157219,[0.5464135  0.62608696],0.6014844804318489,[0.64912281 0.55384615],0.5958834244080146,[0.47176685 0.72      ],0.23626842200756074,0.5978647470474243,0.5281661886859741,[0.70951157 0.34682081],0.5398390342052314,[0.65714286 0.42253521],0.5325336838646073,[0.77094972 0.29411765],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,1
0,0.4201212779564016,0.5786463022232056,0.5530576441102757,[0.44611529 0.66      ],0.625554718875502,[0.71485944 0.53625   ],0.5911129326047359,[0.32422587 0.858     ],0.22504535615444182,0.6476868391036987,0.6379855553386687,[0.69724771 0.5787234 ],0.6407742328794961,[0.77027027 0.5112782 ],0.6517690875232774,[0.63687151 0.66666667],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.6596813955727745,0.564346969127655,0.5611163955722827,[0.59877085 0.52346194],0.5624035301502899,[0.5779661  0.54684096],0.5615646630236795,[0.62112933 0.502     ],0.22503170669078826,0.7330960631370544,0.6888150609080843,[0.80620155 0.57142857],0.7174657534246576,[0.75       0.68493151],0.6808522291598204,[0.87150838 0.49019608],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.34318019449710846,0.6043851375579834,0.604333351207945,[0.59980714 0.60885957],0.6065263288623944,[0.63729508 0.57575758],0.6062422586520948,[0.56648452 0.646     ],0.2144508332014084,0.6192170977592468,0.5195199514198507,[0.73838631 0.30065359],0.5537510656436487,[0.65652174 0.45098039],0.5345328075364224,[0.84357542 0.2254902 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.5,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,2
0,0.40598761509446535,0.6015252470970154,0.594814521852268,[0.54266958 0.64695946],0.6196967876311784,[0.67945205 0.55994152],0.6088652094717668,[0.45173042 0.766     ],0.21018871963024138,0.6405693888664246,0.6167888632343608,[0.71225071 0.52132701],0.6156656710049071,[0.72674419 0.50458716],0.6187698543104392,[0.69832402 0.53921569],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,3
0,0.535547335358227,0.5948522686958313,0.5942622913521193,[0.57879088 0.6097337 ],0.5992249206466376,[0.63478261 0.56366723],0.5979380692167577,[0.53187614 0.664     ],0.2844828188419342,0.6441280841827393,0.6135863586358636,[0.72222222 0.5049505 ],0.6141160220994475,[0.71823204 0.51      ],0.6131284916201117,[0.72625698 0.5       ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,3
0,0.8298691546215731,0.5595805644989014,0.5585370741482967,[0.58       0.53707415],0.5585499894314099,[0.57894737 0.53815261],0.558528233151184,[0.58105647 0.536     ],0.35324602723121645,0.7153024673461914,0.6970350404312669,[0.77142857 0.62264151],0.6947368421052631,[0.78947368 0.6       ],0.700624383831745,[0.75418994 0.64705882],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,3
0,0.28661032108699575,0.5938989520072937,0.5889589174153955,[0.54389722 0.63402062],0.6077315756532624,[0.65974026 0.55572289],0.6003296903460837,[0.46265938 0.738     ],0.22390234768390654,0.6192170977592468,0.5639999419962007,[0.7191601  0.40883978],0.5732861260809625,[0.67821782 0.46835443],0.5640541132654179,[0.76536313 0.3627451 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,2,384,True,"(12,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,4
