,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.5358767456868115,0.5958055257797241,0.5822444302513431,[0.50697674 0.65751212],0.6262275725651147,[0.70096463 0.55149051],0.6055428051001821,[0.39708561 0.814     ],0.21235943138599395,0.7615658044815063,0.7476442597681121,[0.80691643 0.68837209],0.7441002949852508,[0.83333333 0.65486726],0.7538065505531821,[0.78212291 0.7254902 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.3996522128582001,0.583412766456604,0.5832612879442836,[0.59120674 0.57531584],0.5836193107459648,[0.60769231 0.55954631],0.5837959927140255,[0.57559199 0.592     ],0.20084104537963868,0.7686832547187805,0.7422418537700569,[0.82479784 0.65968586],0.7523700842696629,[0.796875   0.70786517],0.7361978310877424,[0.8547486  0.61764706],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.001,12,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.424965302733814,0.5881792306900024,0.5878192534381139,[0.57563851 0.6       ],0.5916770825674582,[0.62473348 0.55862069],0.5908488160291439,[0.53369763 0.648     ],0.1849796175956726,0.7971529960632324,0.7663695902679524,[0.85117493 0.68156425],0.7956137000254648,[0.79901961 0.79220779],0.7543268704129696,[0.91061453 0.59803922],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.001,123,False,focal,2,False,,Conv1d,,concatenation,64,0
0,0.3444836981156293,0.5977120995521545,0.5856471601332884,[0.51494253 0.65635179],0.6256953716065865,[0.69781931 0.55357143],0.6070072859744992,[0.40801457 0.806     ],0.22988726198673248,0.6192170977592468,0.5798644588835324,[0.70844687 0.45128205],0.58230382063601,[0.69148936 0.47311828],0.5788147661299157,[0.72625698 0.43137255],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0001,1,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.260056569295771,0.5843660831451416,0.552236058897243,[0.43229167 0.67218045],0.6482725422236892,[0.75799087 0.53855422],0.598183970856102,[0.30236794 0.894     ],0.23972900807857514,0.6334519386291504,0.6242388834793898,[0.68307692 0.56540084],0.6282851344495181,[0.76027397 0.4962963 ],0.6384872384708074,[0.62011173 0.65686275],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0001,12,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.5680285008514628,0.6101048588752747,0.6045796179811525,[0.55783784 0.6513214 ],0.6268889696816414,[0.68617021 0.56760773],0.6169726775956285,[0.46994536 0.764     ],0.2035423845052719,0.7651245594024658,0.7348146877144819,[0.82446809 0.64516129],0.7505438723712836,[0.78680203 0.71428571],0.7270785409135722,[0.86592179 0.58823529],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0001,123,False,focal,2,False,,Conv1d,,concatenation,64,1
0,0.30680013053557453,0.6139180064201355,0.5996549179841255,[0.52408931 0.67522053],0.6509991400480509,[0.7384106  0.56358768],0.6240965391621129,[0.40619308 0.842     ],0.1695282757282257,0.7864768505096436,0.7575914423740511,[0.84126984 0.67391304],0.7775462679249908,[0.79899497 0.75609756],0.7480556468397415,[0.88826816 0.60784314],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0005,1,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.40610067809329314,0.5719733238220215,0.5716681353598572,[0.56023506 0.58310121],0.5750631554210851,[0.6059322  0.54419411],0.5744735883424408,[0.52094718 0.628     ],0.1880507856607437,0.7224199175834656,0.6985973597359736,[0.78333333 0.61386139],0.6995027624309392,[0.77900552 0.62      ],0.6977763172308029,[0.7877095  0.60784314],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0005,12,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.35893793228794546,0.6034318804740906,0.6029378580423499,[0.61694291 0.58893281],0.6029336883147114,[0.62383613 0.58203125],0.6031001821493625,[0.61020036 0.596     ],0.20851699411869049,0.7330960631370544,0.668553904222694,[0.81481481 0.52229299],0.7377715205148834,[0.7300885  0.74545455],0.6618742469054661,[0.92178771 0.40196078],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.5,0.0005,123,False,focal,2,False,,Conv1d,,concatenation,64,2
0,0.31722895362797904,0.5948522686958313,0.5944748707677165,[0.60684551 0.58210423],0.5945376012565262,[0.61654135 0.57253385],0.5947249544626594,[0.59744991 0.592     ],0.18590377271175385,0.7935943007469177,0.7406098803157628,[0.85784314 0.62337662],0.8436345314074571,[0.76419214 0.92307692],0.7241209332895169,[0.97765363 0.47058824],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)",384,"(128, 128)",0.1,0.001,1,False,focal,2,False,,Conv1d,,concatenation,64,3
