,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6945013999938965,0.6707840338454771,[0.75914769 0.58242038],0.6684105878570621,[0.77871571 0.55810547],0.6747447218379905,[0.74053899 0.60895045],,0.7718021273612976,0.7569494604135744,[0.81703231 0.69686661],0.7583252458116441,[0.81081081 0.70583968],0.7557344222769042,[0.82335003 0.68811881],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6930102705955505,0.6763854796609315,[0.74973408 0.60303688],0.6741118489956877,[0.7976075 0.5506162],0.6868855942041028,[0.70728211 0.66648908],,0.761288583278656,0.751698930283522,[0.80049566 0.7029022 ],0.7488331132217528,[0.82897807 0.66868816],0.7573558453489808,[0.77390547 0.74080622],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6712022423744202,0.656359477124183,[0.72777778 0.58494118],0.6559555640437993,[0.7881016  0.52380952],0.6691295340016521,[0.67603211 0.66222696],,0.7573797106742859,0.7479226296776509,[0.79674797 0.69909729],0.7450828921907163,[0.82719812 0.66296766],0.7539259134084675,[0.76846003 0.7393918 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.708108127117157,0.6908672534956297,[0.76387214 0.61786237],0.6878375425186143,[0.80566158 0.57001351],0.7003423412580099,[0.72620413 0.67448055],,0.7848766446113586,0.7725519752268923,[0.82549749 0.71960647],0.7719217018562694,[0.8287596 0.7150838],0.7732238248562697,[0.82226095 0.7241867 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7015843391418457,0.682786934981545,[0.760006   0.60556787],0.6798316013722073,[0.79641847 0.56324473],0.6907728850693816,[0.72677752 0.65476825],,0.7766545414924622,0.7651800856132209,[0.81708798 0.71327219],0.7633710724889701,[0.82833483 0.69840732],0.7674630226348397,[0.80614245 0.72878359],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6723206043243408,0.6532237640921381,[0.73460145 0.57184608],0.6512613330998618,[0.77582908 0.52669358],0.6615002865445054,[0.6975344  0.62546617],,0.7775980830192566,0.7673512854476487,[0.81617647 0.7185261 ],0.7647404670293121,[0.83534778 0.69413316],0.7712806434827134,[0.79786539 0.7446959 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.707176148891449,0.6898513107497475,[0.76315393 0.61654869],0.6868441971383148,[0.80476948 0.56891892],0.6992564964343844,[0.72563073 0.67288226],,0.7935031652450562,0.7822439105585776,[0.83175928 0.73272854],0.7809500928951246,[0.83875969 0.7231405 ],0.783724506190545,[0.82487475 0.74257426],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7135134935379028,0.6963362135711851,[0.76855895 0.62411348],0.6931207053875037,[0.80938788 0.57685353],0.7057297903642843,[0.73165138 0.6798082 ],,0.7991642951965332,0.7885394503847961,[0.83593922 0.74113968],0.7868648271041172,[0.84524605 0.72848361],0.7905391968235004,[0.82683511 0.75424328],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6857408881187439,0.6682165853303548,[0.74446802 0.59196515],0.6660304717633554,[0.78971061 0.54235033],0.67785004863314,[0.70412844 0.65157166],,0.7885159850120544,0.7770279895655083,[0.82763924 0.72641674],0.7757155097014543,[0.83488475 0.71654627],0.7785406737923068,[0.82051841 0.73656294],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.705312192440033,0.6891871257618329,[0.75998178 0.61839247],0.686496612095067,[0.8076799  0.56531333],0.7000376204220086,[0.71760321 0.68247203],,0.7788111567497253,0.7676792607307985,[0.81853367 0.71682485],0.7656727370346044,[0.83131177 0.7000337 ],0.7702918769488425,[0.80614245 0.7344413 ],35,3,5,11,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,True,384,2,True,signature,"(12,)",384,"(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
