,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,shift,window_size,n,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,swnu_hidden_dim,lstm_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.7109040021896362,0.6793079483318714,[0.77996879 0.57864711],0.6811644658722761,[0.77197416 0.59035477],0.6777627564237291,[0.78813073 0.56739478],,0.7823156714439392,0.7626405124579863,[0.83097855 0.69430248],0.7734025513226801,[0.79975826 0.74704684],0.7566251016301804,[0.86473535 0.64851485],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6749300956726074,0.6583758767925065,[0.73357776 0.583174  ],0.6569895047432913,[0.7851537  0.52882531],0.6691667267452943,[0.68836009 0.64997336],,0.8053646087646484,0.7970806840704799,[0.83808029 0.75608108],0.7937251160094367,[0.86364687 0.72380336],0.8026779379247941,[0.81398388 0.79137199],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.001,12,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6879776120185852,0.6641506225004847,[0.75360612 0.57469512],0.6618227209597574,[0.77434967 0.54929577],0.6682511131856906,[0.73394495 0.60255727],,0.7673540711402893,0.7551396751623721,[0.80982812 0.70045123],0.7535981104932825,[0.81939799 0.68779823],0.7570288495694639,[0.8004792 0.7135785],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.001,123,True,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.7122087478637695,0.6904960038834279,[0.77247274 0.60851927],0.6876377995724197,[0.79472408 0.58055152],0.695375773486874,[0.75143349 0.63931806],,0.7852810621261597,0.7711427836965525,[0.82802548 0.71426009],0.7728191417411772,[0.8208476  0.72479068],0.769680555431465,[0.83532999 0.70403112],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0001,1,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6790307760238647,0.6582486019995786,[0.74252392 0.57397328],0.6558671333718245,[0.7759375  0.53579677],0.6649383623828773,[0.71186927 0.61800746],,0.7815069556236267,0.7693990597903675,[0.82223928 0.71655884],0.7683553305433091,[0.82795936 0.7087513 ],0.7705690011544017,[0.81659769 0.72454031],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0001,12,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6857408881187439,0.6600448743967888,[0.75350877 0.56658098],0.6581181894060919,[0.76879475 0.54744163],0.6629629465573113,[0.73881881 0.58710709],,0.7634451985359192,0.7477247242807957,[0.81070003 0.68474942],0.7494329298546166,[0.80299145 0.69587441],0.746266294333326,[0.81855805 0.67397454],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0001,123,True,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7049394249916077,0.6840988216895478,[0.76523802 0.60295962],0.6811474872780483,[0.79262673 0.56966825],0.690031244959505,[0.7396789  0.64038359],,0.781911313533783,0.7700200047544246,[0.82231496 0.71772505],0.7687846068660023,[0.82923588 0.70833333],0.7714388846390007,[0.8155086  0.72736917],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0005,1,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6665424108505249,0.6370218957674865,[0.74053662 0.53350717],0.6359057525319649,[0.74933959 0.52247191],0.6384783600856334,[0.73193807 0.54501865],,0.8123736381530762,0.8007625900279894,[0.84885993 0.75266525],0.8013578232765286,[0.84628708 0.75642857],0.8001938329004199,[0.85144849 0.74893918],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0005,12,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6946877837181091,0.6710911819993042,[0.75918847 0.58299389],0.6686915754476892,[0.77911889 0.55826426],0.67513413826475,[0.74025229 0.61001598],,0.7626364827156067,0.7479300764956065,[0.80881555 0.68704461],0.7484404216719329,[0.80627706 0.69060379],0.7474459977503491,[0.81137007 0.68352192],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.1,0.0005,123,True,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6872320771217346,0.6689429055248712,[0.74675521 0.5911306 ],0.6665395976089267,[0.78840025 0.54467894],0.6777664986094343,[0.70928899 0.64624401],,0.7974120378494263,0.7870573253370354,[0.83401436 0.74010029],0.7850372068482434,[0.84587814 0.72419628],0.7895986458962665,[0.82247876 0.75671853],80,3,5,26,15,3,umap,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,"(12,)",384,"(256, 256)",0.2,0.001,1,True,focal,2,True,5,Conv1d,,concatenation,64,3
