,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.664119303226471,0.6495748820091332,[0.72096624 0.57818352],0.6497480019400688,[0.78383838 0.51565762],0.662698015083605,[0.66743119 0.65796484],,0.7836635708808899,0.777405140106769,[0.81472931 0.74008097],0.7746756104490254,[0.86665029 0.68270093],0.7883346807002323,[0.76867785 0.80799151],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6896551847457886,0.6644648805091216,[0.75640088 0.57252888],0.6624303438163194,[0.77233343 0.55252725],0.6675727083771195,[0.74111239 0.59403303],,0.7681628465652466,0.7527381051664286,[0.81449525 0.69098096],0.7545013575386503,[0.80666524 0.70233747],0.7512323092626032,[0.82247876 0.67998586],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.701957106590271,0.6783306483917404,[0.76550814 0.59115316],0.675943366846468,[0.78354848 0.56833825],0.6820781075110096,[0.74827982 0.6158764 ],,0.7614233493804932,0.7471104065574741,[0.80727352 0.68694729],0.747144066272732,[0.80709776 0.68719038],0.7470768710813267,[0.80744936 0.68670438],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6857408881187439,0.6616707306819136,[0.75191289 0.57142857],0.6593984236443936,[0.77237001 0.54642684],0.6656696923892802,[0.73251147 0.59882792],,0.8381183743476868,0.831276289646612,[0.865253   0.79729958],0.8274265507797622,[0.89217955 0.76267356],0.8375616982614962,[0.83990416 0.83521924],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7157502174377441,0.6926101051601903,[0.77694895 0.60827126],0.6901870731372075,[0.79307256 0.58730159],0.6961308549168349,[0.76146789 0.63079382],,0.8478231430053711,0.840840110556164,[0.87417809 0.80750213],0.8373709642538916,[0.8950251  0.77971683],0.8458104951049606,[0.85428011 0.83734088],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6747437119483948,0.649793710683072,[0.74326909 0.55631833],0.6477368937210508,[0.76337262 0.53210117],0.6535211065383468,[0.72419725 0.58284497],,0.84971022605896,0.8422245196724287,[0.87659103 0.807858  ],0.8394941342873783,[0.89108911 0.78789916],0.8457057455442156,[0.86255718 0.82885431],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6788443326950073,0.6633211588774686,[0.73561455 0.59102777],0.6621563046938951,[0.79135028 0.53296233],0.67525289538254,[0.6872133  0.66329249],,0.8080604076385498,0.8009416135676284,[0.83858535 0.76329787],0.7972310783732545,[0.8742614  0.72020075],0.8087940029027951,[0.80570682 0.81188119],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6805219054222107,0.6598362972283842,[0.7437201 0.5759525],0.6574159209006929,[0.7771875  0.53764434],0.6665772869795155,[0.71301606 0.62013852],,0.8448578119277954,0.8361748840468775,[0.87389065 0.79845911],0.8350157922651853,[0.87918871 0.79084287],0.8374397728536584,[0.86865607 0.80622348],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6790307760238647,0.6573680701679432,[0.743521   0.57121514],0.6549727306216699,[0.77371358 0.53623188],0.6633389216639866,[0.71559633 0.61108151],,0.8005121946334839,0.7898245249205668,[0.83721953 0.74242952],0.7882849961450955,[0.84558987 0.73098012],0.7916282841683054,[0.82901329 0.75424328],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.679962694644928,0.6601948910369991,[0.74215348 0.57823631],0.6578562646269879,[0.77924945 0.53646308],0.6677466818268465,[0.7084289  0.62706446],,0.7883811593055725,0.7791727182718435,[0.82426685 0.73407859],0.7761437025397281,[0.84780106 0.70448635],0.7841349165099787,[0.80200392 0.76626591],20,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
