,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.372035471832051,0.6148713231086731,0.6075788553565344,[0.55408389 0.66107383],0.636222697171354,[0.70308123 0.56936416],0.6225974499089253,[0.4571949 0.788    ],0.2084188848733902,0.6868327260017395,0.6691286662384928,[0.74566474 0.59259259],0.6669292992961445,[0.77245509 0.56140351],0.6740606857268047,[0.72067039 0.62745098],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.001,1,focal,2,False,,Conv1d,,concatenation,64,0
0,0.24963602774283467,0.6358436942100525,0.635565135144967,[0.6254902  0.64564007],0.6396792512433973,[0.67728238 0.60207612],0.6385282331511839,[0.58105647 0.696     ],0.21168356239795685,0.6014235019683838,0.5708519690193083,[0.68539326 0.45631068],0.5705943068231204,[0.68926554 0.45192308],0.571174279767773,[0.68156425 0.46078431],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.001,12,focal,2,False,,Conv1d,,concatenation,64,0
0,0.3641828806961284,0.6510962843894958,0.6503944665413698,[0.63473054 0.66605839],0.657201431174719,[0.70198675 0.61241611],0.6546174863387978,[0.57923497 0.73      ],0.22881834506988524,0.6654804348945618,0.62022659305268,[0.75132275 0.48913043],0.631174163500429,[0.71356784 0.54878049],0.6172362799868552,[0.79329609 0.44117647],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.001,123,focal,2,False,,Conv1d,,concatenation,64,0
0,0.30390219302738414,0.647283136844635,0.6472802419501413,[0.64828897 0.64627151],0.6484900123071098,[0.67793241 0.61904762],0.6485646630236794,[0.62112933 0.676     ],0.22468684017658233,0.6583629846572876,0.5867140580953548,[0.75879397 0.41463415],0.6189424068345853,[0.68949772 0.5483871 ],0.5884543761638734,[0.84357542 0.33333333],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0001,1,focal,2,False,,Conv1d,,concatenation,64,1
0,0.30268805868485393,0.6301239132881165,0.6288689499215816,[0.60728745 0.65045045],0.6375872885469958,[0.6833713  0.59180328],0.6342240437158471,[0.54644809 0.722     ],0.22539445459842683,0.6868327260017395,0.6360103626943006,[0.77202073 0.5       ],0.6572006789398094,[0.71980676 0.59459459],0.6318873918282397,[0.83240223 0.43137255],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0001,12,focal,2,False,,Conv1d,,concatenation,64,1
0,0.3551316699560951,0.6015252470970154,0.6015249000363503,[0.60190476 0.60114504],0.6027780206011335,[0.63073852 0.57481752],0.6027959927140255,[0.57559199 0.63      ],0.19979319870471954,0.7508896589279175,0.7048319327731092,[0.82142857 0.58823529],0.7455813311239989,[0.75586854 0.73529412],0.6948187096067477,[0.89944134 0.49019608],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0001,123,focal,2,False,,Conv1d,,concatenation,64,1
0,0.345599906409488,0.628217339515686,0.6247385800770502,[0.58860759 0.66086957],0.6419317524580683,[0.69924812 0.58461538],0.6340983606557378,[0.50819672 0.76      ],0.21334194242954255,0.6583629846572876,0.6257076257076257,[0.73626374 0.51515152],0.6277871621621622,[0.72432432 0.53125   ],0.6243016759776536,[0.74860335 0.5       ],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0005,1,focal,2,False,,Conv1d,,concatenation,64,2
0,0.4022682168904473,0.6072450280189514,0.6071846665067004,[0.6023166  0.61205273],0.6094744495677654,[0.64065708 0.57829181],0.6091530054644809,[0.56830601 0.65      ],0.24623512625694274,0.6832740306854248,0.6488338458514118,[0.75880759 0.5388601 ],0.6541353383458646,[0.73684211 0.57142857],0.6459634132982801,[0.78212291 0.50980392],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0005,12,focal,2,False,,Conv1d,,concatenation,64,2
0,0.5454459803945878,0.6005719900131226,0.5956271936482527,[0.64034335 0.55091104],0.599526483908701,[0.60551948 0.59353349],0.5967085610200364,[0.67941712 0.514     ],0.19763546586036682,0.7793594002723694,0.7311419753086419,[0.845      0.61728395],0.7990196078431373,[0.76470588 0.83333333],0.7171650783218315,[0.94413408 0.49019608],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.5,0.0005,123,focal,2,False,,Conv1d,,concatenation,64,2
0,0.44132741058574004,0.6367969512939453,0.6363686817910936,[0.64884793 0.62388944],0.6363504116842686,[0.65671642 0.61598441],0.6365828779599272,[0.64116576 0.632     ],0.19507939219474793,0.690391480922699,0.6475193563735455,[0.77044855 0.52459016],0.6612962962962963,[0.73       0.59259259],0.6431153466973382,[0.81564246 0.47058824],35,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,10,1,"(128, 128)",0.1,0.001,1,focal,2,False,,Conv1d,,concatenation,64,3
