,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.711463212966919,0.6661257689340203,[0.78915827 0.54309327],0.6802774292792142,[0.75168656 0.6088683 ],0.660352886584585,[0.83056193 0.49014385],,0.7298827171325684,0.6956241642174946,[0.7977392  0.59350913],0.7196400447588628,[0.74327628 0.69600381],0.6890706850035908,[0.86081464 0.51732673],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6926374435424805,0.6623011966648346,[0.76351642 0.56108597],0.6622416740437742,[0.76384505 0.5606383 ],0.66236121837013,[0.76318807 0.56153436],,0.7184256911277771,0.6984384647688935,[0.77607461 0.62080232],0.7009285831584737,[0.76403546 0.63782171],0.6965834236284816,[0.78849924 0.60466761],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6918919086456299,0.6606436705446607,[0.76362076 0.55766658],0.6609919776663138,[0.7617689  0.56021505],0.6603114170572796,[0.76548165 0.55514118],,0.7199083566665649,0.6976969432191107,[0.77963945 0.61575444],0.7025049621053745,[0.75966109 0.64534884],0.694726160001257,[0.80069702 0.5887553 ],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.703821063041687,0.672630799970001,[0.77367896 0.57158264],0.6736771945610753,[0.76875177 0.57860262],0.6717003392100414,[0.77866972 0.56473095],,0.7267825603485107,0.7051860166352943,[0.78497931 0.62539272],0.710073692371096,[0.76509512 0.65505226],0.7021136612836689,[0.80592464 0.59830269],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7027027010917664,0.6611870658540759,[0.77978738 0.54258675],0.6698207772659228,[0.75206391 0.58757764],0.6568143827012654,[0.80963303 0.50399574],,0.7188300490379333,0.688616248739458,[0.78561151 0.59162099],0.7032218791286448,[0.74372446 0.6627193 ],0.6833991124631336,[0.83249837 0.53429986],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6853681206703186,0.6611240832210747,[0.75176471 0.57048346],0.6588846650712636,[0.77173913 0.5460302 ],0.6650138934372143,[0.73279817 0.59722962],,0.7069686055183411,0.6904260655823793,[0.76198818 0.61886396],0.6898566150617021,[0.76601365 0.61369958],0.6910603875055956,[0.75800479 0.62411598],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.7058714032173157,0.6695353617933122,[0.77911534 0.55995538],0.6743462496783024,[0.76121444 0.58747806],0.6663872755910516,[0.79787844 0.53489611],,0.7234128713607788,0.6974059874378008,[0.78611632 0.60869565],0.7071718889196283,[0.75374775 0.66059603],0.6928730555477678,[0.82138968 0.56435644],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6997203826904297,0.6565546703576279,[0.77831292 0.53479642],0.6661024437498394,[0.74834612 0.58385876],0.6520601266905515,[0.81077982 0.49334044],,0.718156099319458,0.6854590146447387,[0.78687188 0.58404615],0.7035198862596896,[0.7394636  0.66757617],0.6799350984045102,[0.84077543 0.51909477],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6805219054222107,0.6578513133470734,[0.74592351 0.56977912],0.6554667522069002,[0.77225292 0.53868059],0.6630093038373747,[0.72133028 0.60468833],,0.7106078863143921,0.6948484898120106,[0.7641955  0.62550148],0.6939625201228994,[0.77071334 0.6172117 ],0.69590197382062,[0.75778697 0.63401697],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.7000932097434998,0.661188053222648,[0.77599889 0.54637722],0.6672510189364167,[0.75426252 0.58023952],0.6576372817007425,[0.79902523 0.51624933],,0.7195039987564087,0.6888105034317752,[0.78654221 0.5910788 ],0.7042518768696026,[0.74331136 0.66519239],0.6834683935145234,[0.83511218 0.53182461],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.6974837183952332,0.6586289125097399,[0.77379791 0.54345992],0.6643004946348556,[0.75291565 0.57568534],0.655261299262438,[0.79587156 0.51465104],,0.7169429659843445,0.6889123827883021,[0.78229318 0.59553159],0.7001830122460047,[0.74638971 0.65397631],0.6842507032854699,[0.82182531 0.5466761 ],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.2,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,3
0,,0.704380214214325,0.6654082646052812,[0.77959978 0.55121675],0.6721408929070161,[0.75647249 0.58780929],0.661549469556632,[0.80418578 0.51891316],,0.7199083566665649,0.6912306246575167,[0.78533058 0.59713067],0.7039246477085559,[0.74690509 0.66094421],0.6862393274831731,[0.8279242  0.54455446],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,cls,10,1,"(256, 256)",0.2,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,3
