,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,include_features_in_input,embedding_dim,num_features,log_signature,pooling,num_heads,num_layers,ffn_hidden_dim,dropout_rate,learning_rate,seed,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,,0.6965517401695251,0.662904184452455,[0.7694051  0.55640327],0.6648975204681138,[0.76035834 0.5694367 ],0.6613114207230941,[0.77866972 0.54395312],,0.7346003651618958,0.7131678422201264,[0.79157404 0.63476164],0.7187761732190641,[0.76997529 0.66757706],0.709720366426287,[0.81441952 0.60502122],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6939421892166138,0.6679511639253404,[0.76085057 0.57505176],0.6661864880753912,[0.7732386  0.55913437],0.6703775911199308,[0.74885321 0.59190197],,0.7306914925575256,0.7131833892680561,[0.78404669 0.64232009],0.7143152746806349,[0.77815919 0.65047136],0.7121972699183601,[0.79002396 0.63437058],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.001,12,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.7041938304901123,0.6709185468949637,[0.77556216 0.56627494],0.6733248696221996,[0.76528049 0.58136925],0.6690342228228727,[0.78612385 0.55194459],,0.7364873886108398,0.71579200328913,[0.79248487 0.63909913],0.7207378805217487,[0.77287785 0.66859791],0.7126029819119075,[0.81311261 0.61209335],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.001,123,focal,2,True,5,Conv1d,,concatenation,64,0
0,,0.6952469944953918,0.668420920727093,[0.762734   0.57410784],0.6669657671485525,[0.77225977 0.56167176],0.6702737263738251,[0.75344037 0.58710709],,0.7238172292709351,0.7037700679707122,[0.78083217 0.62670796],0.706751294799052,[0.76712905 0.64637354],0.7016187196091486,[0.79503376 0.60820368],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0001,1,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6948741674423218,0.6726466287877503,[0.75794766 0.5873456 ],0.670005843894956,[0.78259542 0.55741627],0.6777381649176658,[0.73480505 0.62067128],,0.721930205821991,0.7066734533443791,[0.77357041 0.6397765 ],0.7057940333407613,[0.77964602 0.63194205],0.7076981992626248,[0.76758876 0.64780764],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0001,12,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6887232065200806,0.6625935596721209,[0.75648877 0.56869835],0.66080631846679,[0.76973294 0.5518797 ],0.6651334906375096,[0.74369266 0.58657432],,0.7288044095039368,0.7110504835109188,[0.78267444 0.63942652],0.7122787533448608,[0.77630169 0.64825581],0.7099936010341863,[0.78915269 0.63083451],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0001,123,focal,2,True,5,Conv1d,,concatenation,64,1
0,,0.6915190815925598,0.6617335576334441,[0.7621101  0.56135701],0.6613707393879241,[0.76419717 0.5585443 ],0.6621162961342764,[0.7600344  0.56419819],,0.7328481078147888,0.7155608368255226,[0.78568339 0.64543828],0.7166329229300935,[0.78011595 0.65314989],0.7146187562714948,[0.79133086 0.63790665],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0005,1,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6989748477935791,0.6707030442830338,[0.76719043 0.57421566],0.6699497933200207,[0.77152798 0.56837161],0.6715412581319986,[0.76290138 0.58018114],,0.732982873916626,0.7122374643741352,[0.78950165 0.63497328],0.7168470876925215,[0.77074689 0.66294729],0.7092281975342569,[0.8091919 0.6092645],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0005,12,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6993476152420044,0.6691024715531202,[0.76914269 0.56906225],0.6693366225903772,[0.7679337  0.57073955],0.66887514174483,[0.7703555  0.56739478],,0.7366222143173218,0.7159150838714006,[0.79261303 0.63921713],0.7208905599686721,[0.77292486 0.66885626],0.712711890646388,[0.81333043 0.61209335],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.1,0.0005,123,focal,2,True,5,Conv1d,,concatenation,64,2
0,,0.6984156370162964,0.6711431948538047,[0.7658466  0.57643979],0.6699407695595663,[0.77323203 0.56664951],0.6725876190778766,[0.75860092 0.58657432],,0.7230085134506226,0.7033465988990313,[0.77971916 0.62697404],0.7058930478521761,[0.76762347 0.64416263],0.7014405298232782,[0.79220213 0.61067893],5,15,3,gaussian_random_projection,17,12,"['time_encoding', 'timeline_index']","['z_score', None]",True,False,384,0,True,signature,10,1,"(256, 256)",0.2,0.001,1,focal,2,True,5,Conv1d,,concatenation,64,3
